FileTitle:,IAS_Spectrum,,,,
Head:,Reference,Sample,,,
Sample ID,B2500095,,,,
System Temp hundredths:,2135,2207,,,
Detector Temp hundredths:,0,0,,,
Humidity hundredths:,5846,5688,,,
Lamp PD:,92,92,,,
Tec Temp:,0,,,,
Product SN:,8B6YK9LO,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.23574952,1467780.991,852926.7507,6239,2823
901,0.23544817,1491074.314,867063.936,5996,2583
902,0.23514041,1514157.008,881110.7521,5867,2320
903,0.23482684,1537003.12,895051.2528,6078,2184
904,0.234508,1559586.7,908869.4917,6840,2386
905,0.23418434,1581881.794,922549.5224,8525,2770
906,0.23385629,1603862.45,936075.3987,10772,3342
907,0.23352421,1625502.718,949431.1742,14246,4313
908,0.23318843,1646776.644,962600.9025,19413,5675
909,0.23284923,1667658.276,975568.6374,27543,7968
910,0.23250685,1688121.664,988318.4324,42514,12339
911,0.23216148,1708140.854,1000834.341,68460,20490
912,0.23181341,1727697.173,1013104.436,111346,34486
913,0.23146327,1746799.614,1025132.063,176780,56388
914,0.23111179,1765463.745,1036924.197,258388,83737
915,0.23075967,1783705.133,1048487.816,338596,110451
916,0.23040759,1801539.345,1059829.895,408410,133218
917,0.23005619,1818981.948,1070957.409,472570,152978
918,0.22970613,1836048.511,1081877.334,537241,171499
919,0.22935804,1852754.599,1092596.647,605360,190053
920,0.22901253,1869115.78,1103122.322,675848,208161
921,0.22867022,1885147.622,1113461.337,749557,226395
922,0.22833171,1900865.691,1123620.666,826508,244369
923,0.2279976,1916285.555,1133607.285,905917,262576
924,0.22766848,1931422.152,1143427.752,986010,280421
925,0.22734516,1946283.061,1153083.738,1068352,299559
926,0.22702853,1960871.102,1162573.747,1151715,319979
927,0.2267195,1975189.011,1171896.233,1236319,341545
928,0.22641893,1989239.526,1181049.648,1321767,363096
929,0.22612765,2003025.385,1190032.445,1409489,384490
930,0.22584651,2016549.326,1198843.077,1499151,405087
931,0.22557632,2029814.085,1207479.997,1591741,425664
932,0.22531787,2042822.401,1215941.656,1685354,444668
933,0.22507197,2055577.011,1224226.508,1777750,461648
934,0.22483939,2068080.653,1232333.005,1867456,477527
935,0.2246209,2080336.065,1240259.601,1953192,493134
936,0.22441724,2092345.636,1248004.594,2034296,509512
937,0.22422871,2104103.483,1255562.65,2107000,526065
938,0.22405513,2115595.285,1262924.723,2169724,541725
939,0.22389632,2126806.345,1270081.604,2222712,557490
940,0.22375213,2137721.963,1277024.082,2266067,575524
941,0.22362241,2148327.439,1283742.946,2299625,598181
942,0.223507,2158608.077,1290228.988,2324464,631900
943,0.2234058,2168549.175,1296472.995,2340957,683324
944,0.22331869,2178136.036,1302465.759,2348374,754990
945,0.22324556,2187353.96,1308198.067,2349706,841696
946,0.22318635,2196188.249,1313660.711,2362480,934673
947,0.22314099,2204624.203,1318844.479,2407137,1028373
948,0.22310939,2212647.722,1323740.574,2483758,1123220
949,0.2230911,2220258.97,1328350.039,2577341,1217867
950,0.22308521,2227472.66,1332683.951,2656258,1301852
951,0.22309085,2234304.161,1336753.841,2717277,1379174
952,0.22310716,2240768.841,1340571.239,2771975,1457779
953,0.22313329,2246882.07,1344147.676,2815026,1529762
954,0.22316844,2252659.214,1347494.682,2840588,1583895
955,0.22321179,2258115.644,1350623.787,2850428,1617746
956,0.22326255,2263266.727,1353546.523,2847066,1632501
957,0.22331996,2268127.832,1356274.419,2830412,1630225
958,0.22338324,2272714.328,1358819.006,2801121,1613378
959,0.22345163,2277041.584,1361191.813,2763369,1586809
960,0.22352438,2281125.273,1363404.597,2719406,1554848
961,0.22360057,2284984.738,1365471.794,2667598,1519585
962,0.22367919,2288641.738,1367409.614,2604840,1477523
963,0.22375922,2292118.077,1369234.294,2528175,1423560
964,0.22383966,2295435.557,1370962.075,2457871,1365554
965,0.22391952,2298615.981,1372609.197,2421118,1316286
966,0.22399778,2301681.152,1374191.898,2375682,1252813
967,0.22407344,2304652.871,1375726.418,2315032,1185752
968,0.22414552,2307552.943,1377228.996,2253834,1139616
969,0.224213,2310403.17,1378715.872,2196764,1117348
970,0.22427489,2313225.355,1380203.285,2145981,1113953
971,0.22433019,2316041.299,1381707.474,2101761,1122073
972,0.22437808,2318868.335,1383241.514,2060055,1135312
973,0.22441836,2321705.05,1384805.215,2023698,1155171
974,0.22445103,2324545.127,1386394.913,1996641,1179530
975,0.22447608,2327382.246,1388006.946,1981820,1203657
976,0.22449351,2330210.089,1389637.65,1979809,1225119
977,0.22450331,2333022.337,1391283.361,1991123,1244005
978,0.22450547,2335812.671,1392940.417,2015382,1262754
979,0.22449999,2338574.772,1394605.154,2048229,1282889
980,0.22448687,2341302.321,1396273.908,2086385,1303964
981,0.2244661,2343989,1397943.016,2130896,1326469
982,0.22443767,2346628.49,1399608.816,2179345,1349293
983,0.22440158,2349214.361,1401267.564,2224790,1370117
984,0.22435793,2351737.165,1402913.355,2264217,1387125
985,0.22430696,2354184.143,1404537.913,2302171,1402866
986,0.2242489,2356542.364,1406132.84,2334676,1414208
987,0.22418397,2358798.901,1407689.738,2357163,1419879
988,0.2241124,2360940.824,1409200.208,2371678,1422301
989,0.22403441,2362955.205,1410655.854,2370560,1416724
990,0.22395022,2364829.114,1412048.277,2348020,1400498
991,0.22386003,2366549.623,1413369.079,2316085,1381731
992,0.22376405,2368103.803,1414609.862,2278463,1361965
993,0.22366249,2369478.724,1415762.229,2208749,1321366
994,0.22355554,2370661.462,1416817.783,2086460,1244212
995,0.2234434,2371643.373,1417770.663,1921382,1136912
996,0.22332629,2372428.813,1418622.694,1707805,1000624
997,0.22320443,2373024.593,1419377.155,1431225,830815
998,0.22307804,2373437.522,1420037.326,1110710,640189
999,0.22294736,2373674.413,1420606.485,723924,414865
1000,0.22281258,2373742.075,1421087.911,317631,181253
1001,0.22267395,2373647.319,1421484.883,81208,46010
1002,0.22253166,2373396.956,1421800.68,25094,14035
1003,0.22238596,2372997.796,1422038.581,18021,9987
1004,0.22223704,2372456.65,1422201.864,15959,8822
1005,0.22208514,2371780.328,1422293.808,,
1006,0.22193043,2370975.734,1422317.909,,
1007,0.22177278,2370050.33,1422278.969,,
1008,0.22161196,2369011.787,1422182.279,,
1009,0.22144773,2367867.778,1422033.132,,
1010,0.22127987,2366625.975,1421836.821,,
1011,0.22110814,2365294.05,1421598.638,,
1012,0.22093232,2363879.675,1421323.875,,
1013,0.22075217,2362390.522,1421017.824,,
1014,0.22056747,2360834.263,1420685.78,,
1015,0.22037799,2359218.57,1420333.033,,
1016,0.22018352,2357551.116,1419964.876,,
1017,0.21998386,2355838.531,1419585.845,,
1018,0.21977917,2354079.01,1419194.335,,
1019,0.21956973,2352266.646,1418785.756,,
1020,0.21935585,2350395.504,1418355.5,,
1021,0.21913782,2348459.65,1417898.959,,
1022,0.21891593,2346453.151,1417411.524,,
1023,0.21869047,2344370.073,1416888.585,,
1024,0.21846172,2342204.482,1416325.536,,
1025,0.21822998,2339950.443,1415717.766,,
1026,0.21799551,2337602.023,1415060.669,,
1027,0.21775861,2335153.288,1414349.633,,
1028,0.21751957,2332599.295,1413580.578,,
1029,0.21727885,2329942.2,1412753.18,,
1030,0.217037,2327187.254,1411868.757,,
1031,0.21679456,2324339.717,1410928.633,,
1032,0.21655206,2321404.855,1409934.131,,
1033,0.21631008,2318387.928,1408886.577,,
1034,0.21606914,2315294.199,1407787.294,,
1035,0.21582982,2312128.932,1406637.606,,
1036,0.21559268,2308897.388,1405438.837,,
1037,0.21535828,2305604.831,1404192.312,,
1038,0.2151272,2302256.523,1402899.355,,
1039,0.21489984,2298857.747,1401561.804,,
1040,0.21467598,2295413.872,1400183.724,,
1041,0.21445516,2291930.291,1398769.778,,
1042,0.21423698,2288412.397,1397324.629,,
1043,0.21402099,2284865.583,1395852.941,,
1044,0.21380677,2281295.241,1394359.377,,
1045,0.2135939,2277706.765,1392848.601,,
1046,0.21338194,2274105.548,1391325.276,,
1047,0.21317048,2270496.981,1389794.066,,
1048,0.21295907,2266886.459,1388259.635,,
1049,0.21274731,2263279.333,1386726.616,,
1050,0.21253492,2259676.583,1385196.451,,
1051,0.21232193,2256070.924,1383664.55,,
1052,0.21210843,2252454.152,1382125.655,,
1053,0.21189447,2248818.064,1380574.506,,
1054,0.21168012,2245154.458,1379005.842,,
1055,0.21146543,2241455.132,1377414.406,,
1056,0.21125046,2237711.881,1375794.937,,
1057,0.21103527,2233916.503,1374142.176,,
1058,0.2108199,2230060.795,1372450.863,,
1059,0.2106044,2226136.555,1370715.739,,
1060,0.21038881,2222136.162,1368931.947,,
1061,0.21017298,2218058.922,1367099.411,,
1062,0.20995668,2213908.668,1365221.18,,
1063,0.20973967,2209689.315,1363300.36,,
1064,0.20952169,2205404.778,1361340.057,,
1065,0.2093025,2201058.969,1359343.374,,
1066,0.20908187,2196655.802,1357313.418,,
1067,0.20885954,2192199.192,1355253.293,,
1068,0.20863528,2187693.053,1353166.104,,
1069,0.20840883,2183141.298,1351054.957,,
1070,0.20817996,2178547.845,1348922.956,,
1071,0.20794872,2173917.636,1346772.896,,
1072,0.20771591,2169258.079,1344606.827,,
1073,0.20748245,2164576.948,1342426.691,,
1074,0.20724926,2159882.015,1340234.427,,
1075,0.20701727,2155181.053,1338031.978,,
1076,0.20678742,2150481.836,1335821.283,,
1077,0.20656067,2145792.136,1333604.284,,
1078,0.20633797,2141119.727,1331382.922,,
1079,0.2061203,2136472.38,1329159.138,,
1080,0.20590864,2131857.87,1326934.871,,
1081,0.2057039,2127283.517,1324712.021,,
1082,0.2055064,2122753.206,1322492.157,,
1083,0.2053162,2118269.235,1320276.7,,
1084,0.20513335,2113833.898,1318067.067,,
1085,0.2049579,2109449.486,1315864.679,,
1086,0.20478991,2105118.292,1313670.952,,
1087,0.20462942,2100842.607,1311487.307,,
1088,0.20447651,2096624.723,1309315.162,,
1089,0.2043312,2092466.933,1307155.936,,
1090,0.20419358,2088371.528,1305011.047,,
1091,0.20406367,2084340.687,1302881.854,,
1092,0.20394147,2080374.071,1300768.359,,
1093,0.20382687,2076468.888,1298669.248,,
1094,0.20371978,2072622.243,1296583.147,,
1095,0.2036201,2068831.241,1294508.686,,
1096,0.20352771,2065092.987,1292444.492,,
1097,0.20344252,2061404.585,1290389.194,,
1098,0.20336441,2057763.14,1288341.421,,
1099,0.20329328,2054165.757,1286299.8,,
1100,0.20322902,2050609.542,1284262.961,,
1101,0.2031715,2047091.64,1282229.547,,
1102,0.20312084,2043611.831,1280199.248,,
1103,0.20307745,2040174.079,1278173.41,,
1104,0.20304178,2036782.718,1276153.528,,
1105,0.20301428,2033442.082,1274141.095,,
1106,0.20299543,2030156.505,1272137.606,,
1107,0.20298567,2026930.321,1270144.554,,
1108,0.20298547,2023767.866,1268163.433,,
1109,0.20299529,2020673.472,1266195.738,,
1110,0.2030156,2017651.474,1264242.962,,
1111,0.20304687,2014706.21,1262306.592,,
1112,0.20309002,2011842.5,1260387.115,,
1113,0.20314689,2009066.154,1258482.979,,
1114,0.20321944,2006383.098,1256592.379,,
1115,0.20330964,2003799.263,1254713.512,,
1116,0.20341946,2001320.577,1252844.577,,
1117,0.2035509,1998952.969,1250983.768,,
1118,0.20370594,1996702.366,1249129.284,,
1119,0.20388658,1994574.698,1247279.322,,
1120,0.20409482,1992575.894,1245432.077,,
1121,0.20433267,1990711.87,1243585.745,,
1122,0.20460188,1988986.665,1241738.056,,
1123,0.2049037,1987400.436,1239885.78,,
1124,0.20523932,1985952.858,1238025.569,,
1125,0.20560992,1984643.606,1236154.075,,
1126,0.2060167,1983472.355,1234267.95,,
1127,0.20646084,1982438.779,1232363.847,,
1128,0.20694352,1981542.554,1230438.416,,
1129,0.20746595,1980783.355,1228488.311,,
1130,0.20802931,1980160.858,1226510.182,,
1131,0.2086348,1979674.735,1224500.699,,
1132,0.20928318,1979324.648,1222457.726,,
1133,0.2099745,1979110.231,1220381.13,,
1134,0.21070873,1979031.115,1218270.964,,
1135,0.21148584,1979086.932,1216127.283,,
1136,0.2123058,1979277.314,1213950.141,,
1137,0.21316856,1979601.894,1211739.593,,
1138,0.21407409,1980060.302,1209495.692,,
1139,0.21502233,1980652.171,1207218.494,,
1140,0.21601324,1981377.133,1204908.052,,
1141,0.21704674,1982234.834,1202564.459,,
1142,0.21812248,1983225.321,1200188.819,,
1143,0.2192398,1984349.083,1197783.352,,
1144,0.22039801,1985606.63,1195350.332,,
1145,0.22159639,1986998.472,1192892.036,,
1146,0.22283425,1988525.118,1190410.738,,
1147,0.22411083,1990187.081,1187908.714,,
1148,0.22542542,1991984.869,1185388.239,,
1149,0.22677725,1993918.992,1182851.59,,
1150,0.22816556,1995989.962,1180301.04,,
1151,0.22958944,1998198.055,1177739.101,,
1152,0.23104652,2000541.125,1175170.718,,
1153,0.2325336,2003015.596,1172602.278,,
1154,0.23404741,2005617.87,1170040.187,,
1155,0.23558469,2008344.35,1167490.852,,
1156,0.23714214,2011191.438,1164960.679,,
1157,0.23871645,2014155.539,1162456.074,,
1158,0.24030429,2017233.054,1159983.443,,
1159,0.24190229,2020420.387,1157549.193,,
1160,0.24350708,2023713.941,1155159.73,,
1161,0.24511545,2027110.05,1152820.987,,
1162,0.2467248,2030604.776,1150537.037,,
1163,0.24833268,2034194.114,1148311.494,,
1164,0.24993665,2037874.06,1146147.97,,
1165,0.25153426,2041640.61,1144050.078,,
1166,0.25312306,2045489.757,1142021.432,,
1167,0.25470058,2049417.499,1140065.644,,
1168,0.25626439,2053419.83,1138186.329,,
1169,0.25781202,2057492.745,1136387.099,,
1170,0.25934105,2061632.222,1134671.481,,
1171,0.26085037,2065833.432,1133039.178,,
1172,0.26234065,2070090.44,1131484.649,,
1173,0.26381272,2074397.23,1130001.971,,
1174,0.26526744,2078747.788,1128585.221,,
1175,0.26670569,2083136.098,1127228.478,,
1176,0.26812839,2087556.146,1125925.819,,
1177,0.26953646,2092001.916,1124671.321,,
1178,0.27093086,2096467.394,1123459.063,,
1179,0.27231258,2100946.563,1122283.122,,
1180,0.2736823,2105434.801,1121139.09,,
1181,0.27503866,2109937.172,1120033.115,,
1182,0.27637935,2114462.868,1118975.839,,
1183,0.27770205,2119021.093,1117977.92,,
1184,0.2790044,2123621.055,1117050.014,,
1185,0.28028402,2128271.958,1116202.78,,
1186,0.2815385,2132983.008,1115446.875,,
1187,0.28276542,2137763.412,1114792.956,,
1188,0.28396234,2142622.374,1114251.681,,
1189,0.28512678,2147569.04,1113833.701,,
1190,0.28625566,2152608.549,1113549.177,,
1191,0.28734489,2157739.582,1113407.485,,
1192,0.28839032,2162960.236,1113417.93,,
1193,0.28938783,2168268.611,1113589.817,,
1194,0.29033332,2173662.802,1113932.45,,
1195,0.29122272,2179140.908,1114455.133,,
1196,0.29205204,2184701.026,1115167.172,,
1197,0.29281729,2190341.254,1116077.871,,
1198,0.29351456,2196059.689,1117196.535,,
1199,0.29414011,2201854.314,1118532.149,,
1200,0.29469083,2207722.438,1120091.849,,
1201,0.29516392,2213661.131,1121882.11,,
1202,0.29555661,2219667.461,1123909.403,,
1203,0.29586625,2225738.499,1126180.2,,
1204,0.29609025,2231871.313,1128700.975,,
1205,0.29622611,2238062.973,1131478.198,,
1206,0.29627143,2244310.547,1134518.343,,
1207,0.29622389,2250611.104,1137827.882,,
1208,0.2960813,2256961.743,1141413.229,,
1209,0.29584222,2263360.25,1145279.444,,
1210,0.29550597,2269805.118,1149430.194,,
1211,0.29507198,2276294.87,1153869.086,,
1212,0.29453977,2282828.031,1158599.727,,
1213,0.29390896,2289403.124,1163625.723,,
1214,0.29317923,2296018.674,1168950.681,,
1215,0.29235037,2302673.203,1174578.206,,
1216,0.29142225,2309365.236,1180511.905,,
1217,0.29039485,2316093.281,1186755.357,,
1218,0.28927113,2322849.644,1193300.89,,
1219,0.28806145,2329611.025,1200112.522,,
1220,0.28677702,2336351.705,1207149.887,,
1221,0.28542884,2343045.964,1214372.618,,
1222,0.2840276,2349668.085,1221740.349,,
1223,0.2825837,2356192.348,1229212.712,,
1224,0.28110723,2362593.034,1236749.342,,
1225,0.27960799,2368844.426,1244309.871,,
1226,0.27809547,2374920.804,1251853.934,,
1227,0.27657867,2380798.566,1259342.846,,
1228,0.27506519,2386466.557,1266747.825,,
1229,0.27356199,2391918.166,1274043.7,,
1230,0.2720759,2397146.787,1281205.307,,
1231,0.27061355,2402145.812,1288207.479,,
1232,0.26918144,2406908.636,1295025.051,,
1233,0.26778591,2411428.654,1301632.858,,
1234,0.26643322,2415699.257,1308005.734,,
1235,0.26512948,2419713.842,1314118.513,,
1236,0.26388035,2423470.385,1319949.643,,
1237,0.2626867,2427027.014,1325524.966,,
1238,0.26154617,2430484.191,1330903.68,,
1239,0.26045664,2433943.259,1336145.68,,
1240,0.25941617,2437505.56,1341310.859,,
1241,0.25842308,2441272.437,1346459.113,,
1242,0.25747583,2445345.233,1351650.335,,
1243,0.25657306,2449825.292,1356944.418,,
1244,0.25571355,2454813.956,1362401.258,,
1245,0.25489621,2460410.118,1368079.367,,
1246,0.25412021,2466636.32,1373994.227,,
1247,0.25338487,2473425.66,1380110.909,,
1248,0.2526894,2480706.146,1386391.615,,
1249,0.2520329,2488405.787,1392798.547,,
1250,0.25141438,2496452.589,1399293.907,,
1251,0.25083278,2504774.562,1405839.897,,
1252,0.25028697,2513299.712,1412398.719,,
1253,0.24977575,2521956.049,1418932.576,,
1254,0.24929791,2530671.764,1425403.781,,
1255,0.24885194,2539390.99,1431784.416,,
1256,0.24843593,2548085.909,1438063.738,,
1257,0.24804794,2556731.551,1444232.755,,
1258,0.24768606,2565302.949,1450282.472,,
1259,0.24734841,2573775.132,1456203.893,,
1260,0.24703313,2582123.132,1461988.025,,
1261,0.24673839,2590321.98,1467625.874,,
1262,0.24646238,2598346.706,1473108.443,,
1263,0.24620332,2606172.373,1478426.757,,
1264,0.24595951,2613783.657,1483577.123,,
1265,0.24572939,2621188.437,1488568.603,,
1266,0.24551145,2628398.019,1493412.146,,
1267,0.24530422,2635423.712,1498118.699,,
1268,0.24510626,2642276.823,1502699.21,,
1269,0.24491613,2648968.659,1507164.626,,
1270,0.24473244,2655510.529,1511525.896,,
1271,0.2445538,2661913.739,1515793.967,,
1272,0.24437887,2668189.596,1519979.787,,
1273,0.24420634,2674347.451,1524093.06,,
1274,0.24403504,2680390.76,1528139.752,,
1275,0.24386381,2686321.871,1532125.123,,
1276,0.24369154,2692143.136,1536054.437,,
1277,0.2435171,2697856.902,1539932.954,,
1278,0.24333938,2703465.519,1543765.936,,
1279,0.24315729,2708971.338,1547558.646,,
1280,0.24296975,2714376.706,1551316.345,,
1281,0.24277568,2719683.975,1555044.295,,
1282,0.24257456,2724895.72,1558745.914,,
1283,0.24236775,2730015.29,1562418.331,,
1284,0.24215701,2735046.199,1566057.329,,
1285,0.24194406,2739991.962,1569658.693,,
1286,0.24173062,2744856.092,1573218.207,,
1287,0.24151838,2749642.104,1576731.655,,
1288,0.24130904,2754353.511,1580194.823,,
1289,0.24110428,2758993.829,1583603.495,,
1290,0.24090574,2763566.57,1586953.455,,
1291,0.24071496,2768073.883,1590240.145,,
1292,0.24053304,2772513.113,1593457.8,,
1293,0.24036097,2776880.555,1596600.392,,
1294,0.24019973,2781172.5,1599661.893,,
1295,0.2400503,2785385.244,1602636.275,,
1296,0.23991367,2789515.08,1605517.509,,
1297,0.23979079,2793558.3,1608299.567,,
1298,0.23968265,2797511.199,1610976.42,,
1299,0.2395902,2801370.069,1613542.04,,
1300,0.23951439,2805130.328,1615989.951,,
1301,0.23945611,2808784.508,1618312.205,,
1302,0.23941625,2812324.548,1620500.552,,
1303,0.2393957,2815742.389,1622546.74,,
1304,0.23939534,2819029.97,1624442.52,,
1305,0.23941607,2822179.232,1626179.64,,
1306,0.23945878,2825182.113,1627749.851,,
1307,0.23952438,2828030.554,1629144.901,,
1308,0.23961379,2830716.497,1630356.542,,
1309,0.23972785,2833233.774,1631377.842,,
1310,0.23986728,2835581.566,1632205.601,,
1311,0.24003276,2837759.995,1632837.277,,
1312,0.24022497,2839769.184,1633270.325,,
1313,0.24044463,2841609.253,1633502.201,,
1314,0.24069247,2843280.326,1633530.362,,
1315,0.24096921,2844782.524,1633352.264,,
1316,0.24127562,2846115.969,1632965.362,,
1317,0.24161246,2847280.784,1632367.112,,
1318,0.24198064,2848277.354,1631554.682,,
1319,0.24238135,2849106.657,1630524.597,,
1320,0.24281583,2849769.751,1629273.29,,
1321,0.24328535,2850267.693,1627797.196,,
1322,0.2437912,2850601.542,1626092.75,,
1323,0.24433469,2850772.356,1624156.388,,
1324,0.24491717,2850781.194,1621984.542,,
1325,0.24554001,2850629.113,1619573.65,,
1326,0.24620461,2850317.146,1616920.15,,
1327,0.24691196,2849844.35,1614020.986,,
1328,0.24766236,2849206.449,1610873.946,,
1329,0.24845606,2848398.846,1607476.899,,
1330,0.24929335,2847416.943,1603827.713,,
1331,0.25017456,2846256.143,1599924.258,,
1332,0.25110004,2844911.848,1595764.403,,
1333,0.2520702,2843379.46,1591346.018,,
1334,0.25308547,2841654.383,1586666.971,,
1335,0.25414633,2839732.007,1581725.168,,
1336,0.25525291,2837607.377,1576519.67,,
1337,0.25640495,2835275.121,1571050.92,,
1338,0.25760218,2832729.842,1565319.44,,
1339,0.25884439,2829966.144,1559325.753,,
1340,0.26013139,2826978.632,1553070.382,,
1341,0.26146303,2823761.908,1546553.85,,
1342,0.2628392,2820310.578,1539776.68,,
1343,0.26425982,2816619.244,1532739.394,,
1344,0.26572476,2812683.024,1525443.171,,
1345,0.2672322,2808505.107,1517899.511,,
1346,0.26877894,2804095.103,1510128.119,,
1347,0.27036171,2799462.795,1502148.927,,
1348,0.27197712,2794617.97,1493981.866,,
1349,0.27362174,2789570.414,1485646.868,,
1350,0.27529202,2784329.912,1477163.866,,
1351,0.27698433,2778906.249,1468552.79,,
1352,0.27869495,2773309.211,1459833.574,,
1353,0.28042016,2767549.083,1451025.94,,
1354,0.2821573,2761640.259,1442147.898,,
1355,0.28390421,2755599.164,1433216.612,,
1356,0.2856586,2749442.236,1424249.239,,
1357,0.28741811,2743185.91,1415262.937,,
1358,0.28918025,2736846.626,1406274.864,,
1359,0.29094243,2730440.821,1397302.177,,
1360,0.29270197,2723984.931,1388362.035,,
1361,0.29445605,2717495.396,1379471.595,,
1362,0.29620239,2710981.765,1370642.54,,
1363,0.29794143,2704423.121,1361862.335,,
1364,0.2996745,2697790.124,1353111.749,,
1365,0.30140301,2691053.433,1344371.55,,
1366,0.30312851,2684183.707,1335622.505,,
1367,0.30485265,2677151.604,1326845.383,,
1368,0.3065772,2669927.783,1318020.953,,
1369,0.30830406,2662482.904,1309129.981,,
1370,0.31003524,2654787.655,1300153.246,,
1371,0.31177335,2646820.091,1291073.804,,
1372,0.31352212,2638575.24,1281879.963,,
1373,0.31528556,2630050.519,1272560.769,,
1374,0.31706779,2621243.342,1263105.268,,
1375,0.31887309,2612151.122,1253502.507,,
1376,0.32070587,2602771.275,1243741.532,,
1377,0.32257069,2593101.215,1233811.387,,
1378,0.32447231,2583138.355,1223701.121,,
1379,0.32641562,2572881.054,1213400.285,,
1380,0.32840495,2562358.344,1202914.936,,
1381,0.33044378,2551635.964,1192270.875,,
1382,0.33253546,2540781.811,1181495.065,,
1383,0.33468325,2529863.785,1170614.471,,
1384,0.33689031,2518949.784,1159656.056,,
1385,0.33915968,2508107.707,1148646.783,,
1386,0.34149427,2497405.452,1137613.618,,
1387,0.34389683,2486910.919,1126583.522,,
1388,0.34637008,2476689.09,1115581.784,,
1389,0.34891807,2466774.276,1104616.041,,
1390,0.35154579,2457182.43,1093683.372,,
1391,0.35425835,2447929.258,1082780.709,,
1392,0.35706093,2439030.465,1071904.989,,
1393,0.3599588,2430501.755,1061053.145,,
1394,0.36295732,2422358.835,1050222.111,,
1395,0.36606193,2414617.409,1039408.821,,
1396,0.36927815,2407293.182,1028610.211,,
1397,0.37261131,2400400.425,1017823.293,,
1398,0.37606553,2393947.283,1007045.415,,
1399,0.37964466,2387940.263,996274.013,,
1400,0.3833526,2382385.873,985506.525,,
1401,0.38719332,2377290.621,974740.3878,,
1402,0.39117081,2372661.016,963973.0386,,
1403,0.39528914,2368503.564,953201.9144,,
1404,0.39955242,2364824.773,942424.4523,,
1405,0.40396478,2361630.977,931638.1343,,
1406,0.40852556,2358912.667,920844.5078,,
1407,0.4132254,2356632.081,910052.369,,
1408,0.41805382,2354748.54,899271.2639,,
1409,0.4230001,2353221.365,888510.7381,,
1410,0.42805329,2352009.875,877780.3374,,
1411,0.43320221,2351073.391,867089.6076,,
1412,0.43843542,2350371.232,856448.0944,,
1413,0.44374126,2349862.719,845865.3436,,
1414,0.44910778,2349507.554,835351.1236,,
1415,0.4545221,2349271.058,824918.4778,,
1416,0.45997041,2349122.83,814582.9429,,
1417,0.46543851,2349032.578,804360.1177,,
1418,0.47091172,2348970.005,794265.6012,,
1419,0.4763749,2348904.82,784314.9924,,
1420,0.48181246,2348806.727,774523.8902,,
1421,0.48720832,2348645.434,764907.8937,,
1422,0.49254587,2348390.646,755482.6018,,
1423,0.49780933,2348016.371,746262.7929,,
