,,Sample ID,Protein,fat,ash,moisture,Fiber,wa
2/2/2026 13:37,M20260202-00076,B2600041_01,23,21,4.6,5,3.49,0.4
2/2/2026 13:52,M20260202-00077,B2600041_02,23,21,4.6,5,3.49,0.4
2/2/2026 13:56,M20260202-00078,B2600041_03,23,21,4.6,5,3.49,0.4
2/2/2026 14:55,M20260202-00079,B2500012,30,13,5.6,6.3,3.35,0.47
2/2/2026 15:12,M20260202-00080,B2500166,28,19,6.4,5,3.12,0.54
2/2/2026 15:18,M20260202-00081,B2500235,30,16,6,7,3.08,0.5
2/2/2026 15:32,M20260202-00082,B2500392,30,15,4.6,5,3.46,0.36
2/2/2026 15:39,M20260202-00083,B2500016,32,16,5,5,3.17,0.38
2/2/2026 15:53,M20260202-00084,B2500295,32,17,7.6,2,3.11,0.5
2/2/2026 15:57,M20260202-00085,B2500391,30,15,4.6,5,3.46,0.39
2/2/2026 16:02,M20260202-00086,B2500011,34,17,5.4,6,2.85,0.39
2/2/2026 16:09,M20260202-00087,B2500013,33,13,5.6,6,3.14,0.2
2/2/2026 16:15,M20260202-00088,B2500171,33,13,6.2,2,3.41,0.41
2/2/2026 16:19,M20260202-00089,B2500274,28,14,5,5,3.64,0.51
2/2/2026 16:22,M20260202-00090,B2500015,31,18,4.5,8,3.5,0.54
2/2/2026 16:35,M20260202-00091,B2500343,25,16,4.4,6,3.5,0.5
2/2/2026 16:40,M20260202-00092,B2500406,28,12,5,7,3.5,0.58
2/2/2026 16:43,M20260202-00093,B2500043,27,12,4.2,8,3.5,0.42
2/3/2026 16:43,M20260202-00094,B2500094,24,14,4.8,3.5,4.05,0.39
2/4/2026 16:43,M20260202-00095,B2500095,27.6,16,5.6,5,3.43,0.41
