FileTitle:,IAS_Spectrum,,,,
Head:,Reference,Sample,,,
Sample ID,B2500094,,,,
System Temp hundredths:,1860,2057,,,
Detector Temp hundredths:,0,0,,,
Humidity hundredths:,7217,6581,,,
Lamp PD:,91,93,,,
Tec Temp:,0,,,,
Product SN:,8B6YK9LO,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.34808683,1473903.287,661275.0761,6295,2306
901,0.34768589,1497330.393,672406.2659,5980,2143
902,0.34727817,1520545.844,683472.9744,5681,1898
903,0.34686404,1543522.565,694462.7298,6077,1880
904,0.34644379,1566233.481,705363.0607,7059,2003
905,0.34601767,1588651.515,716161.4953,8350,2200
906,0.34558589,1610749.593,726845.5623,10630,2779
907,0.34514858,1632500.64,737402.7899,14049,3458
908,0.34470587,1653877.578,747820.7065,19026,4431
909,0.34425782,1674853.334,758086.8407,27031,6240
910,0.34380447,1695400.83,768188.7208,41294,9454
911,0.34334579,1715492.993,778113.8752,66299,15671
912,0.34288194,1735110.381,787852.9599,107408,26286
913,0.34241373,1754262.576,797408.5197,171487,43192
914,0.34194211,1772966.059,806785.9244,253685,64902
915,0.341468,1791237.308,815990.5436,335655,86569
916,0.34099229,1809092.801,825027.7471,407138,104855
917,0.34051585,1826549.018,833902.9045,472084,120542
918,0.34003951,1843622.436,842621.3856,537272,135150
919,0.3395641,1860329.536,851188.56,605516,149529
920,0.33909044,1876686.796,859609.7973,675963,163630
921,0.33861932,1892710.694,867890.4674,750114,177406
922,0.33815151,1908417.71,876035.9399,827095,191309
923,0.3376878,1923824.323,884051.5844,906709,205037
924,0.33722896,1938946.355,891942.4449,986757,218750
925,0.33677589,1953791.979,899709.7601,1069193,233512
926,0.33632956,1968364.414,907352.3048,1152885,249456
927,0.33589091,1982666.793,914868.8126,1237545,266281
928,0.33546087,1996702.253,922258.0168,1323129,283143
929,0.33504034,2010473.926,929518.6511,1410988,299757
930,0.3346302,2023984.948,936649.4488,1500910,316228
931,0.33423132,2037238.455,943649.1435,1593729,332353
932,0.33384454,2050237.579,950516.4686,1687500,347116
933,0.33347072,2062985.457,957250.1576,1780283,360190
934,0.33311067,2075485.222,963848.9439,1869859,372238
935,0.33276521,2087740.01,970311.5612,1955851,384432
936,0.33243512,2099752.588,976636.6123,2037131,397391
937,0.33212077,2111516.97,982819.5943,2110104,410469
938,0.33182206,2123018.248,988852.8376,2173096,422630
939,0.33153891,2134241.114,994728.5303,2226212,434947
940,0.33127121,2145170.258,1000438.861,2269815,448804
941,0.3310189,2155790.371,1005976.016,2303437,466789
942,0.3307819,2166086.143,1011332.186,2328503,494673
943,0.33056013,2176042.265,1016499.557,2345274,539036
944,0.33035356,2185643.429,1021470.317,2352921,602523
945,0.33016214,2194874.324,1026236.656,2354777,679837
946,0.32998583,2203719.641,1030790.76,2368063,761508
947,0.32982461,2212164.072,1035124.818,2413463,841684
948,0.32967847,2220192.924,1039231.359,2490335,921574
949,0.32954686,2227806.225,1043111.058,2584192,1002246
950,0.32942875,2235019.016,1046772.894,2663665,1075103
951,0.32932311,2241847.014,1050226.223,2725045,1143596
952,0.32922895,2248305.937,1053480.399,2778607,1213512
953,0.32914528,2254411.5,1056544.776,2820704,1277429
954,0.32907118,2260179.422,1059428.709,2845937,1325081
955,0.32900571,2265625.419,1062141.554,2855737,1354152
956,0.32894797,2270765.209,1064692.663,2852629,1366083
957,0.32889708,2275614.508,1067091.392,2836129,1362672
958,0.32885216,2280189.034,1069347.096,2807098,1346808
959,0.32881236,2284504.504,1071469.129,2769458,1322415
960,0.32877682,2288576.932,1073467.002,2725359,1293794
961,0.32874461,2292425.884,1075352.104,2673603,1262669
962,0.32871477,2296073.27,1077137.063,2610905,1225786
963,0.32868633,2299541.04,1078834.528,2534413,1178670
964,0.32865832,2302851.147,1080457.146,2463687,1127429
965,0.3286298,2306025.541,1082017.568,2426756,1082389
966,0.32859982,2309086.174,1083528.442,2381163,1024885
967,0.32856745,2312054.996,1085002.418,2320418,965116
968,0.32853176,2314953.958,1086452.144,2259067,925640
969,0.32849181,2317805.013,1087890.269,2201693,908058
970,0.32844668,2320630.11,1089329.442,2151006,906939
971,0.32839547,2323451.201,1090782.312,2106524,915740
972,0.32833739,2326285.702,1092259.069,2064871,928137
973,0.32827223,2329132.022,1093759.593,2028591,945511
974,0.32819991,2331983.595,1095281.064,2001541,965948
975,0.32812036,2334833.852,1096820.665,1986706,985161
976,0.32803349,2337676.227,1098375.576,1984878,1001845
977,0.32793924,2340504.151,1099942.979,1996207,1015617
978,0.32783753,2343311.057,1101520.054,2020743,1029030
979,0.32772829,2346090.378,1103103.982,2053667,1043370
980,0.32761142,2348835.547,1104691.945,2091975,1058070
981,0.32748687,2351539.995,1106281.124,2136813,1073996
982,0.32735454,2354197.156,1107868.7,2185437,1089763
983,0.32721436,2356800.352,1109451.783,2231333,1104082
984,0.32706646,2359339.908,1111025.562,2271165,1115064
985,0.32691118,2361802.858,1112583.116,2309458,1125012
986,0.32674885,2364176.071,1114117.415,2341806,1131356
987,0.32657983,2366446.413,1115621.432,2364598,1133116
988,0.32640442,2368600.753,1117088.137,2379266,1131913
