FileTitle:,IAS_Spectrum,,151844_M20260202-00081_0_5-1,,
Head:,Reference,Sample,,,
Sample ID,B2500235,,,,
System Temp hundredths:,2495,2507,,,
Detector Temp hundredths:,0,0,,,
Humidity hundredths:,5624,5589,,,
Lamp PD:,92,93,,,
Tec Temp:,0,,,,
Product SN:,8B6YK9LO,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.32219321,1465748.911,698017.5964,6125,2269
901,0.32182387,1488894.172,709643.0681,5855,2091
902,0.32144733,1511835.827,721202.6346,5621,1885
903,0.32106407,1534549.181,732684.0609,6129,2014
904,0.32067449,1557009.536,744075.1118,7072,2188
905,0.32027896,1579192.199,755363.5522,8734,2495
906,0.31987778,1601072.472,766537.147,11363,2945
907,0.31947121,1622625.661,777583.6612,15436,3928
908,0.31905946,1643827.069,788490.8595,21159,5244
909,0.31864271,1664652,799246.507,30513,7498
910,0.31822108,1685075.76,809838.3684,47810,11880
911,0.31779468,1705073.652,820254.2087,78711,20234
912,0.31736369,1724627.8,830484.8,128327,34284
913,0.31692886,1743746.25,840532.3456,197856,54623
914,0.31649098,1762443.209,850401.7652,276761,78437
915,0.31605085,1780732.881,860097.9783,350209,100391
916,0.31560924,1798629.472,869625.9046,415157,119386
917,0.31516688,1816147.189,878990.4634,477281,136508
918,0.3147245,1833300.236,888196.5744,541281,152827
919,0.31428281,1850102.82,897249.1572,608883,169230
920,0.31384249,1866569.147,906153.1313,679316,185297
921,0.31340422,1882713.421,914913.4162,753174,201326
922,0.31296868,1898549.849,923534.9315,829963,217323
923,0.31253651,1914092.636,932022.5967,909339,233316
924,0.31210838,1929355.374,940380.9969,988947,249195
925,0.31168514,1944344.481,948610.8084,1071121,266442
926,0.31126773,1959061.731,956710.177,1154372,284737
927,0.31085705,1973508.819,964677.2062,1238810,304159
928,0.31045402,1987687.442,972509.9991,1324373,323877
929,0.31005949,2001599.295,980206.6592,1411871,343084
930,0.30967432,2015246.074,987765.2896,1501577,361728
931,0.30929935,2028629.475,995183.9937,1594172,380344
932,0.30893539,2041751.193,1002460.875,1687569,397684
933,0.30858324,2054612.923,1009594.036,1780213,413440
934,0.3082437,2067216.363,1016581.581,1869574,428046
935,0.30791754,2079563.207,1023421.613,1955507,442775
936,0.30760552,2091654.84,1030112.13,2036568,458825
937,0.30730789,2103485.236,1036648.637,2109258,475614
938,0.30702441,2115040.815,1043024.093,2172367,491745
939,0.30675485,2126307.659,1049231.347,2225247,507074
940,0.30649895,2137271.846,1055263.242,2269045,524030
941,0.30625651,2147919.457,1061112.627,2302283,544968
942,0.3060273,2158236.573,1066772.348,2327230,575660
943,0.30581112,2168209.274,1072235.25,2343582,622437
944,0.30560777,2177823.64,1077494.18,2351060,686759
945,0.30541709,2187065.752,1082541.985,2352876,763228
946,0.3052389,2195921.689,1087371.511,2366045,842934
947,0.30507304,2204377.532,1091975.604,2410853,921025
948,0.30491936,2212419.939,1096347.436,2487207,1000531
949,0.30477734,2220049.34,1100487.934,2580891,1082977
950,0.30464613,2227280.212,1104405.937,2659839,1157974
951,0.30452486,2234127.667,1108110.639,2720643,1227092
952,0.30441272,2240606.813,1111611.235,2774387,1296258
953,0.30430891,2246732.762,1114916.918,2816999,1358248
954,0.30421264,2252520.623,1118036.884,2842175,1403124
955,0.30412316,2257985.507,1120980.326,2851577,1429577
956,0.30403971,2263142.523,1123756.44,2847649,1439551
957,0.30396157,2268006.783,1126374.42,2830868,1434779
958,0.30388802,2272593.395,1128843.46,2801253,1418024
959,0.30381835,2276917.471,1131172.754,2763176,1393255
960,0.30375188,2280994.473,1133371.665,2719150,1364378
961,0.30368797,2284844.097,1135451.547,2667223,1332644
962,0.303626,2288488.826,1137425.071,2604377,1294696
963,0.30356539,2291951.196,1139304.932,2528298,1246348
964,0.30350554,2295253.739,1141103.824,2457781,1194144
965,0.30344588,2298418.991,1142834.442,2420911,1148314
966,0.30338583,2301469.485,1144509.48,2375783,1089511
967,0.30332481,2304427.755,1146141.632,2315177,1027875
968,0.30326226,2307316.336,1147743.593,2254362,986918
969,0.30319763,2310157.761,1149328.057,2197354,968415
970,0.30313035,2312974.565,1150907.718,2146908,965706
971,0.30305989,2315789.282,1152495.271,2102895,972402
972,0.30298573,2318619.769,1154100.964,2061236,982375
973,0.30290758,2321464.285,1155724.796,2025247,997568
974,0.30282516,2324315.957,1157364.081,1997888,1015702
975,0.30273824,2327167.912,1159016.133,1982991,1033045
976,0.30264654,2330013.277,1160678.266,1980891,1048328
977,0.30254982,2332845.178,1162347.795,1992077,1062094
978,0.30244782,2335656.743,1164022.033,2015985,1076088
979,0.30234027,2338441.097,1165698.296,2048601,1091401
980,0.30222694,2341191.369,1167373.897,2086543,1107546
981,0.30210755,2343900.684,1169046.151,2131044,1125160
982,0.30198186,2346562.17,1170712.371,2179344,1142996
983,0.30184962,2349168.851,1172369.789,2225093,1159015
984,0.30171091,2351710.966,1174013.354,2264660,1171642
985,0.30156618,2354175.698,1175635.514,2302768,1183246
986,0.30141587,2356550.074,1177228.592,2334882,1191347
987,0.30126044,2358821.122,1178784.907,2357475,1194419
988,0.30110033,2360975.868,1180296.78,2371778,1194463
989,0.30093596,2363001.341,1181756.532,2370634,1187908
990,0.30076776,2364884.566,1183156.484,2347965,1171601
991,0.30059615,2366612.571,1184488.957,2315833,1152520
992,0.30042155,2368172.384,1185746.271,2278337,1131938
993,0.30024435,2369551.032,1186920.747,2208512,1094224
994,0.30006495,2370735.543,1188004.707,2085730,1026835
995,0.29988363,2371717.373,1188993.028,1919231,934834
996,0.29970027,2372501.391,1189888.331,1704738,820079
997,0.29951471,2373095.006,1190694.699,1429434,679849
998,0.29932676,2373505.622,1191416.217,1110871,523561
999,0.29913626,2373740.648,1192056.97,724942,338992
1000,0.29894303,2373807.49,1192621.041,318636,148472
1001,0.29874691,2373713.554,1193112.517,81589,38140
1002,0.29854773,2373466.247,1193535.48,25042,11981
1003,0.29834532,2373072.975,1193894.016,17920,8625
1004,0.29813952,2372541.145,1194192.208,15736,7540
1005,0.29793017,2371878.164,1194434.141,,
1006,0.2977171,2371091.346,1194623.85,,
1007,0.29750018,2370187.443,1194765.068,,
1008,0.29727924,2369173,1194861.414,,
1009,0.29705414,2368054.56,1194916.507,,
1010,0.29682475,2366838.665,1194933.968,,
1011,0.29659091,2365531.858,1194917.416,,
1012,0.29635249,2364140.684,1194870.47,,
1013,0.29610934,2362671.685,1194796.751,,
1014,0.29586134,2361131.403,1194699.877,,
1015,0.29560834,2359526.384,1194583.469,,
1016,0.29535021,2357863.168,1194451.145,,
1017,0.29508687,2356147.478,1194305.961,,
