Batch Number,B2600069,,,,
Category,Pet Food,,,,
Specie,Dog,,,,
Family,Healthcare,,,,
Brand,PETFLAKES,,,,
Product Code,DDF100001,,,,
Product name,PETFLAKES Maintenance - Adult Dog 10 Kg,,,,
NIR-Code,M20260209-00094,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.36257666,1473903.287,639576.2496,6295,2154
901,0.36218213,1497330.393,650332.5749,5980,1939
902,0.36178233,1520545.844,661023.9452,5681,1756
903,0.36137703,1543522.565,671639.0763,6077,1757
904,0.360966,1566233.481,682166.6843,7059,1724
905,0.36054899,1588651.515,692595.4851,8350,2160
906,0.36012572,1610749.593,702914.1947,10630,2481
907,0.3596959,1632500.64,713111.5289,14049,3097
908,0.35925923,1653877.578,723176.2039,19026,4193
909,0.35881538,1674853.334,733096.9355,27031,5807
910,0.35836399,1695400.83,742862.4396,41294,9014
911,0.3579047,1715492.993,752461.4324,66299,14824
912,0.35743747,1735110.381,761885.3842,107408,25034
913,0.35696349,1754262.576,771136.237,171487,41335
914,0.35648422,1772966.059,780218.4208,253685,62132
915,0.35600107,1791237.308,789136.3654,335655,82996
916,0.35551537,1809092.801,797894.5006,407138,100717
917,0.35502844,1826549.018,806497.2565,472084,115877
918,0.35454152,1843622.436,814949.0628,537272,129960
919,0.35405585,1860329.536,823254.3494,605516,143877
920,0.35357261,1876686.796,831417.5464,675963,157456
921,0.35309298,1892710.694,839443.0834,750114,170898
922,0.35261809,1908417.71,847335.3904,827095,184285
923,0.35214906,1923824.323,855098.8973,906709,197566
924,0.35168698,1938946.355,862737.7821,986757,210877
925,0.35123265,1953791.979,870253.2803,1069193,225363
926,0.35078676,1968364.414,877644.7223,1152885,240795
927,0.35034994,1982666.793,884911.4065,1237545,257137
928,0.34992283,1996702.253,892052.6313,1323129,273460
929,0.34950605,2010473.926,899067.6951,1410988,289812
930,0.34910022,2023984.948,905955.8962,1500910,305784
931,0.34870595,2037238.455,912716.5331,1593729,321437
932,0.34832383,2050237.579,919348.904,1687500,335885
933,0.34795445,2062985.457,925852.3074,1780283,348908
934,0.34759841,2075485.222,932226.0417,1869859,360713
935,0.3472563,2087740.01,938469.4053,1955851,372667
936,0.34692866,2099752.588,944581.5547,2037131,385514
937,0.34661583,2111516.97,950558.272,2110104,398504
938,0.34631784,2123018.248,956391.8985,2173096,410476
939,0.34603472,2134241.114,962074.6209,2226212,422412
940,0.34576652,2145170.258,967598.6261,2269815,435780
941,0.34551328,2155790.371,972956.1007,2303437,452970
942,0.34527505,2166086.143,978139.2314,2328503,479632
943,0.34505187,2176042.265,983140.205,2345274,521777
944,0.34484381,2185643.429,987951.2081,2352921,582198
945,0.34465095,2194874.324,992564.4275,2354777,655554
946,0.34447336,2203719.641,996972.0498,2368063,733217
947,0.34431113,2212164.072,1001166.262,2413463,809480
948,0.34416434,2220192.924,1005139.586,2490335,885850
949,0.34403249,2227806.225,1008892.557,2584192,963517
950,0.34391455,2235019.016,1012433.88,2663665,1034163
951,0.34380947,2241847.014,1015772.628,2725045,1100632
952,0.34371623,2248305.937,1018917.875,2778607,1168523
953,0.34363385,2254411.5,1021878.693,2820704,1230500
954,0.34356137,2260179.422,1024664.156,2845937,1276850
955,0.34349786,2265625.419,1027283.338,2855737,1305030
956,0.34344241,2270765.209,1029745.312,2852629,1316652
957,0.3433941,2275614.508,1032059.152,2836129,1313331
958,0.34335207,2280189.034,1034233.929,2807098,1298121
959,0.34331544,2284504.504,1036278.719,2769458,1274525
960,0.34328335,2288576.932,1038202.741,2725359,1247010
961,0.34325488,2292425.884,1040016.967,2673603,1216957
962,0.3432291,2296073.27,1041733.528,2610905,1181298
963,0.34320508,2299541.04,1043364.573,2534413,1135508
964,0.34318189,2302851.147,1044922.253,2463687,1085645
965,0.34315861,2306025.541,1046418.718,2426756,1041467
966,0.34313434,2309086.174,1047866.118,2381163,984935
967,0.34310817,2312054.996,1049276.603,2320418,926584
968,0.3430792,2314953.958,1050662.323,2259067,888394
969,0.34304653,2317805.013,1052035.427,2201693,872073
970,0.34300928,2320630.11,1053408.068,2151006,871616
971,0.34296657,2323451.201,1054792.393,2106524,880684
972,0.3429176,2326285.702,1056198.274,2064871,893147
973,0.34286198,2329132.022,1057626.028,2028591,910548
974,0.3427994,2331983.595,1059073.472,2001541,931228
975,0.34272958,2334833.852,1060538.419,1986706,950645
976,0.3426522,2337676.227,1062018.688,1984878,967179
977,0.34256698,2340504.151,1063512.092,1996207,980978
978,0.34247363,2343311.057,1065016.448,2020743,993978
979,0.34237184,2346090.378,1066529.572,2053667,1008126
980,0.34226132,2348835.547,1068049.279,2091975,1022479
981,0.34214178,2351539.995,1069573.384,2136813,1037844
982,0.34201293,2354197.156,1071099.705,2185437,1053476
983,0.34187449,2356800.352,1072625.965,2231333,1067210
984,0.34172662,2359339.908,1074147.422,2271165,1077915
985,0.34156999,2361802.858,1075656.624,2309458,1087532
986,0.34140525,2364176.071,1077145.98,2341806,1093559
987,0.34123308,2366446.413,1078607.903,2364598,1095153
988,0.34105411,2368600.753,1080034.801,2379266,1094184
989,0.34086901,2370625.958,1081419.085,2378254,1087341
990,0.34067839,2372508.896,1082753.165,2355598,1071917
991,0.34048288,2374236.434,1084029.452,2323495,1054814
992,0.34028311,2375795.44,1085240.357,2285922,1036949
993,0.34007967,2377172.782,1086378.288,2216292,1003211
994,0.33987317,2378355.329,1087435.658,2093865,941587
995,0.33966402,2379334.358,1088407.329,1928916,857669
996,0.33945211,2380114.515,1089295.591,1715156,752300
997,0.33923722,2380702.969,1090104.14,1437140,622758
998,0.33901916,2381106.89,1090836.67,1114986,478248
999,0.33879771,2381333.449,1091496.877,726386,309155
1000,0.33857268,2381389.815,1092088.455,318456,134941
1001,0.33834384,2381283.158,1092615.1,81310,34634
1002,0.33811101,2381020.649,1093080.507,25239,10935
1003,0.33787399,2380609.457,1093488.369,18237,7944
1004,0.33763257,2380056.753,1093842.384,16031,6848
1005,0.33738655,2379369.706,1094146.245,,
1006,0.33713577,2378555.486,1094403.609,,
1007,0.33688013,2377621.247,1094617.904,,
1008,0.33661957,2376574.144,1094792.471,,
1009,0.33635404,2375421.328,1094930.652,,
1010,0.33608349,2374169.951,1095035.786,,
1011,0.33580788,2372827.166,1095111.217,,
1012,0.33552715,2371400.126,1095160.283,,
1013,0.33524127,2369895.983,1095186.327,,
1014,0.33495019,2368321.888,1095192.691,,
1015,0.33465388,2366684.996,1095182.714,,
1016,0.33435229,2364992.457,1095159.738,,
1017,0.33404544,2363250.521,1095126.596,,
1018,0.3337336,2361458.098,1095081.998,,
1019,0.33341722,2359610.537,1095022.653,,
1020,0.33309672,2357703.16,1094945.253,,
1021,0.33277252,2355731.291,1094846.494,,
1022,0.33244504,2353690.255,1094723.07,,
1023,0.3321147,2351575.374,1094571.674,,
1024,0.33178191,2349381.972,1094389,,
1025,0.33144709,2347105.374,1094171.744,,
1026,0.33111065,2344740.902,1093916.599,,
1027,0.33077298,2342283.881,1093620.26,,
1028,0.33043449,2339730.362,1093279.78,,
1029,0.33009552,2337081.616,1092894.789,,
1030,0.32975639,2334341.187,1092466.038,,
1031,0.32941741,2331512.628,1091994.286,,
1032,0.3290789,2328599.492,1091480.288,,
1033,0.3287412,2325605.334,1090924.802,,
1034,0.32840463,2322533.707,1090328.584,,
1035,0.32806952,2319388.164,1089692.39,,
1036,0.3277362,2316172.259,1089016.979,,
1037,0.32740502,2312889.545,1088303.106,,
1038,0.32707632,2309543.576,1087551.528,,
1039,0.32675033,2306138.352,1086763.461,,
1040,0.32642688,2302679.8,1085942.102,,
1041,0.32610567,2299174.367,1085091.182,,
1042,0.32578642,2295628.499,1084214.431,,
1043,0.32546884,2292048.644,1083315.581,,
1044,0.32515264,2288441.249,1082398.362,,
1045,0.32483754,2284812.76,1081466.505,,
1046,0.32452327,2281169.625,1080523.742,,
1047,0.32420954,2277518.289,1079573.803,,
1048,0.32389608,2273865.202,1078620.418,,
1049,0.32358262,2270216.764,1077667.298,,
1050,0.32326896,2266574.526,1076715.685,,
1051,0.32295502,2262930.869,1075762.171,,
1052,0.32264071,2259277.157,1074802.828,,
1053,0.32232596,2255604.755,1073833.729,,
1054,0.32201068,2251905.025,1072850.947,,
1055,0.32169478,2248169.331,1071850.556,,
1056,0.32137817,2244389.038,1070828.629,,
1057,0.32106073,2240555.509,1069781.239,,
1058,0.32074237,2236660.107,1068704.458,,
1059,0.32042297,2232694.197,1067594.36,,
1060,0.32010243,2228649.784,1066447.296,,
1061,0.31978077,2224526.481,1065262.911,,
1062,0.31945813,2220328.881,1064043.009,,
1063,0.31913462,2216061.665,1062789.429,,
1064,0.31881037,2211729.513,1061504.011,,
1065,0.31848554,2207337.105,1060188.595,,
1066,0.31816024,2202889.121,1058845.022,,
1067,0.31783462,2198390.242,1057475.131,,
1068,0.31750884,2193845.146,1056080.763,,
1069,0.31718303,2189258.515,1054663.757,,
1070,0.31685734,2184635.031,1053225.954,,
1071,0.31653202,2179979.944,1051769.278,,
1072,0.31620748,2175299.881,1050295.854,,
1073,0.31588421,2170601.668,1048807.839,,
1074,0.31556266,2165892.132,1047307.387,,
1075,0.31524331,2161178.101,1045796.655,,
1076,0.31492665,2156466.402,1044277.799,,
1077,0.31461317,2151763.862,1042752.972,,
1078,0.31430337,2147077.308,1041224.333,,
1079,0.31399776,2142413.567,1039694.035,,
1080,0.31369684,2137779.467,1038164.234,,
1081,0.31340111,2133181.522,1036636.992,,
1082,0.31311089,2128623.859,1035113.653,,
1083,0.31282641,2124109.508,1033595.228,,
1084,0.3125479,2119641.493,1032082.728,,
1085,0.31227561,2115222.839,1030577.166,,
1086,0.31200978,2110856.568,1029079.55,,
1087,0.31175064,2106545.705,1027590.893,,
1088,0.31149845,2102293.273,1026112.205,,
1089,0.31125345,2098102.297,1024644.497,,
1090,0.31101589,2093975.8,1023188.78,,
1091,0.31078603,2089916.672,1021745.998,,
1092,0.31056412,2085924.855,1020315.62,,
1093,0.31035047,2081997.409,1018895.674,,
1094,0.31014534,2078131.278,1017484.128,,
1095,0.30994901,2074323.402,1016078.952,,
1096,0.30976178,2070570.724,1014678.113,,
1097,0.30958391,2066870.186,1013279.58,,
1098,0.30941569,2063218.729,1011881.321,,
1099,0.3092574,2059613.297,1010481.305,,
1100,0.30910932,2056050.83,1009077.501,,
1101,0.30897173,2052528.308,1007667.903,,
1102,0.30884468,2049045.172,1006252.219,,
1103,0.30872789,2045604.76,1004832.872,,
1104,0.30862104,2042210.76,1003412.529,,
1105,0.30852381,2038866.858,1001993.853,,
1106,0.30843587,2035576.743,1000579.512,,
1107,0.30835691,2032344.1,999172.1687,,
1108,0.3082866,2029172.616,997774.4901,,
1109,0.3082246,2026065.979,996389.1412,,
1110,0.30817059,2023027.875,995018.7872,,
1111,0.30812423,2020061.998,993666.0817,,
1112,0.30808619,2017173.073,992331.9548,,
1113,0.30805909,2014367.926,991013.8179,,
1114,0.30804584,2011653.641,989708.6529,,
1115,0.30804936,2009037.303,988413.4419,,
1116,0.30807257,2006525.994,987125.1667,,
1117,0.3081184,2004126.799,985840.8095,,
1118,0.30818982,2001846.801,984557.3522,,
1119,0.30828977,1999693.085,983271.7768,,
1120,0.30842123,1997672.733,981981.0654,,
