Batch Number,B2600056,,,,
Category,Aquaculture,,,,
Specie,Cold Fresh Water Fish,,,,
Family,Salmonoid,,,,
Brand,A'FLAKES,,,,
Product Code,FTT207002,,,,
Product name,A\'FLAKES Gold- Salmonoid Finisher 7002,,,,
NIR-Code,Y20260214-00111,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,11,,,,
Exposure Time:,0,,,,
Measurement points:,420,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.69023425,1238304.972,252693.0877,5462,910
901,0.69006773,1258195.676,256850.5283,5468,1139
902,0.68992103,1277969.063,260975.2427,5362,976
903,0.68980025,1297542.258,265046.0036,5154,962
904,0.6896901,1316736.143,269034.9192,5076,1058
905,0.68957481,1335366.583,272913.921,4953,959
906,0.68944174,1353396.433,276683.5182,5004,885
907,0.68928318,1371064.861,280397.9397,4983,831
908,0.68909242,1388641.316,284117.2882,4939,950
909,0.68887331,1406260.811,287867.454,5095,915
910,0.68865638,1423696.051,291582.1259,5048,918
911,0.68847493,1440659.324,295179.6175,5173,953
912,0.68834548,1456946.858,298605.795,5309,906
913,0.68822729,1472673.977,301911.2676,5517,894
914,0.6880682,1488031.816,305171.5305,5679,930
915,0.68783283,1503181.361,308445.5792,5897,946
916,0.68756226,1518126.321,311706.3536,6222,927
917,0.68731992,1532819.299,314898.8277,6349,946
918,0.68715526,1547234.293,317980.744,6665,1121
919,0.6870369,1561494.61,320998.9348,7147,1132
920,0.6869014,1575787.098,324038.1488,7461,1174
921,0.68669631,1590217.191,327159.9485,8056,1266
922,0.68644938,1604146.017,330213.265,8599,1339
923,0.68622829,1616536.733,332933.3367,8989,1409
924,0.68609173,1626507.933,335092.3035,9661,1384
925,0.68601919,1635037.747,336905.8809,10393,1547
926,0.68594118,1644308.25,338876.9741,11123,1668
927,0.68579445,1656361.082,341476.2976,12067,1777
928,0.68559032,1670886.4,344632.794,12972,1997
929,0.68539359,1685790.897,347864.5025,13932,2056
930,0.68526371,1699016.966,350698.5795,15077,2197
931,0.68519615,1709935.264,353007.161,16290,2336
932,0.68513407,1719147.108,354959.6334,17662,2563
933,0.68502295,1727307.537,356735.816,19254,2689
934,0.68486223,1735354.649,358530.4198,21144,2940
935,0.6847016,1744495.645,360552.3126,23024,3185
936,0.68459033,1755886.742,362999.6234,25533,3535
937,0.68453556,1769216.099,365801.3693,28357,3880
938,0.68450251,1782675.329,368612.2343,31388,4317
939,0.68445626,1794441.676,371084.7313,35243,4896
940,0.68438604,1804055.423,373133.1466,39732,5533
941,0.684306,1812505.486,374949.9789,44837,6314
942,0.68423097,1820829.329,376736.9974,50598,7173
943,0.68416757,1829494.768,378585.174,57281,8173
944,0.68411361,1838355.78,380466.0866,64892,9383
945,0.68406635,1847219.521,382342.1366,73529,10586
946,0.68401911,1855471.127,384091.8461,83175,12282
947,0.68396114,1862047.211,385504.5885,93973,13867
948,0.68388223,1865938.895,386380.4877,106296,15654
949,0.68379131,1867954.345,386878.8161,119433,17906
950,0.68371702,1870755.053,387525.1652,134022,20206
951,0.68368745,1876954.418,388835.8251,149074,22729
952,0.68369609,1886388.356,390782.4177,165053,25348
953,0.68370383,1896246.747,392817.6737,181792,28018
954,0.68367308,1903719.676,394393.6585,198779,30807
955,0.68360358,1907894.641,395321.8443,216052,33652
956,0.68352676,1909502.582,395725.0033,232137,36425
957,0.68347335,1909371.879,395746.5858,249789,39383
958,0.68345051,1908971.507,395684.4099,266268,42157
959,0.68344741,1910261.397,395954.6015,280321,44604
960,0.68345238,1914995.035,396931.2348,296546,47157
961,0.68344962,1922303.01,398448.5309,310842,49669
962,0.68342081,1929586.116,399984.6791,324757,52051
963,0.68335077,1934473.749,401062.5139,338404,54297
964,0.68325269,1937048.04,401686.9277,350288,56171
965,0.68315537,1938742.677,402128.4468,364368,58584
966,0.68308458,1940845.23,402630.1805,377839,60713
967,0.68304197,1943466.033,403213.4293,389708,62652
968,0.6830184,1946190.494,403800.5888,404732,65050
969,0.68300443,1948673.809,404328.8371,417723,67051
970,0.68298913,1950975.941,404820.7694,431100,69081
971,0.68296108,1953297.804,405328.7261,444641,71107
972,0.6829123,1955802.018,405893.9635,458403,73102
973,0.68284891,1958490.149,406511.1654,472058,75366
974,0.68278069,1961321.547,407162.8124,487098,77510
975,0.68271746,1964202.872,407820.3397,501087,79550
976,0.68266929,1966879.705,408421.4186,515350,81686
977,0.68264621,1969068.183,408897.5882,529871,83864
978,0.68264933,1970726.377,409238.987,544512,85853
979,0.68266035,1972343.633,409564.4323,559374,88097
980,0.68265854,1974473.281,410008.3658,571375,89753
981,0.68262984,1977264.404,410615.0965,589235,92177
982,0.68257046,1980234.718,411288.1584,605823,94532
983,0.68247803,1982860.704,411921.2302,618090,96158
984,0.68236312,1984991.505,412473.0097,636893,98864
985,0.68225054,1986884.966,412973.5012,652949,100987
986,0.68216435,1988806.97,413455.0341,668624,103102
987,0.68210799,1990837.463,413930.8692,684855,105258
988,0.68206941,1992916.258,414399.8962,697691,106912
989,0.6820366,1994995.539,414863.5935,716205,109449
990,0.68200065,1997160.313,415348.1504,733915,111818
991,0.68195419,1999562.006,415892.1132,747891,113545
992,0.68189305,2002144.876,416487.9596,768617,116359
993,0.68182861,2003803.559,416894.8502,785209,118425
994,0.68177698,2003102.44,416798.5317,801673,120607
995,0.68174697,1999592.992,416097.0451,818598,122868
996,0.68172574,1995821.502,415332.5362,836057,125009
997,0.68169647,1994879.288,415164.4467,852705,127279
998,0.68164965,1997828.638,415823.0709,870846,129713
999,0.68158899,2002026.044,416754.9149,887729,131704
1000,0.68151931,2004498.252,417336.507,904489,134001
1001,0.68144564,2004082.027,417320.6269,921812,136255
1002,0.68137368,2001618.968,416876.8042,939165,138666
1003,0.68130935,1998085.443,416202.52,956641,140975
1004,0.68125974,1994826.213,415571.0863,968354,142417
1005,0.68123275,1993429.329,415305.8937,991171,145612
1006,0.68123152,1995059.38,415646.6737,1010976,148537
1007,0.68123016,1998293.589,416321.7812,1022694,150029
1008,0.6811921,2000741.678,416868.3492,1045839,153267
1009,0.68109538,2000789.713,416971.2035,1063867,155559
1010,0.68096436,1999290.722,416784.5324,1081063,157893
1011,0.68083255,1997578.879,416554.0761,1098932,160505
1012,0.68072318,1996474.318,416428.6019,1110927,161773
1013,0.68064153,1995927.315,416392.7782,1132591,164603
1014,0.68059046,1995772.433,416409.4315,1153072,167082
1015,0.68055987,1995214.484,416322.3386,1166782,168812
1016,0.68052775,1992878.573,415865.6863,1191754,171895
1017,0.68047463,1987734.763,414843.0365,1209980,174195
1018,0.6804067,1981728.319,413654.1823,1228178,176240
1019,0.68034311,1978249.707,412988.5354,1247003,178529
1020,0.68029483,1979467.392,413288.6927,1266735,180775
1021,0.68023942,1982892.52,414056.6412,1285421,183102
1022,0.68014664,1984951.228,414575.0909,1305805,185419
1023,0.6800112,1983578.858,414417.6763,1324960,187731
1024,0.67987368,1979452.344,413686.5204,1343720,189873
1025,0.67977745,1973571.13,412548.8042,1363355,192116
1026,0.67971848,1967562.357,411348.6053,1383115,194464
1027,0.67964925,1963621.292,410590.1086,1403040,196639
1028,0.6795296,1963503.025,410678.5031,1413562,197492
1029,0.67938356,1965664.403,411268.8474,1440373,200863
1030,0.67926236,1967125.165,411689.3547,1463166,203369
1031,0.67919572,1965872.092,411490.2409,1473714,204305
1032,0.67914967,1962873.453,410906.1387,1500637,207446
1033,0.67907906,1959649.38,410297.9191,1520167,209753
1034,0.67897628,1956946.58,409829.0066,1538019,211639
1035,0.67888575,1954443.891,409390.211,1556594,213766
1036,0.67885072,1951775.242,408864.2018,1565836,214756
1037,0.67885584,1948953.04,408268.1823,1589144,217630
1038,0.67884829,1946230.442,407704.9334,1610305,220351
1039,0.67878843,1943797.569,407251.4151,1621238,221650
1040,0.67869718,1941555.813,406867.2197,1648308,225416
1041,0.67861173,1939328.393,406480.4123,1665292,227717
1042,0.67855146,1936912.933,406030.4856,1681502,229961
1043,0.67850402,1934061.86,405477.112,1698456,232514
1044,0.67845467,1930557.619,404788.4367,1716005,235076
1045,0.67840208,1926695.51,404027.5775,1730884,237604
1046,0.67835527,1923162.915,403330.2602,1748153,240365
1047,0.67832098,1920474.228,402798.1793,1762766,242642
1048,0.67829261,1918234.387,402354.6876,1776365,244904
1049,0.67825929,1915769.338,401868.4614,1790512,247137
1050,0.67821117,1912746.299,401278.782,1803978,249281
