Batch Number,B2600081,,,,
Category,Livestock,,,,
Specie,Cattle,,,,
Family,Dairy,,,,
Brand,FARMFLAKES,,,,
Product Code,PFDP010802,,,,
Product name,FARHAT FEED - DAIRY PRODUCTION COW,,,,
NIR-Code,D20260211-00102,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,11,,,,
Exposure Time:,0,,,,
Measurement points:,420,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.12188872,1239502.414,936178.4941,5549,3522
901,0.12175036,1259508.476,951591.9023,5624,3519
902,0.12158317,1279309.497,966924.2488,5375,3446
903,0.12138752,1298820.768,982113.5463,5333,3315
904,0.12118661,1317934.466,997027.6662,5277,3165
905,0.12100355,1336542.21,1011530.841,5131,3032
906,0.12084764,1354640.697,1025596.375,5003,3039
907,0.12070455,1372424.146,1039402.603,5119,2952
908,0.1205583,1390108.384,1053150.326,4994,2868
909,0.12039845,1407788.853,1066937.736,5009,2963
910,0.12022742,1425236.571,1080586.501,5098,2966
911,0.12004941,1442168.451,1093872.177,5108,3085
912,0.11986847,1458390.976,1106637.789,5330,3043
913,0.11968911,1474051.122,1118982.855,5458,3161
914,0.11951592,1489376.761,1131067.835,5646,3138
915,0.11935239,1504556.753,1143026.186,5797,3222
916,0.11919678,1519576.47,1154850.537,6071,3340
917,0.11904571,1534355.16,1166487.755,6463,3526
918,0.11889647,1548836.482,1177901.829,6731,3655
919,0.11875011,1563134.468,1189176.263,7082,3898
920,0.11860923,1577435.663,1200445.425,7603,4028
921,0.11847587,1591845.988,1211783.897,8029,4383
922,0.11834674,1605733.998,1222719.557,8576,4511
923,0.11821569,1618073.983,1232487.964,9096,4843
924,0.11807715,1627995.822,1240441.07,9686,5000
925,0.11793464,1636490.262,1247322.594,10416,5426
926,0.11779795,1645752.857,1254777.347,11226,5856
927,0.11767681,1657837.127,1264343.425,11919,6224
928,0.11757151,1672421.51,1275775.441,12838,6570
929,0.11747477,1687383.078,1287475.335,13882,7210
930,0.1173793,1700635.749,1297872.407,14913,7637
931,0.11728542,1711550.091,1306484.283,16246,8295
932,0.1172001,1720751.786,1313766.335,17571,8942
933,0.11713011,1728919.692,1320215.153,19144,9845
