Date of production,NIR test date,Batch Number,Protein,Fat,ASH,Moisture,Fiber, Wa,Category,Specie,Family,Brand,Product Code,Product name,NIR-Code
5/6/2025,2/2/2026,B2500012,30,13,5.6,6.3,3.35,0.47,Pet Food,Dog,Healthcare,PETFLAKES,DDF040021,PETFLAKES Maintenance - Mini Adult Dog 4  Kg,M20260202-00079
14/8/2025,2/2/2026,B2500166,28,19,6.4,5,3.12,0.54,Pet Food,Dog,Healthcare,PETFLAKES,DDF040021,PETFLAKES Maintenance - Mini Adult Dog 4  Kg,M20260202-00080
16/9/2025,2/2/2026,B2500235,30,16,6,7,3.08,0.5,Pet Food,Dog,Healthcare,PETFLAKES,DDF040021,PETFLAKES Maintenance - Mini Adult Dog 4  Kg,M20260202-00081
13/11/2026,2/2/2026,B2500392,30,15,4.6,5,3.46,0.36,Pet Food,Dog,Healthcare,PETFLAKES,DDF040021,PETFLAKES Maintenance - Mini Adult Dog 4  Kg,M20260202-00082
5/6/2025,2/2/2026,B2500016,32,16,5,5,3.17,0.38,Pet Food,Dog,Healthcare,PETFLAKES,DDF040002,PETFLAKES Performance High Protein - Adult Dog 4 Kg,M20260202-00083
7/10/2025,2/2/2026,B2500295,32,17,7.6,2,3.11,0.5,Pet Food,Dog,Healthcare,PETFLAKES,DDF040002,PETFLAKES Performance High Protein - Adult Dog 4 Kg,M20260202-00084
13/11/2025,2/2/2026,B2500391,30,15,4.6,5,3.46,0.39,Pet Food,Dog,Healthcare,PETFLAKES,DDF040003, PETFLAKES Performance - Puppy ,M20260202-00085
5/6/2025,2/2/2026,B2500011,34,17,5.4,6,2.85,0.39,Pet Food,Dog,Healthcare,PETFLAKES,DDF040003, PETFLAKES Performance - Puppy ,M20260202-00086
5/6/2025,2/2/2026,B2500013,33,13,5.6,6,3.14,0.2,Pet Food,Dog,Healthcare,PETFLAKES,DDF040020,PETFLAKES Performance - Mini Puppy,M20260202-00087
15/8/2026,2/2/2026,B2500171,33,13,6.2,2,3.41,0.41,Pet Food,Dog,Healthcare,PETFLAKES,DDF040020,PETFLAKES Performance - Mini Puppy,M20260202-00088
30/9/2025,2/2/2026,B2500274,28,14,5,5,3.64,0.51,Pet Food,Dog,Healthcare,PETFLAKES,DDF100001,PETFLAKES Maintenance - Adult Dog 10 Kg,M20260202-00089
5/6/2025,2/2/2026,B2500015,31,18,4.5,8,3.65,0.54,Pet Food,Dog,Healthcare,PETFLAKES,DDF100001,PETFLAKES Maintenance - Adult Dog 10 Kg,M20260202-00090
17/10/2025,2/2/2026,B2500343,25,16,4.4,6,3.59,0.5,Pet Food,Dog,Healthcare,PETFLAKES,DDF100001,PETFLAKES Maintenance - Adult Dog 10 Kg,M20260202-00091
18/11/2026,2/2/2026,B2500406,28,12,5,7,3.62,0.58,Pet Food,Dog,Healthcare,PETFLAKES,DDF100001,PETFLAKES Maintenance - Adult Dog 10 Kg,M20260202-00092
18/6/2025,2/2/2026,B2500043,27,12,4.2,8,3.5,0.42,Pet Food,Dog,Healthcare,PETFLAKES,DDF100001,PETFLAKES Maintenance - Adult Dog 10 Kg,M20260202-00093
5/2/2026,9/2/2026,B2600069,24,14,4.8,3.5,4.05,0.39,Pet Food,Dog,Healthcare,PETFLAKES,DDF100001,PETFLAKES Maintenance - Adult Dog 10 Kg,M20260209-00094
4/2/2026,9/2/2026,B2600077,27.6,16,5.6,5,3.43,0.41,Pet Food,Dog,Healthcare,PETFLAKES,DDF040002,PETFLAKES Performance High Protein - Adult Dog 4 kg,M20260209-00095
10/2/2026,10/2/2026,B2600080,33.87,18,6.4,2.7,3.27,0.22,Pet Food,Dog,Healthcare,PETFLAKES,DDF040020,PETFLAKES Performance - Mini Puppy,M20260210-00096
7/2/2026,11/2/2026,B2600073,16.1,3,11,8.5,4.605,0.62,Poultry,Bird,Quail,FARMFLAKES,PQPL250201,QUAIL FEED - LAYER,D20260211-00098
7/2/2026,11/2/2026,B2600074,15.4,3,9.2,10,4.68,0.65,Poultry,Chicken,Layer Baladi,FARMFLAKES,PPEP250401,CHICKEN FEED - BALADI PRODUCTION 1,D20260211-00099
7/2/2026,11/2/2026,B2600076,18.5,4,7,11,4.46,0.6,Livestock,Goat,Dairy,FARMFLAKES,PGNG250601,GOAT FEED - NEWBORN KID,D20260211-00100
9/2/2026,11/2/2026,B2600079,14.3,4,11.2,9.5,4.575,0.66,Poultry,Chicken,Layer Baladi,FARMFLAKES,PPEP250401,CHICKEN FEED - BALADI PRODUCTION 1,D20260211-00101
10/2/2026,11/2/2026,B2600081,17.6,5,6.6,10.5,4.52,0.65,Livestock,Cattle,Dairy,FARMFLAKES,PFDP010802,FARHAT FEED - DAIRY PRODUCTION COW,D20260211-00102
11/2/2026,11/2/2026,B2600082,20.1,5,5.6,11,4.37,0.64,Poultry,Chicken,Layer Baladi,FARMFLAKES,PPEG250201 , CHICKEN FEED - BALADI GROWER 1,D20260211-00103
12/2/2026,14/2/2026,B2600083,21.8,5,5.2,11,4.27,0.66,Poultry,Chicken,Layer Baladi,FARMFLAKES,PPEG250301,CHICKEN FEED - BALADI GROWER 2,D20260214-00104
12/2/2026,14/2/2026,B2600087,23.1,4,5.2,10.5,4.29,0.6,Poultry,Chicken,Layer Baladi,FARMFLAKES,PPES250101,CHICKEN FEED - BALADI STARTER,D20260214-00105
13/2/2026,14/2/2026,B2600091,16,3,10,9.3,4.62,0.59,Poultry,Chicken,Layer Baladi,FARMFLAKES,PPEP250402,CHICKEN FEED - BALADI PRODUCTION 2,D20260214-00107
6/2/2026,14/2/2026,B2600085,30,14,5.8,3.5,3.502,0.31,Pet Food,Dog,Healthcare,PETFLAKES,DDF040003, PETFLAKES Performance - Puppy ,M20260214-00108
12/2/2026,14/2/2026,B2600090,29,17,6.2,5,3.21,0.4,Pet Food,Dog,Healthcare,PETFLAKES,DDF040002,PETFLAKES Performance High Protein - Adult Dog,M20260214-00109
27/1/2026,14/2/2026,B2600057,43.2,24,10.4,3,1.45,0.17,Aquaculture,Cold Fresh Water Fish,Salmonoid,A‵FLAKES,FTT204002,A`FLAKES Gold - Salmonoid Grower 4002,Y20260214-00110
28/1/2026,14/2/2026,B2600056,42.5,22,10.4,4.2,1.56,0.4,Aquaculture,Cold Fresh Water Fish,Salmonoid,A'FLAKES,FTT207002,A\'FLAKES Gold- Salmonoid Finisher 7002,Y20260214-00111
14/2/2026,16/2/2026,B2600092,12.78,4,4.6,10.8,5.086,0.63,Livestock,Horse,Pleasure,FARMFLAKES,PHRS250801,HORSE FEED - SPORT HORSE - 25KG,D20260216-00112
14/2/2026,16/2/2026,B2600093,17.5,4,9.4,9.8,4.74,0.62,Poultry,Chicken,Layer Baladi,FARMFLAKES,PPEP250401,CHICKEN FEED - BALADI PRODUCTION 1,D20260216-00113
24/1/2026,2/2/2026,B2600041,23,21,4.6,5,3.49,0.4,Pet Food,Dog,Healthcare,PETFLAKES,DDF100001,PETFLAKES Maintenance - Adult Dog 10 Kg,M20260202-00076
,,,,,,,,,,,,,,,
