Batch Number,B2600069,,,,,,
Category,Pet Food,,,,,,
Specie,Dog,,,,,,
Family,Healthcare,,,,,,
Brand,PETFLAKES,,,,,,
Product Code,DDF100001,,,,,,
Product name,PETFLAKES Maintenance - Adult Dog 10 Kg,,,,,,
NIR-Code,M20260209-00094,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,1860,1904,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,7217,7076,,,,,
Lamp PD:,91,92,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,13,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,105,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
900,0.36552853,1473903.287,635243.8364,6295,2168,,
901,0.36513517,1497330.393,645925.5603,5980,2048,,
902,0.36473616,1520545.844,656543.2839,5681,1691,,
903,0.36433178,1543522.565,667085.0496,6077,1764,,
904,0.36392227,1566233.481,677538.8997,7059,1966,,
905,0.36350783,1588651.515,687892.8765,8350,2087,,
906,0.36308861,1610749.593,698135.0224,10630,2653,,
907,0.3626647,1632500.64,708253.3796,14049,3227,,
908,0.3622362,1653877.578,718235.9904,19026,4169,,
909,0.36180311,1674853.334,728070.8971,27031,5810,,
910,0.36136544,1695400.83,737746.1422,41294,9027,,
911,0.36092316,1715492.993,747249.7678,66299,14906,,
912,0.36047637,1735110.381,756572.8314,107408,25063,,
913,0.36002583,1754262.576,765717.8522,171487,41197,,
914,0.35957243,1772966.059,774690.0727,253685,62079,,
915,0.35911704,1791237.308,783494.7354,335655,82827,,
916,0.3586605,1809092.801,792137.0827,407138,100491,,
917,0.35820362,1826549.018,800622.3571,472084,115769,,
918,0.35774719,1843622.436,808955.8011,537272,129920,,
919,0.357292,1860329.536,817142.6571,605516,143711,,
920,0.35683881,1876686.796,825188.1677,675963,157360,,
921,0.35638837,1892710.694,833097.5752,750114,170677,,
922,0.35594142,1908417.71,840876.1221,827095,184045,,
923,0.3554987,1923824.323,848529.051,906709,197357,,
924,0.35506093,1938946.355,856061.304,986757,210702,,
925,0.3546289,1953791.979,863474.3167,1069193,225039,,
926,0.35420342,1968364.414,870767.2542,1152885,240341,,
927,0.35378527,1982666.793,877939.2434,1237545,256697,,
928,0.35337523,1996702.253,884989.4111,1323129,273148,,
929,0.35297406,2010473.926,891916.8842,1410988,289319,,
930,0.35258249,2023984.948,898720.7897,1500910,305159,,
931,0.35220125,2037238.455,905400.2544,1593729,320883,,
932,0.35183106,2050237.579,911954.4052,1687500,335428,,
933,0.35147263,2062985.457,918382.369,1780283,348354,,
934,0.35112664,2075485.222,924683.2726,1869859,360128,,
935,0.3507938,2087740.01,930856.2431,1955851,372161,,
936,0.35047476,2099752.588,936900.2707,2037131,384958,,
937,0.35016989,2111516.97,942811.096,2110104,398001,,
938,0.34987924,2123018.248,948581.1461,2173096,410025,,
939,0.34960284,2134241.114,954202.6995,2226212,422074,,
940,0.34934074,2145170.258,959668.0343,2269815,435664,,
941,0.34909297,2155790.371,964969.4288,2303437,453296,,
942,0.34885959,2166086.143,970099.1613,2328503,480243,,
943,0.34864066,2176042.265,975049.51,2345274,522845,,
944,0.34843622,2185643.429,979812.7531,2352921,583205,,
945,0.34824636,2194874.324,984381.169,2354777,656608,,
946,0.34807115,2203719.641,988747.0359,2368063,734029,,
947,0.34791067,2212164.072,992902.6319,2413463,810200,,
948,0.34776501,2220192.924,996840.5632,2490335,885904,,
949,0.34763374,2227806.225,1000561.247,2584192,962246,,
950,0.3475159,2235019.016,1004073.069,2663665,1031077,,
951,0.34741059,2241847.014,1007384.772,2725045,1095833,,
952,0.3473169,2248305.937,1010505.1,2778607,1161771,,
953,0.34723395,2254411.5,1013442.798,2820704,1222344,,
954,0.3471609,2260179.422,1016206.609,2845937,1267308,,
955,0.34709692,2265625.419,1018805.277,2855737,1294966,,
956,0.34704121,2270765.209,1021247.546,2852629,1306291,,
957,0.34699296,2275614.508,1023542.159,2836129,1302965,,
958,0.3469514,2280189.034,1025697.861,2807098,1287610,,
959,0.34691578,2284504.504,1027723.396,2769458,1264651,,
960,0.34688531,2288576.932,1029627.682,2725359,1237357,,
961,0.34685903,2292425.884,1031421.728,2673603,1207608,,
962,0.34683585,2296073.27,1033117.923,2610905,1172633,,
963,0.34681468,2299541.04,1034728.681,2534413,1127811,,
964,0.34679444,2302851.147,1036266.413,2463687,1079467,,
965,0.34677408,2306025.541,1037743.534,2426756,1037281,,
966,0.34675251,2309086.174,1039172.455,2381163,983504,,
967,0.3467287,2312054.996,1040565.591,2320418,927531,,
968,0.34670158,2314953.958,1041935.353,2259067,889718,,
969,0.34667012,2317805.013,1043294.156,2201693,872521,,
970,0.34663328,2320630.11,1044654.411,2151006,870834,,
971,0.34659002,2323451.201,1046028.533,2106524,878714,,
972,0.34653949,2326285.702,1047426.508,2064871,890372,,
973,0.34648148,2329132.022,1048848.168,2028591,906551,,
974,0.34641598,2331983.595,1050290.68,2001541,925484,,
975,0.34634296,2334833.852,1051751.213,1986706,943276,,
976,0.3462624,2337676.227,1053226.936,1984878,958597,,
977,0.34617429,2340504.151,1054715.018,1996207,971719,,
978,0.34607859,2343311.057,1056212.626,2020743,984284,,
979,0.34597528,2346090.378,1057716.931,2053667,998077,,
980,0.34586435,2348835.547,1059225.1,2091975,1012239,,
