Batch Number,B2600077,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF040002,,,,,,,
Product name,PETFLAKES Performance High Protein - Adult Dog 4 kg,,,,,,,
NIR-Code,M20260209-00095,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2135,2150,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5846,5794,,,,,,
Lamp PD:,92,92,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
900,0.23309952,1467780.991,858147.0895,6239,2857,,,
901,0.23280683,1491074.314,872353.4109,5996,2657,,,
902,0.23250858,1514157.008,886466.4972,5867,2253,,,
903,0.23220506,1537003.12,900470.9164,6078,2244,,,
904,0.23189647,1559586.7,914351.2367,6840,2456,,,
905,0.23158299,1581881.794,928092.0264,8525,2804,,,
906,0.23126476,1603862.45,941677.8536,10772,3484,,,
907,0.23094191,1625502.718,955093.2865,14246,4308,,,
908,0.2306145,1646776.644,968322.8933,19413,5819,,,
909,0.23028259,1667658.276,981351.2421,27543,8036,,,
910,0.22994619,1688121.664,994162.9011,42514,12410,,,
911,0.2296053,1708140.854,1006742.439,68460,20658,,,
912,0.22926009,1727697.173,1019078.26,111346,34780,,,
913,0.2289114,1746799.614,1031173.357,176780,56777,,,
914,0.22856026,1765463.745,1043034.188,258388,84576,,,
915,0.22820762,1783705.133,1054667.211,338596,111532,,,
916,0.22785441,1801539.345,1066078.884,408410,134701,,,
917,0.22750154,1818981.948,1077275.665,472570,154500,,,
918,0.22714988,1836048.511,1088264.011,537241,173466,,,
919,0.2268003,1852754.599,1099050.381,605360,192064,,,
920,0.22645362,1869115.78,1109641.233,675848,210510,,,
921,0.22611066,1885147.622,1120043.025,749557,228918,,,
922,0.22577222,1900865.691,1130262.214,826508,247245,,,
923,0.2254391,1916285.555,1140305.259,905917,265639,,,
924,0.22511206,1931422.152,1150178.243,986010,283906,,,
925,0.22479187,1946283.061,1159882.878,1068352,303426,,,
926,0.22447926,1960871.102,1169418.044,1151715,324009,,,
927,0.22417495,1975189.011,1178782.574,1236319,345862,,,
928,0.22387967,1989239.526,1187975.3,1321767,367992,,,
929,0.2235941,2003025.385,1196995.057,1409489,389575,,,
930,0.22331892,2016549.326,1205840.676,1499151,410720,,,
931,0.22305481,2029814.085,1214510.991,1591741,431657,,,
932,0.22280244,2042822.401,1223004.834,1685354,451012,,,
933,0.22256245,2055577.011,1231321.039,1777750,468570,,,
934,0.2223355,2068080.653,1239458.438,1867456,484732,,,
935,0.22212224,2080336.065,1247415.864,1953192,500565,,,
936,0.22192327,2092345.636,1255191.988,2034296,517438,,,
937,0.22173884,2104103.483,1262781.622,2107000,534425,,,
938,0.22156881,2115595.285,1270175.643,2169724,550619,,,
939,0.22141302,2126806.345,1277364.751,2222712,566748,,,
940,0.22127133,2137721.963,1284339.646,2266067,585005,,,
941,0.22114361,2148327.439,1291091.031,2299625,608399,,,
942,0.22102975,2158608.077,1297609.603,2324464,642690,,,
943,0.22092963,2168549.175,1303886.065,2340957,694624,,,
944,0.22084317,2178136.036,1309911.116,2348374,766487,,,
945,0.22077029,2187353.96,1315675.457,2349706,852764,,,
946,0.22071093,2196188.249,1321169.788,2362480,945425,,,
947,0.22066503,2204624.203,1326384.81,2407137,1038728,,,
948,0.22063255,2212647.722,1331311.637,2483758,1133017,,,
949,0.22061303,2220258.97,1335951.24,2577341,1227682,,,
950,0.22060562,2227472.66,1340314.647,2656258,1311624,,,
951,0.22060948,2234304.161,1344413.339,2717277,1388865,,,
952,0.22062379,2240768.841,1348258.795,2771975,1467201,,,
953,0.22064776,2246882.07,1351862.497,2815026,1538842,,,
954,0.22068059,2252659.214,1355235.924,2840588,1592866,,,
955,0.22072153,2258115.644,1358390.556,2850428,1626519,,,
956,0.22076981,2263266.727,1361337.874,2847066,1641216,,,
957,0.22082471,2268127.832,1364089.359,2830412,1638627,,,
958,0.22088548,2272714.328,1366656.489,2801121,1621738,,,
959,0.22095142,2277041.584,1369050.747,2763369,1595171,,,
960,0.22102178,2281125.273,1371283.833,2719406,1563092,,,
961,0.22109571,2284984.738,1373370.117,2667598,1527892,,,
962,0.22117225,2288641.738,1375325.723,2604840,1485737,,,
963,0.22125044,2292118.077,1377166.807,2528175,1431655,,,
964,0.22132933,2295435.557,1378909.526,2457871,1373497,,,
965,0.22140798,2298615.981,1380570.036,2421118,1324260,,,
966,0.22148543,2301681.152,1382164.494,2375682,1260739,,,
967,0.22156074,2304652.871,1383709.054,2315032,1193654,,,
968,0.22163296,2307552.943,1385219.874,2253834,1147481,,,
969,0.22170115,2310403.17,1386713.11,2196764,1125095,,,
970,0.22176437,2313225.355,1388204.918,2145981,1121175,,,
971,0.22182166,2316041.299,1389711.454,2101761,1129014,,,
972,0.22187222,2318868.335,1391245.828,2060055,1142033,,,
973,0.22191568,2321705.05,1392808.379,2023698,1161648,,,
974,0.22195182,2324545.127,1394396.103,1996641,1185777,,,
975,0.22198043,2327382.246,1396005.996,1981820,1209616,,,
976,0.22200129,2330210.089,1397635.054,1979809,1230990,,,
977,0.22201419,2333022.337,1399280.274,1991123,1249767,,,
978,0.22201889,2335812.671,1400938.65,2015382,1268713,,,
979,0.2220152,2338574.772,1402607.178,2048229,1289104,,,
980,0.2220029,2341302.321,1404282.856,2086385,1310419,,,
981,0.22198178,2343989,1405962.678,2130896,1333210,,,
982,0.22195162,2346628.49,1407643.641,2179345,1356271,,,
983,0.22191222,2349214.361,1409322.62,2224790,1377180,,,
984,0.22186385,2351737.165,1410993.241,2264217,1394471,,,
985,0.22180722,2354184.143,1412645.559,2302171,1410358,,,
986,0.22174309,2356542.364,1414269.449,2334676,1421784,,,
987,0.2216722,2358798.901,1415854.783,2357163,1427508,,,
988,0.2215953,2360940.824,1417391.437,2371678,1429864,,,
989,0.2215131,2362955.205,1418869.284,2370560,1424931,,,
990,0.22142634,2364829.114,1420278.198,2348020,1408543,,,
991,0.22133574,2366549.623,1421608.054,2316085,1389735,,,
992,0.22124201,2368103.803,1422848.724,2278463,1369831,,,
993,0.22114585,2369478.724,1423990.084,2208749,1328922,,,
994,0.22104797,2370661.462,1425022.01,2086460,1251384,,,
995,0.2209488,2371643.373,1425937.818,1921382,1143628,,,
996,0.22084797,2372428.813,1426741.267,1707805,1006531,,,
997,0.22074496,2373024.593,1427438.086,1431225,835921,,,
998,0.22063925,2373437.522,1428034.006,1110710,644097,,,
999,0.22053034,2373674.413,1428534.756,723924,417378,,,
1000,0.22041769,2373742.075,1428946.066,317631,182242,,,
