Batch Number,B2600087,,,,,,
Category,Poultry,,,,,,
Specie,Chicken,,,,,,
Family,Layer Baladi,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PPES250101,,,,,,
Product name,CHICKEN FEED - BALADI STARTER,,,,,,
NIR-Code,D20260214-00105,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2238,2272,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,5635,5589,,,,,
Lamp PD:,94,93,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
900,0.07064352,1241060.711,1054749.944,5565,3829,,
901,0.07048446,1261034.616,1072117.902,5627,3839,,
902,0.07033104,1280886.245,1089380.301,5593,3646,,
903,0.0701879,1300545.063,1106464.562,5442,3558,,
904,0.07004806,1319831.383,1123234.38,5206,3338,,
905,0.06990423,1338559.639,1139550.294,5176,3365,,
906,0.06975308,1356690.719,1155387.786,5126,3293,,
907,0.06959831,1374460.813,1170938.401,5010,3034,,
908,0.06944426,1392136.27,1186417.348,4968,3060,,
909,0.06929379,1409843.599,1201924.382,5048,3072,,
910,0.06914603,1427332.439,1217248.115,5028,3009,,
911,0.06899941,1444289.581,1232125.272,5114,3081,,
912,0.0688529,1460502.715,1246377.123,5224,3093,,
913,0.06870748,1476143.087,1260146.336,5427,3048,,
914,0.06856465,1491473.072,1273651.942,5651,3247,,
915,0.06842519,1506703.174,1287071.021,5592,3216,,
916,0.06828575,1521773.334,1300361.863,5924,3308,,
917,0.06814175,1536535.572,1313411.655,6122,3396,,
918,0.06799,1550881.014,1326137.252,6523,3730,,
919,0.06783593,1564973.66,1338662.52,6813,3845,,
920,0.06768843,1579093.647,1351199.428,7295,3897,,
921,0.06755556,1593429.447,1363883.503,7732,4191,,
922,0.06743914,1607330.041,1376150.47,8259,4508,,
923,0.06733755,1619695.539,1387061.882,8858,4850,,
924,0.06724851,1629586.998,1395818.787,9362,5016,,
925,0.0671642,1637994.937,1403292.974,9991,5560,,
926,0.06707376,1647159.097,1411437.939,10793,5744,,
927,0.06696813,1659175.016,1422080.137,11617,6175,,
928,0.06685505,1673720.519,1434920.652,12558,6643,,
929,0.06675387,1688639.733,1448048.596,13443,7148,,
930,0.06668204,1701814.953,1459588.044,14385,7504,,
931,0.06663936,1712623.03,1469002.105,15626,8220,,
932,0.06661135,1721728.602,1476907.657,16938,8977,,
933,0.06658404,1729848.956,1483966.656,18416,9618,,
934,0.06655421,1737922.707,1490995.211,19977,10368,,
935,0.0665286,1747098.874,1498955.981,21904,11330,,
936,0.06651409,1758475.445,1508767.144,24035,12545,,
937,0.06651288,1771736.474,1520149.317,26725,13664,,
938,0.06652253,1785124.647,1531602.317,29496,15217,,
939,0.06654061,1796868.964,1541614.533,32967,17046,,
940,0.06656769,1806515.123,1549793.784,36899,19017,,
941,0.06660738,1815008.203,1556937.621,41717,21463,,
942,0.06666321,1823340.788,1563884.35,47017,24317,,
943,0.06673478,1831971.286,1571027.827,53063,27479,,
944,0.0668176,1840782.484,1578282.977,60011,31259,,
945,0.06690715,1849611.603,1585526.066,67649,35290,,
946,0.0670013,1857857.38,1592249.316,76595,40158,,
947,0.06710046,1864452.528,1597536.782,86508,45463,,
948,0.06720535,1868383.163,1600518.118,97990,51668,,
949,0.06731497,1870446.252,1601881.035,110243,58590,,
950,0.06742609,1873285.769,1603902.407,124313,66196,,
951,0.06753507,1879497.931,1608817.487,139093,74299,,
952,0.06764417,1888914.544,1616471.848,154659,82866,,
953,0.06776189,1898733.832,1624434.472,171600,92070,,
954,0.06789689,1906155.268,1630276.926,188943,101584,,
955,0.06804655,1910285.611,1633246.565,206682,111252,,
956,0.06819818,1911883.621,1634042.228,223557,120313,,
957,0.0683395,1911802.843,1633441.553,241833,130322,,
958,0.06847181,1911493.81,1632680.062,259252,139762,,
959,0.06860651,1912864.589,1633344.199,274514,147940,,
960,0.06875359,1917620.893,1636851.063,291224,156880,,
961,0.06890862,1924904.724,1642481.988,306315,164890,,
962,0.0690586,1932167.322,1648109.775,320946,172631,,
963,0.06919258,1937082.477,1651792.658,335083,179921,,
964,0.06931242,1939712.875,1653579.308,347357,186395,,
965,0.06942642,1941437.59,1654615.211,361885,193830,,
966,0.06954202,1943499.489,1655931.656,375644,200884,,
967,0.06966234,1946039.764,1657636.782,387808,206839,,
968,0.06978867,1948708.373,1659427.097,402902,214487,,
969,0.06992076,1951211.882,1661053.712,416014,221020,,
970,0.07004901,1953586.875,1662584.449,429509,227445,,
971,0.07016065,1955984.86,1664197.417,442968,234018,,
972,0.0702473,1958530.047,1666030.478,456965,240726,,
973,0.07031924,1961231.785,1668052.37,470755,247255,,
974,0.07039157,1964069.311,1670187.527,485792,254224,,
975,0.07047241,1966964.708,1672338.385,499871,261026,,
976,0.07054876,1969665.362,1674340.133,514095,267486,,
977,0.07060378,1971886.596,1676015.986,528670,274098,,
978,0.07063048,1973581.275,1677353.273,543537,280800,,
979,0.07064332,1975223.894,1678699.701,558411,287547,,
980,0.07065935,1977351.981,1680446.272,570270,292719,,
981,0.07068384,1980119.385,1682703.257,588145,300795,,
982,0.07070377,1983080.703,1685142.465,604857,308125,,
983,0.07070502,1985750.431,1687406.235,617167,313262,,
984,0.07068436,1987970.43,1689373.048,635863,321633,,
985,0.0706504,1989941.589,1691180.352,651992,328475,,
986,0.07061197,1991874.3,1692972.72,667682,335190,,
987,0.07057265,1993851.05,1694806.285,683917,342010,,
988,0.07053211,1995857.927,1696670.531,696779,347168,,
989,0.0704895,1997889.938,1698564.572,715238,355024,,
990,0.07044038,2000036.888,1700582.172,733029,362499,,
991,0.07037857,2002435.986,1702864.431,747131,368193,,
992,0.07029983,2005019.086,1705370.227,767829,377143,,
993,0.07020972,2006678.305,1707135.659,784521,383981,,
994,0.07011658,2005978.629,1706906.474,801142,390773,,
995,0.07002566,2002472.503,1704279.815,818056,397915,,
996,0.06993381,1998708.332,1701435.969,835439,405110,,
997,0.06983679,1997779.713,1701025.437,852151,412160,,
998,0.06973291,2000745.828,1703958.471,870396,419911,,
999,0.06962413,2004950.233,1707966.956,887240,426981,,
1000,0.06951214,2007406.327,1710500.284,903985,434137,,
1001,0.06939705,2006955.222,1710569.134,921460,441761,,
1002,0.06927784,2004462.464,1708913.519,938930,449276,,
1003,0.06915375,2000927.061,1706386.894,956441,457097,,
1004,0.06902585,1997688.491,1704126.825,968183,461970,,
