Batch Number,B2600091,,,,,,,,,,,,,,,,,
Category,Poultry,,,,,,,,,,,,,,,,,
Specie,Chicken,,,,,,,,,,,,,,,,,
Family,Layer Baladi,,,,,,,,,,,,,,,,,
Brand,FARMFLAKES,,,,,,,,,,,,,,,,,
Product Code,PPEP250402,,,,,,,,,,,,,,,,,
Product name,CHICKEN FEED - BALADI PRODUCTION 2,,,,,,,,,,,,,,,,,
NIR-Code,D20260214-00107,,,,,,,,,,,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,,,,,,,,,,,
Head:,Reference,Sample,,,,,,,,,,,,,,,,
System Temp hundredths:,2371,2509,,,,,,,,,,,,,,,,
Detector Temp hundredths:,0,0,,,,,,,,,,,,,,,,
Humidity hundredths:,5424,4863,,,,,,,,,,,,,,,,
Lamp PD:,93,93,,,,,,,,,,,,,,,,
Tec Temp:,0,,,,,,,,,,,,,,,,,
Product SN:,8B6YK9LO,,,,,,,,,,,,,,,,,
Serial Number:,5B25203,,,,,,,,,,,,,,,,,
Scan Config Name:,IAS5100,,,,,,,,,,,,,,,,,
Scan Config Type:,2,,,,,,,,,,,,,,,,,
Start wavelength in nm:,900,,,,,,,,,,,,,,,,,
End wavelength in nm:,1700,,,,,,,,,,,,,,,,,
Pattern Pixel Width:,11,,,,,,,,,,,,,,,,,
Exposure Time:,0,,,,,,,,,,,,,,,,,
Measurement points:,420,,,,,,,,,,,,,,,,,
Number of Measurement points:,801,,,,,,,,,,,,,,,,,
Num Repeats:,90,90,,,,,,,,,,,,,,,,
PGA Gain:,64,64,,,,,,,,,,,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,,,,,,,,,,,
900,0.05492024,1239369.785,1092145.903,5553,3884,,,,,,,,,,,,,
901,0.05481058,1259308.611,1109996.454,5644,3941,,,,,,,,,,,,,
902,0.05469185,1279120.921,1127767.955,5367,3884,,,,,,,,,,,,,
903,0.05456845,1298728.36,1145380.728,5379,3518,,,,,,,,,,,,,
904,0.05444767,1317955.701,1162661.106,5153,3524,,,,,,,,,,,,,
905,0.05433645,1336622.656,1179430.528,5142,3436,,,,,,,,,,,,,
906,0.05423601,1354695.654,1195654.579,5064,3315,,,,,,,,,,,,,
907,0.05413762,1372416.923,1211569.804,5078,3310,,,,,,,,,,,,,
908,0.05403207,1390058.9,1227442.434,5013,3235,,,,,,,,,,,,,
909,0.05391428,1407750.878,1243401.91,5031,2872,,,,,,,,,,,,,
910,0.05378907,1425236.379,1259209.027,5177,3103,,,,,,,,,,,,,
911,0.05366252,1442194.595,1274563.104,5175,3255,,,,,,,,,,,,,
912,0.05353976,1458406.883,1289255.373,5278,3169,,,,,,,,,,,,,
913,0.05342362,1474042.997,1303426.461,5466,3343,,,,,,,,,,,,,
914,0.05331644,1489364.969,1317300.011,5504,3500,,,,,,,,,,,,,
915,0.05321903,1504584.713,1331059.943,5818,3456,,,,,,,,,,,,,
916,0.05312444,1519652.74,1344683.012,6196,3562,,,,,,,,,,,,,
917,0.05302347,1534434.614,1358078.648,6305,3721,,,,,,,,,,,,,
918,0.0529094,1548832.01,1371181.419,6737,3823,,,,,,,,,,,,,
919,0.05279071,1562998.612,1384101.321,6996,3997,,,,,,,,,,,,,
920,0.05268193,1577195.354,1397023.014,7531,4191,,,,,,,,,,,,,
921,0.05259547,1591593.943,1410057.45,7849,4440,,,,,,,,,,,,,
922,0.05252823,1605549.121,1422641.165,8493,4627,,,,,,,,,,,,,
923,0.05246908,1617978.802,1433850.09,8970,4918,,,,,,,,,,,,,
924,0.05240791,1627959.638,1442898.294,9484,5238,,,,,,,,,,,,,
925,0.05234463,1636470.597,1450653.137,10352,5638,,,,,,,,,,,,,
926,0.05228566,1645722.291,1459052.396,11066,5971,,,,,,,,,,,,,
927,0.05223745,1657783.111,1469908.361,11805,6445,,,,,,,,,,,,,
928,0.05220214,1672337.026,1482933.469,12765,6911,,,,,,,,,,,,,
929,0.05217845,1687259.558,1496247.54,13757,7376,,,,,,,,,,,,,
930,0.05216494,1700463.581,1508003.672,14903,8012,,,,,,,,,,,,,
931,0.0521608,1711330.808,1517655.382,16065,8680,,,,,,,,,,,,,
932,0.05216587,1720508.57,1525776.686,17415,9376,,,,,,,,,,,,,
933,0.05218003,1728696.342,1532987.736,18974,10066,,,,,,,,,,,,,
934,0.05220349,1736819.424,1540108.02,20704,11127,,,,,,,,,,,,,
935,0.0522366,1746017.806,1548146.532,22614,11899,,,,,,,,,,,,,
936,0.05227967,1757381.246,1558067.681,24912,13198,,,,,,,,,,,,,
937,0.05233296,1770600.718,1569595.263,27452,14672,,,,,,,,,,,,,
938,0.05239693,1783941.263,1581188.394,30700,16343,,,,,,,,,,,,,
939,0.0524723,1795654.453,1591294.16,34202,18272,,,,,,,,,,,,,
940,0.05256028,1805296.186,1599514.505,38456,20522,,,,,,,,,,,,,
941,0.05266241,1813808.6,1606678.75,43392,23247,,,,,,,,,,,,,
942,0.05277995,1822180.466,1613657.795,49208,26353,,,,,,,,,,,,,
943,0.05291189,1830860.161,1620851.718,55606,29871,,,,,,,,,,,,,
944,0.05305497,1839713.741,1628153.244,63028,33855,,,,,,,,,,,,,
945,0.05320593,1848561.896,1635415.328,71124,38556,,,,,,,,,,,,,
946,0.05336181,1856800.527,1642114.52,80517,43806,,,,,,,,,,,,,
947,0.05352014,1863374.061,1647327.327,91109,49780,,,,,,,,,,,,,
948,0.0536791,1867280.954,1650177.154,102914,56517,,,,,,,,,,,,,
949,0.053842,1869328.508,1651367.123,115755,63799,,,,,,,,,,,,,
950,0.0540166,1872168.996,1653211.61,130170,71809,,,,,,,,,,,,,
951,0.05420937,1878406.025,1657983.122,145161,80458,,,,,,,,,,,,,
952,0.05441557,1887861.604,1665538.16,161067,89476,,,,,,,,,,,,,
953,0.05462138,1897707.78,1673431.564,177810,98873,,,,,,,,,,,,,
954,0.05481485,1905119.166,1679218.838,195025,108611,,,,,,,,,,,,,
955,0.05499878,1909213.101,1682114.777,212486,118223,,,,,,,,,,,,,
956,0.05518776,1910789.616,1682771.366,228899,127453,,,,,,,,,,,,,
957,0.05539523,1910740.726,1681924.623,246710,137162,,,,,,,,,,,,,
958,0.05561695,1910498.74,1680853.282,263581,146704,,,,,,,,,,,,,
959,0.05583464,1911910.049,1681252.018,278284,154535,,,,,,,,,,,,,
960,0.05603075,1916624.459,1684636.772,294467,163417,,,,,,,,,,,,,
961,0.05620994,1923810.464,1690255.456,309213,171368,,,,,,,,,,,,,
962,0.05639225,1931000.137,1695860.221,323309,178893,,,,,,,,,,,,,
963,0.05659593,1935938.601,1699400.128,337121,186282,,,,,,,,,,,,,
964,0.05681339,1938660.894,1700937.891,349174,192663,,,,,,,,,,,,,
965,0.05702233,1940463.892,1701700.938,363301,200035,,,,,,,,,,,,,
966,0.05720331,1942520.297,1702794.551,377021,207078,,,,,,,,,,,,,
967,0.05736265,1944993.683,1704337.27,388861,213205,,,,,,,,,,,,,
968,0.05751827,1947597.661,1706007.647,404167,220984,,,,,,,,,,,,,
969,0.05768414,1950092.039,1707540.339,417183,227422,,,,,,,,,,,,,
970,0.05785163,1952507.224,1708995.876,430523,234002,,,,,,,,,,,,,
971,0.05800429,1954967.854,1710548.263,443932,240704,,,,,,,,,,,,,
972,0.05813039,1957573.391,1712330.768,457844,247413,,,,,,,,,,,,,
973,0.05823818,1960317.388,1714305.462,471562,254205,,,,,,,,,,,,,
974,0.05834108,1963165.635,1716389.57,486584,261337,,,,,,,,,,,,,
975,0.05844634,1966033.337,1718480.21,500605,267992,,,,,,,,,,,,,
976,0.05854264,1968681.073,1720413.038,514935,274549,,,,,,,,,,,,,
977,0.05861523,1970841.178,1722012.873,529530,281359,,,,,,,,,,,,,
978,0.05865829,1972482.157,1723275.816,544178,288064,,,,,,,,,,,,,
979,0.05868534,1974091.13,1724574.083,559172,294962,,,,,,,,,,,,,
980,0.05871224,1976217.547,1726324.807,570939,299960,,,,,,,,,,,,,
981,0.05874416,1979008.302,1728635.597,588887,308407,,,,,,,,,,,,,
982,0.05876977,1981981.553,1731130.639,605538,315801,,,,,,,,,,,,,
983,0.05877674,1984614.483,1733402.483,617721,320842,,,,,,,,,,,,,
984,0.05876347,1986757.709,1735327.464,636547,329407,,,,,,,,,,,,,
985,0.05873992,1988671.396,1737093.137,652423,336337,,,,,,,,,,,,,
986,0.05871591,1990622.488,1738893.544,668363,343159,,,,,,,,,,,,,
987,0.05869057,1992673.095,1740786.415,684433,350025,,,,,,,,,,,,,
988,0.05865503,1994730.951,1742726.746,697263,355035,,,,,,,,,,,,,
989,0.05860135,1996723.584,1744683.282,715850,363063,,,,,,,,,,,,,
990,0.05853066,1998776.63,1746761.464,733670,370693,,,,,,,,,,,,,
991,0.05844865,2001114.793,1749135.087,747608,376309,,,,,,,,,,,,,
992,0.05836055,2003735.282,1751780.916,768468,385236,,,,,,,,,,,,,
993,0.05826905,2005481.746,1753677.251,784886,392332,,,,,,,,,,,,,
994,0.05817575,2004834.836,1753488.218,801379,399113,,,,,,,,,,,,,
995,0.05808036,2001294.41,1750776.139,818253,406122,,,,,,,,,,,,,
996,0.05797767,1997452.625,1747828.484,835696,413347,,,,,,,,,,,,,
997,0.05786213,1996464.719,1747428.887,852349,420404,,,,,,,,,,,,,
998,0.05773358,1999421.556,1750534.978,870602,428077,,,,,,,,,,,,,
999,0.05760043,2003643.648,1754769.409,887353,435358,,,,,,,,,,,,,
1000,0.05747094,2006116.037,1757458.613,904022,442476,,,,,,,,,,,,,
1001,0.05734528,2005665.819,1757572.7,921652,450046,,,,,,,,,,,,,
1002,0.05721536,2003160.414,1755902.377,938872,457500,,,,,,,,,,,,,
1003,0.05707377,1999602.042,1753354.774,956466,465311,,,,,,,,,,,,,
1004,0.05692346,1996339.593,1751100.062,968246,470300,,,,,,,,,,,,,
1005,0.05677453,1994950.905,1750482.123,990833,480527,,,,,,,,,,,,,
1006,0.05663523,1996590.795,1752483.101,1010565,489485,,,,,,,,,,,,,
1007,0.05649881,1999830.955,1755878.563,1022539,494546,,,,,,,,,,,,,
1008,0.05635244,2002277.159,1758618.965,1045700,504959,,,,,,,,,,,,,
1009,0.05618709,2002311.328,1759318.671,1063616,513101,,,,,,,,,,,,,
1010,0.05600752,2000781.716,1758701.712,1080874,520844,,,,,,,,,,,,,
1011,0.05582158,1999017.774,1757903.693,1098837,528855,,,,,,,,,,,,,
1012,0.05563529,1997848.735,1757629.403,1110692,533857,,,,,,,,,,,,,
1013,0.05545108,1997257.358,1757854.611,1132494,543523,,,,,,,,,,,,,
1014,0.05527084,1997110.805,1758455.237,1152882,552550,,,,,,,,,,,,,
1015,0.05509464,1996603.904,1758722.312,1166510,558259,,,,,,,,,,,,,
1016,0.05492051,1994312.571,1757408.457,1191651,569481,,,,,,,,,,,,,
1017,0.05474571,1989163.118,1753576.377,1210031,577381,,,,,,,,,,,,,
1018,0.0545655,1983113.026,1748968.413,1227917,585045,,,,,,,,,,,,,
1019,0.05437518,1979592.169,1746628.538,1246970,593054,,,,,,,,,,,,,
1020,0.05417289,1980796.424,1748505.292,1266743,601244,,,,,,,,,,,,,
1021,0.05396312,1984218.299,1752372.122,1285309,608926,,,,,,,,,,,,,
1022,0.05375045,1986254.656,1755029.725,1306041,617602,,,,,,,,,,,,,
1023,0.05354039,1984835.229,1754624.027,1325037,625351,,,,,,,,,,,,,
1024,0.05334227,1980674.332,1751744.662,1343774,632749,,,,,,,,,,,,,
1025,0.05316539,1974810.474,1747270.044,1363597,640514,,,,,,,,,,,,,
1026,0.05300011,1968854.501,1742663.428,1383285,648257,,,,,,,,,,,,,
1027,0.05281961,1964935.275,1739917.413,1403018,655759,,,,,,,,,,,,,
1028,0.05260259,1964752.658,1740625.299,1413569,658866,,,,,,,,,,,,,
1029,0.05236721,1966801.231,1743384.845,1440669,669535,,,,,,,,,,,,,
1030,0.05214757,1968178.967,1745488.595,1463359,678064,,,,,,,,,,,,,
1031,0.05196352,1966919.245,1745110.798,1473796,680699,,,,,,,,,,,,,
1032,0.05179484,1963939.488,1743144.004,1500748,690893,,,,,,,,,,,,,
1033,0.05161452,1960691.435,1740983.813,1520286,697517,,,,,,,,,,,,,
1034,0.05141221,1957900.939,1739316.069,1538181,703425,,,,,,,,,,,,,
1035,0.05120008,1955291.616,1737846.658,1556807,709455,,,,,,,,,,,,,
1036,0.05099119,1952543.255,1736238.885,1566142,711221,,,,,,,,,,,,,
1037,0.05079026,1949671.718,1734487.726,1589386,719402,,,,,,,,,,,,,
1038,0.0505969,1946906.639,1732799.139,1610660,726430,,,,,,,,,,,,,
1039,0.0504113,1944424.01,1731329.299,1621470,728884,,,,,,,,,,,,,
1040,0.05023621,1942153.484,1730004.904,1648564,738667,,,,,,,,,,,,,
1041,0.050075,1939957.496,1728690.389,1665654,743881,,,,,,,,,,,,,
1042,0.04992388,1937630.386,1727217.596,1681804,748626,,,,,,,,,,,,,
1043,0.04976653,1934846.268,1725360.83,1698676,753995,,,,,,,,,,,,,
1044,0.04958677,1931308.053,1722918.683,1716410,759389,,,,,,,,,,,,,
1045,0.04939248,1927326.842,1720136.42,1731221,764166,,,,,,,,,,,,,
1046,0.04921031,1923678.705,1717600.79,1748576,769641,,,,,,,,,,,,,
1047,0.0490608,1920948.999,1715754.059,1763156,774187,,,,,,,,,,,,,
1048,0.04892974,1918716.315,1714277.133,1776542,778278,,,,,,,,,,,,,
1049,0.04879191,1916250.304,1712617.302,1790809,782860,,,,,,,,,,,,,
1050,0.04863411,1913187.887,1710501.703,1804463,787316,,,,,,,,,,,,,
1051,0.0484663,1909859.963,1708186.244,1817620,791798,,,,,,,,,,,,,
1052,0.0483009,1906656.162,1705970.352,1818391,791219,,,,,,,,,,,,,
1053,0.04814592,1903691.389,1703925.586,1839908,799854,,,,,,,,,,,,,
1054,0.04800589,1900868.922,1701947.974,1855486,806298,,,,,,,,,,,,,
1055,0.04788193,1898131.179,1699981.894,1855283,806125,,,,,,,,,,,,,
1056,0.04775961,1895630.056,1698220.082,1875660,815287,,,,,,,,,,,,,
1057,0.04762012,1893570.607,1696920.055,1886259,820486,,,,,,,,,,,,,
1058,0.04745739,1891518.194,1695716.054,1894597,825061,,,,,,,,,,,,,
1059,0.04728673,1887954.873,1693186.829,1903586,830260,,,,,,,,,,,,,
1060,0.04712372,1881500.965,1688032.189,1900806,830935,,,,,,,,,,,,,
1061,0.0469683,1873659.291,1681598.537,1914629,839091,,,,,,,,,,,,,
1062,0.04681099,1867819.691,1676964.862,1925748,846765,,,,,,,,,,,,,
1063,0.0466459,1866178.853,1676128.702,1924178,849244,,,,,,,,,,,,,
1064,0.04647751,1866437.482,1677011.117,1941898,860976,,,,,,,,,,,,,
1065,0.04631147,1865314.01,1676642.536,1947278,868060,,,,,,,,,,,,,
1066,0.04614883,1861362.216,1673717.129,1951757,875397,,,,,,,,,,,,,
1067,0.04598586,1855497.999,1669070.324,1956940,884064,,,,,,,,,,,,,
1068,0.04581931,1848832.946,1663712.811,1963048,894258,,,,,,,,,,,,,
1069,0.04565014,1842789.214,1658920.314,1965546,903939,,,,,,,,,,,,,
1070,0.0454816,1838930.781,1656089.421,1970980,916359,,,,,,,,,,,,,
1071,0.04531744,1837780.616,1655679.321,1973701,928834,,,,,,,,,,,,,
1072,0.04516104,1837352.834,1655890.149,1975138,942048,,,,,,,,,,,,,
1073,0.04501458,1835402.438,1654690.311,1977642,957082,,,,,,,,,,,,,
1074,0.04487314,1831577.081,1651779.468,1979604,973332,,,,,,,,,,,,,
1075,0.04472642,1827110.766,1648308.352,1980809,990791,,,,,,,,,,,,,
1076,0.04456776,1823081.124,1645274.01,1969216,1003064,,,,,,,,,,,,,
1077,0.04440603,1819663.43,1642801.301,1979870,1027950,,,,,,,,,,,,,
1078,0.0442542,1816773.035,1640765.357,1984406,1051076,,,,,,,,,,,,,
1079,0.04411645,1813777.037,1638579.238,1972440,1066472,,,,,,,,,,,,,
1080,0.04398456,1809284.697,1635017.289,1983238,1094882,,,,,,,,,,,,,
1081,0.04385035,1802248.479,1629162.175,1984503,1118820,,,,,,,,,,,,,
1082,0.0437163,1794659.225,1622802.592,1984721,1142941,,,,,,,,,,,,,
1083,0.04359073,1789895.411,1618963.023,1987600,1168808,,,,,,,,,,,,,
1084,0.04347885,1789329.311,1618867.946,1980914,1189019,,,,,,,,,,,,,
1085,0.04337707,1789975.061,1619831.758,1993806,1220266,,,,,,,,,,,,,
1086,0.04328014,1788473.937,1618834.607,2006736,1251237,,,,,,,,,,,,,
1087,0.04318666,1784011.699,1615143.204,2008377,1274981,,,,,,,,,,,,,
1088,0.04309842,1777548.285,1609618.603,2032553,1311653,,,,,,,,,,,,,
1089,0.04301694,1770308.931,1603363.975,2045511,1340489,,,,,,,,,,,,,
1090,0.04294219,1764262.024,1598162.356,2059512,1369118,,,,,,,,,,,,,
1091,0.04287405,1761417.676,1595836.162,2076712,1398670,,,,,,,,,,,,,
1092,0.04281107,1761391.737,1596044.096,2097406,1429476,,,,,,,,,,,,,
1093,0.04275008,1761462.542,1596332.421,2115109,1456892,,,,,,,,,,,,,
1094,0.04268885,1759422,1594707.988,2137386,1486829,,,,,,,,,,,,,
1095,0.04263141,1755866.441,1591695.776,2156647,1513589,,,,,,,,,,,,,
1096,0.04258374,1752177.349,1588525.961,2174861,1538589,,,,,,,,,,,,,
1097,0.0425483,1749014.238,1585787.692,2193402,1563214,,,,,,,,,,,,,
