Batch Number,B2600056,,,,,,
Category,Aquaculture,,,,,,
Specie,Cold Fresh Water Fish,,,,,,
Family,Salmonoid,,,,,,
Brand,A'FLAKES,,,,,,
Product Code,FTT207002,,,,,,
Product name,A\'FLAKES Gold- Salmonoid Finisher 7002,,,,,,
NIR-Code,Y20260214-00111,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2484,2571,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,5299,4877,,,,,
Lamp PD:,93,94,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
900,0.68660366,1238304.972,254814.3911,5462,935,,
901,0.68645876,1258195.676,258993.8352,5468,1055,,
902,0.68632171,1277969.063,263147.128,5362,984,,
903,0.68618989,1297542.258,267258.5608,5154,982,,
904,0.68604954,1316736.143,271299.6388,5076,933,,
905,0.68588702,1335366.583,275241.2288,4953,863,,
906,0.68570144,1353396.433,279076.7024,5004,917,,
907,0.68551451,1371064.861,282841.7361,4983,873,,
908,0.68534929,1388641.316,286576.6438,4939,886,,
909,0.68521617,1406260.811,290301.7823,5095,899,,
910,0.68509399,1423696.051,293983.7255,5048,933,,
911,0.68495744,1440659.324,297580.0782,5173,892,,
912,0.68478927,1456946.858,301060.9622,5309,907,,
913,0.68459908,1472673.977,304444.0813,5517,984,,
914,0.68440224,1488031.816,307758.4444,5679,1015,,
915,0.68421082,1503181.361,311028.7724,5897,1079,,
916,0.68402237,1518126.321,314257.4213,6222,981,,
917,0.68383002,1532819.299,317439.479,6349,1094,,
