Batch Number,B2600056,,,,
Category,Aquaculture,,,,
Specie,Cold Fresh Water Fish,,,,
Family,Salmonoid,,,,
Brand,A'FLAKES,,,,
Product Code,FTT207002,,,,
Product name,A\'FLAKES Gold- Salmonoid Finisher 7002,,,,
NIR-Code,Y20260214-00111,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,11,,,,
Exposure Time:,0,,,,
Measurement points:,420,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.68786137,1238304.972,254077.524,5462,908
901,0.68769066,1258195.676,258260.2289,5468,1001
902,0.6875416,1277969.063,262409.0105,5362,1074
903,0.68741109,1297542.258,266508.1053,5154,961
904,0.68727073,1316736.143,270537.8482,5076,929
905,0.68709224,1335366.583,274478.4601,4953,866
906,0.68687162,1353396.433,278325.7632,5004,901
907,0.68664736,1371064.861,282104.9069,4983,986
908,0.68646062,1388641.316,285844.2539,4939,874
909,0.68633069,1406260.811,289557.7416,5095,914
910,0.68622305,1423696.051,293220.4303,5048,880
911,0.68609608,1440659.324,296800.8973,5173,882
912,0.68592156,1456946.858,300277.0573,5309,895
913,0.6857157,1472673.977,303662.3214,5517,932
914,0.68550421,1488031.816,306978.5345,5679,957
915,0.68530827,1503181.361,310243.7988,5897,1048
916,0.68513036,1518126.321,313456.6978,6222,1109
917,0.68496706,1532819.299,316609.4717,6349,1063
918,0.68481326,1547234.293,319700.1365,6665,1020
919,0.68465138,1561494.61,322766.9847,7147,1175
920,0.68445922,1575787.098,325865.4504,7461,1293
921,0.68422064,1590217.191,329030.2302,8056,1325
922,0.68396664,1604146.017,332106.4107,8599,1395
923,0.68375123,1616536.733,334837.695,8989,1389
924,0.68362064,1626507.933,337004.3764,9661,1403
925,0.68355192,1635037.747,338825.3274,10393,1433
926,0.68347935,1644308.25,340803.3756,11123,1672
927,0.68334255,1656361.082,343409.6259,12067,1704
928,0.68314209,1670886.4,346581.0634,12972,1943
929,0.68292236,1685790.897,349849.5732,13932,1977
930,0.68272502,1699016.966,352754.6064,15077,2094
931,0.68256742,1709935.264,355150.3516,16290,2188
932,0.68244756,1719147.108,357162.1895,17662,2526
933,0.68236257,1727307.537,358927.7992,19254,2751
934,0.68229397,1735354.649,360656.9208,21144,2971
935,0.68220879,1744495.645,362627.8005,23024,3231
936,0.68207602,1755886.742,365107.2728,25533,3539
937,0.68190267,1769216.099,368025.7531,28357,3926
938,0.68173263,1782675.329,370970.7102,31388,4366
939,0.68160829,1794441.676,373526.1931,35243,4962
940,0.68154125,1804055.423,375585.3375,39732,5624
941,0.68151222,1812505.486,377369.7762,44837,6420
942,0.68150116,1820829.329,379112.4789,50598,7310
943,0.68149065,1829494.768,380925.9179,57281,8186
944,0.6814659,1838355.78,382792.7191,64892,9412
945,0.68141314,1847219.521,384685.105,73529,10628
946,0.68133485,1855471.127,386473.172,83175,12126
947,0.68125022,1862047.211,387918.4755,93973,13918
948,0.68117824,1865938.895,388793.6621,106296,15784
949,0.68112533,1867954.345,389261.0324,119433,18002
950,0.68108561,1870755.053,389880.3199,134022,20245
951,0.68105304,1876954.418,391201.6565,149074,22753
952,0.6810236,1886388.356,393194.5701,165053,25351
953,0.68099499,1896246.747,395275.4623,181792,28151
954,0.68096519,1903719.676,396860.4412,198779,31022
955,0.68093743,1907894.641,397756.2034,216052,33820
956,0.68091961,1909502.582,398107.7539,232137,36696
957,0.6809185,1909371.879,398081.5254,249789,39481
958,0.68092054,1908971.507,397996.1823,266268,42276
959,0.6808966,1910261.397,398287.0601,280321,44772
960,0.68082079,1914995.035,399343.7243,296546,47368
961,0.68070797,1922303.01,400971.8431,310842,49801
962,0.68059902,1929586.116,402592.0055,324757,52223
963,0.68053031,1934473.749,403675.6332,338404,54442
964,0.68050152,1937048.04,404239.6156,350288,56517
965,0.68049277,1938742.677,404601.4183,364368,58931
966,0.68048487,1940845.23,405047.5738,377839,61058
967,0.6804637,1943466.033,405614.2941,389708,62963
968,0.68041744,1946190.494,406226.1735,404732,65220
969,0.68033912,1948673.809,406817.8774,417723,67326
970,0.68024858,1950975.941,407383.4074,431100,69428
971,0.68017491,1953297.804,407937.4281,444641,71408
972,0.68013899,1955802.018,408494.2046,458403,73460
973,0.68012775,1958490.149,409066.239,472058,75605
974,0.68011934,1961321.547,409665.5632,487098,77763
975,0.68009634,1964202.872,410289.1225,501087,79967
976,0.68005461,1966879.705,410887.7441,515350,81884
977,0.67999258,1969068.183,411403.6851,529871,84117
978,0.6799179,1970726.377,411820.9481,544512,86105
979,0.67985858,1972343.633,412215.2053,559374,88163
980,0.6798447,1974473.281,412673.4761,571375,89849
981,0.67987095,1977264.404,413231.8578,589235,92513
982,0.67987695,1980234.718,413846.9138,605823,94760
983,0.67980027,1982860.704,414468.8923,618090,96486
984,0.67964321,1984991.505,415064.3541,636893,98995
985,0.67947864,1986884.966,415617.7502,652949,101209
986,0.67937792,1988806.97,416116.2849,668624,103274
987,0.67934382,1990837.463,416573.8335,684855,105467
988,0.67932761,1992916.258,417024.3729,697691,107116
989,0.67928473,1994995.539,417500.6957,716205,109673
990,0.6792143,1997160.313,418021.5075,733915,112053
991,0.67913724,1999562.006,418598.4689,747891,113728
992,0.67907249,2002144.876,419201.6791,768617,116545
993,0.67902853,2003803.559,419591.4306,785209,118687
994,0.67901052,2003102.44,419462.0144,801673,120727
995,0.67901406,1999592.992,418723.7039,818598,122951
996,0.67900562,1995821.502,417942.0549,836057,125231
997,0.67894638,1994879.288,417801.7402,852705,127412
998,0.67883181,1997828.638,418529.8332,870846,129777
999,0.67871948,2002026.044,419517.6555,887729,132013
1000,0.67867032,2004498.252,420083.2448,904489,134084
1001,0.6786838,2004082.027,419982.9824,921812,136417
1002,0.67869212,2001618.968,419458.7746,939165,138891
1003,0.6786303,1998085.443,418777.8989,956641,141136
1004,0.67851103,1994826.213,418209.6396,968354,142563
1005,0.678399,1993429.329,418024.6064,991171,145874
1006,0.67834797,1995059.38,418415.5918,1010976,148662
1007,0.67833689,1998293.589,419104.5785,1022694,150193
1008,0.67831673,2000741.678,419637.5001,1045839,153348
1009,0.67825606,2000789.713,419706.2042,1063867,155746
1010,0.678179,1999290.722,419466.1755,1081063,158114
1011,0.67812045,1997578.879,419163.5322,1098932,160429
1012,0.67808716,1996474.318,418963.8655,1110927,161946
1013,0.67803799,1995927.315,418896.4974,1132591,164798
1014,0.67792971,1995772.433,418968.4367,1153072,167374
1015,0.67777068,1995214.484,419004.7167,1166782,168894
1016,0.67761641,1992878.573,418662.8561,1191754,172034
1017,0.67751617,1987734.763,417678.6353,1209980,174226
1018,0.67745651,1981728.319,416473.7187,1228178,176311
1019,0.67739356,1978249.707,415802.9382,1247003,178640
1020,0.67729731,1979467.392,416151.0999,1266735,180949
1021,0.67719068,1982892.52,416973.5331,1285421,183214
1022,0.67710811,1984951.228,417485.8198,1305805,185576
1023,0.67705764,1983578.858,417245.6642,1324960,187756
1024,0.67700068,1979452.344,416432.2619,1343720,190062
1025,0.67689625,1973571.13,415294.843,1363355,192296
1026,0.67675465,1967562.357,414165.4401,1383115,194586
1027,0.67663365,1963621.292,413451.0297,1403040,196733
1028,0.67658311,1963503.025,413474.2498,1413562,197659
1029,0.6765777,1965664.403,413934.5454,1440373,200984
1030,0.67655918,1967125.165,414259.826,1463166,203490
1031,0.67648831,1965872.092,414063.4987,1473714,204633
1032,0.67638441,1962873.453,413530.8252,1500637,207535
1033,0.67627785,1959649.38,412952.9065,1520167,209846
1034,0.6761844,1956946.58,412472.0885,1538019,211809
1035,0.67609929,1954443.891,412025.3314,1556594,213917
1036,0.67601698,1951775.242,411540.7296,1565836,214820
1037,0.67594205,1948953.04,411016.5659,1589144,217737
1038,0.67588557,1946230.442,410495.7703,1610305,220300
1039,0.67585017,1943797.569,410016.0547,1621238,221676
1040,0.67580104,1941555.813,409589.5193,1648308,225446
1041,0.67569363,1939328.393,409220.828,1665292,227820
1042,0.67552662,1936912.933,408868.3409,1681502,230160
1043,0.67537542,1934061.86,408408.6602,1698456,232612
1044,0.67531811,1930557.619,407722.4785,1716005,235180
1045,0.67535246,1926695.51,406874.6452,1730884,237679
1046,0.67541431,1923162.915,406070.8004,1748153,240440
1047,0.67544588,1920474.228,405473.6212,1762766,242589
1048,0.67543116,1918234.387,405014.4487,1776365,244886
1049,0.67536733,1915769.338,404553.4294,1790512,247213
1050,0.6752625,1912746.299,404012.5629,1803978,249237
