Batch Number,B2600092,,,,,,
Category,Livestock,,,,,,
Specie,Horse,,,,,,
Family,Pleasure,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PHRS250801,,,,,,
Product name,HORSE FEED - SPORT HORSE - 25KG,,,,,,
NIR-Code,D20260216-00112,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2102,2332,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,4778,4172,,,,,
Lamp PD:,93,92,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
900,0.11304426,1242269.633,957572.3862,5596,3631,,
901,0.11281436,1262274.16,973507.5728,5651,3536,,
902,0.11259201,1282180.253,989366.2151,5568,3525,,
903,0.11238491,1301920.648,1005077.615,5280,3253,,
904,0.11219005,1321293.765,1020491.371,5191,3229,,
905,0.11200378,1340090.621,1035452.984,5000,3082,,
906,0.11182143,1358264.216,1049935.996,4950,2956,,
907,0.11163643,1376072.042,1064154.629,4974,2925,,
908,0.11144247,1393804.948,1078349.473,5046,2889,,
909,0.11123537,1411598.672,1092636.926,4962,2946,,
910,0.11101553,1429170.929,1106798.696,5209,2869,,
911,0.11078389,1446169.726,1120560.679,5167,2833,,
912,0.11054297,1462357.986,1133732.857,5166,2908,,
913,0.11030231,1477935.487,1146444.861,5332,2958,,
914,0.11007285,1493205.8,1158902.269,5475,2998,,
915,0.10986261,1508413.745,1171272.303,5794,3070,,
916,0.10966542,1523497.714,1183522.129,5809,3242,,
917,0.1094709,1538296.52,1195553.904,6222,3307,,
918,0.10927019,1552688.014,1207296.694,6437,3570,,
919,0.10906336,1566822.483,1218867.333,6823,3693,,
920,0.10885417,1580966.167,1230462.575,7191,3819,,
921,0.10864635,1595295.221,1242209.135,7628,4191,,
922,0.10844301,1609160.774,1253592.626,8037,4330,,
923,0.10824649,1621472.814,1263755.868,8530,4588,,
924,0.10805815,1631301.946,1271968.052,9140,4758,,
925,0.10787472,1639643.571,1279012.322,9723,5188,,
926,0.10769088,1648739.281,1286652.014,10559,5612,,
927,0.10750301,1660686.802,1296536.422,11203,6069,,
928,0.10731726,1675171.742,1308404.644,12031,6349,,
929,0.10714575,1690050.256,1320547.005,12948,6784,,
930,0.1069988,1703215.739,1331284.443,14146,7247,,
931,0.10687444,1714037.707,1340126.936,15073,7894,,
932,0.10676109,1723157.573,1347608.99,16411,8547,,
933,0.10664778,1731269.541,1354306.343,17874,9269,,
934,0.10653084,1739302.983,1360956.997,19387,10088,,
935,0.10641353,1748410.831,1368453.215,21083,10952,,
936,0.10629968,1759695.89,1377646.954,23341,12065,,
937,0.10619493,1772856.155,1388284.813,25631,13299,,
938,0.10610621,1786157.553,1398986.583,28287,14610,,
939,0.10603975,1797851.862,1408361.535,31826,16412,,
940,0.10599521,1807484.995,1416052.953,35551,18420,,
941,0.10596585,1815978.259,1422803.068,40112,20974,,
942,0.1059449,1824299.828,1429391.888,45148,23659,,
943,0.10592557,1832897.485,1436192.352,50777,26642,,
944,0.10590095,1841658.239,1443138.747,57509,30338,,
945,0.10586474,1850424.303,1450128.818,64762,34248,,
946,0.10582204,1858600.287,1456679.349,73107,38936,,
947,0.10578978,1865125.706,1461902.234,82394,44228,,
948,0.10578463,1868993.619,1464951.292,93309,50125,,
949,0.10580976,1871010.147,1466447.025,105086,56813,,
950,0.10585465,1873830.679,1468505.895,118751,64206,,
951,0.10590811,1880061.941,1473207.939,133089,71965,,
952,0.10596132,1889525.023,1480441.752,148576,80360,,
953,0.10600818,1899387.209,1488008.2,165347,89230,,
954,0.10604352,1906817.631,1493707.783,182580,98446,,
955,0.10606997,1910917.958,1496828.589,200757,107899,,
956,0.1060967,1912463.725,1497947.185,217894,116851,,
957,0.10613255,1912325.716,1497715.476,236506,126600,,
958,0.10617991,1911967.858,1497271.924,254587,135795,,
959,0.10623615,1913308.657,1498127.895,270308,143898,,
960,0.1062983,1918063.138,1501635.748,287628,152603,,
961,0.10636369,1925369.958,1507129.272,303127,160670,,
962,0.10643015,1932668.67,1512611.011,318244,168139,,
963,0.10649551,1937620.919,1516258.705,332612,175491,,
964,0.10655397,1940274.316,1518130.71,345285,181680,,
965,0.10659753,1941991.242,1519321.683,359985,189104,,
966,0.10662005,1944002.373,1520816.223,373885,196212,,
967,0.10663025,1946469.89,1522710.848,386249,202100,,
968,0.10664343,1949079.535,1524706.075,401585,209771,,
969,0.10667122,1951566.806,1526554.106,414759,215913,,
970,0.10670469,1953958.419,1528307.077,428132,222413,,
971,0.10672783,1956382.504,1530121.571,441863,228876,,
972,0.10672973,1958944.812,1532118.906,455842,235437,,
973,0.10672064,1961656.882,1534272.169,469819,241971,,
974,0.10671628,1964505.545,1536515.617,484765,248990,,
975,0.10672427,1967413.259,1538761.532,498787,255353,,
976,0.10672775,1970105.705,1540855.024,513154,261760,,
977,0.10670535,1972272.432,1542629.229,527820,268226,,
978,0.10664859,1973866.918,1544078.139,542400,274737,,
979,0.10657716,1975422.214,1545548.976,557451,281478,,
980,0.10651421,1977541.273,1547431.202,569316,286306,,
981,0.10646793,1980392.375,1549827.319,587325,294330,,
