Batch Number,B2600073,,,,,,,
Category,Poultry,,,,,,,
Specie,Bird,,,,,,,
Family,Quail,,,,,,,
Brand,FARMFLAKES,,,,,,,
Product Code,PQPL250201,,,,,,,
Product name,QUAIL FEED - LAYER,,,,,,,
NIR-Code,D20260211-00098,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2177,2216,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5540,5416,,,,,,
Lamp PD:,92,93,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,11,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,420,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
900,0.08088002,1241839.658,1030826.339,5586,3677,,,
901,0.08074342,1261875.091,1047786.867,5551,3796,,,
902,0.08059508,1281743.082,1064647.645,5447,3643,,,
903,0.08044225,1301373.404,1081333.547,5260,3524,,,
904,0.08029421,1320618.976,1097699.126,5211,3301,,,
905,0.08015977,1339328.815,1113595.44,5064,3234,,,
906,0.08003986,1357480.736,1128999.682,5081,3125,,,
907,0.07992184,1375294.656,1144126.152,5080,3103,,,
908,0.07979238,1393017.002,1159215.11,5004,2831,,,
909,0.07964543,1410761.099,1174378.365,5064,2975,,,
910,0.07949264,1428281.574,1189381.54,5067,3057,,,
911,0.07934781,1445273.235,1203932.531,5154,2982,,,
912,0.07921958,1461527.704,1217832.247,5343,3034,,,
913,0.07909964,1477204.627,1231235.178,5391,2961,,,
914,0.07897625,1492551.092,1244379.826,5635,3050,,,
915,0.07884117,1507768.659,1257458.167,5623,3176,,,
916,0.07870182,1522821.426,1270419.526,6013,3354,,,
917,0.07857019,1537596.324,1283134.376,6223,3272,,,
918,0.07845544,1552010.589,1295505.442,6588,3562,,,
919,0.07835024,1566192.952,1307660.547,6835,3686,,,
920,0.07824082,1580362.152,1319823.313,7206,3919,,,
921,0.07811623,1594654.598,1332141.638,7722,4160,,,
922,0.07798655,1608453.18,1344069.958,8127,4543,,,
923,0.07787224,1620737.883,1354691.917,8734,4665,,,
924,0.07779089,1630642.088,1363225.68,9366,4896,,,
925,0.07773527,1639135.401,1370501.643,9899,5445,,,
926,0.07768297,1648376.28,1378394.026,10648,5732,,,
927,0.07761375,1660383.964,1388656.335,11333,5950,,,
928,0.07753142,1674847.737,1401018.618,12191,6528,,,
929,0.07745701,1689689.749,1413676.247,13191,7006,,,
930,0.07740977,1702867.508,1424856.388,14217,7418,,,
931,0.07738877,1713753.477,1434034.431,15391,8070,,,
932,0.07737662,1722939.313,1441761.296,16769,8729,,,
933,0.07735663,1731070.007,1448631.752,18224,9461,,,
934,0.07732876,1739073.482,1455422.805,19869,10342,,,
935,0.07730839,1748146.626,1463084.707,21611,11088,,,
936,0.07731068,1759436.497,1472525.821,23573,12232,,,
937,0.07733728,1772649.526,1483493.346,26175,13419,,,
938,0.07737651,1786023.57,1494550.796,29084,14851,,,
939,0.07741695,1797781.387,1504249.701,32415,16509,,,
940,0.07745782,1807457.657,1512203.753,36251,18586,,,
941,0.07750915,1815981.366,1519155.511,40936,21076,,,
942,0.0775809,1824329.253,1525886.825,46134,23823,,,
943,0.07767406,1832956.912,1532774.234,51861,26715,,,
944,0.07778031,1841758.352,1539757.52,58779,30430,,,
945,0.07789125,1850582.519,1546739.596,66354,34421,,,
946,0.07800457,1858834.849,1553231.664,74971,39047,,,
947,0.07812443,1865449.407,1558328.6,84606,44265,,,
948,0.0782553,1869413.021,1561169.142,95844,50304,,,
949,0.07839593,1871514.241,1562417.9,107898,56856,,,
950,0.07853859,1874379.308,1564295.832,121667,64377,,,
951,0.07867503,1880587.286,1568983.825,136262,72312,,,
952,0.07880671,1889973.864,1576337.051,151983,80799,,,
953,0.0789452,1899761.194,1583995.036,168591,89816,,,
954,0.07910226,1907172.429,1589599.434,186092,99189,,,
955,0.07927673,1911319.279,1592415.937,203984,108796,,,
956,0.0794558,1912949.23,1593116.901,220885,118015,,,
957,0.07962683,1912903.811,1592451.809,239570,128038,,,
958,0.07978754,1912618.528,1591625.247,257300,137278,,,
959,0.07994327,1913984.109,1592190.593,272708,145432,,,
960,0.08009877,1918691.97,1595535.575,289785,154477,,,
961,0.08025561,1925906.978,1600957.117,305061,162540,,,
962,0.08041409,1933127.742,1606373.258,319808,170305,,,
963,0.08057496,1938069.902,1609883.586,334128,177647,,,
964,0.08073656,1940781.677,1611536.417,346672,183996,,,
965,0.08089533,1942596.64,1612453.901,361214,191388,,,
966,0.08104768,1944716.268,1613647.108,375085,198359,,,
967,0.08119282,1947272.971,1615228.665,387210,204350,,,
968,0.08133134,1949922.461,1616910.583,402473,212094,,,
969,0.08146383,1952380.326,1618454.859,415654,218428,,,
970,0.08159039,1954710.127,1619914.069,429014,225028,,,
971,0.08171085,1957096.597,1621441.971,442599,231398,,,
972,0.08182458,1959683.793,1623160.322,456737,238054,,,
973,0.08192903,1962444.802,1625056.349,470442,244612,,,
974,0.08202116,1965307.915,1627082.025,485503,251747,,,
975,0.08209885,1968162.765,1629154.077,499646,258246,,,
976,0.08216267,1970780.817,1631081.495,513835,264798,,,
977,0.08221368,1972912.208,1632653.699,528505,271410,,,
978,0.08225428,1974539.114,1633847.288,543284,278124,,,
979,0.08228961,1976153.246,1635049.881,558214,284886,,,
980,0.08232506,1978307.29,1636698.508,570108,289987,,,
981,0.08236012,1981142.496,1638911.847,588049,297991,,,
982,0.08238517,1984157.505,1641311.356,604703,305338,,,
983,0.08239024,1986809.498,1643485.928,616889,310560,,,
984,0.08237449,1988948.96,1645315.349,635760,318820,,,
985,0.08234703,1990857.704,1646998.434,651720,325800,,,
986,0.082317,1992824.12,1648739.23,667599,332519,,,
987,0.08228691,1994912.684,1650581.527,683876,339300,,,
988,0.08225433,1997019.117,1652448.339,696578,344469,,,
989,0.08221648,1999058.599,1654280.106,715143,352332,,,
990,0.08216869,2001144.589,1656188.571,732917,359956,,,
991,0.08210538,2003489.693,1658371.141,746984,365507,,,
992,0.08202337,2006083.944,1660832.093,767820,374536,,,
993,0.08193118,2007788.657,1662596.328,784456,381448,,,
994,0.08184072,2007109.983,1662380.562,801042,388370,,,
995,0.08175862,2003564.305,1659757.582,817995,395458,,,
996,0.08167638,1999733.071,1656897.526,835377,402655,,,
997,0.08158309,1998755.753,1656443.54,852135,409717,,,
998,0.08147494,2001715.219,1659309.32,870258,417493,,,
999,0.08136003,2005938.189,1663249.931,887196,424642,,,
1000,0.08124683,2008417.104,1665739.474,903926,431793,,,
1001,0.08113664,2007977.479,1665797.461,921432,439321,,,
1002,0.08102348,2005475.211,1664155.151,938865,446781,,,
1003,0.08090165,2001901.934,1661656.129,956381,454469,,,
1004,0.08077101,1998613.413,1659425.612,968221,459487,,,
1005,0.0806354,1997205.886,1658774.815,990980,469645,,,
1006,0.08049814,1998848.421,1660663.81,1010728,478517,,,
1007,0.08035635,2002100.58,1663908.875,1022690,483622,,,
1008,0.08020432,2004546.154,1666524.652,1045647,494192,,,
1009,0.08003982,2004556.73,1667164.78,1063855,502122,,,
1010,0.0798737,2003007.238,1666513.447,1080910,509754,,,
1011,0.07971959,2001260.704,1665651.249,1099050,517652,,,
1012,0.0795787,2000147.874,1665265.208,1110850,522789,,,
1013,0.07943047,1999598.761,1665376.325,1132536,532313,,,
1014,0.07925354,1999425.938,1665910.928,1152948,541177,,,
1015,0.07905233,1998837.254,1666192.239,1166729,547081,,,
1016,0.07885462,1996483.887,1664988.3,1191817,558121,,,
1017,0.07868462,1991358.511,1661364.136,1210245,565879,,,
1018,0.07853383,1985393.938,1656963.187,1228268,573487,,,
1019,0.07837857,1981951.142,1654681.356,1247340,581575,,,
1020,0.07820165,1983175.2,1656377.925,1267011,589738,,,
1021,0.07800767,1986577.352,1659960.723,1285768,597600,,,
1022,0.07780517,1988589.432,1662416.937,1306226,606120,,,
1023,0.07759939,1987157.525,1662007.204,1325536,613900,,,
1024,0.07739165,1982978.467,1659305.477,1344282,621523,,,
1025,0.07718332,1977071.511,1655156.492,1363980,629234,,,
1026,0.07697748,1971063.027,1650908.622,1383576,636989,,,
1027,0.07677915,1967128.883,1648366.075,1403528,644766,,,
1028,0.07659238,1967005.38,1648971.574,1414125,648176,,,
1029,0.07640795,1969139.73,1651461.991,1441096,658774,,,
1030,0.07620991,1970546.029,1653395.2,1463911,667612,,,
1031,0.07599,1969211.293,1653112.168,1474324,670652,,,
1032,0.07576649,1966121.97,1651368.403,1501340,680945,,,
1033,0.07556304,1962819.669,1649367.227,1520900,688094,,,
1034,0.07538606,1960066.874,1647725.358,1538552,694154,,,
1035,0.07521725,1957550.326,1646249.6,1557380,700614,,,
1036,0.07503793,1954907.878,1644706.327,1566684,702862,,,
1037,0.07484809,1952117.014,1643076.394,1589822,711405,,,
1038,0.07465974,1949371.263,1641477.081,1611201,718961,,,
1039,0.07448279,1946825.826,1640001.724,1622111,721914,,,
1040,0.07431688,1944455.537,1638630.875,1649135,732106,,,
1041,0.07415877,1942185.432,1637313.787,1666212,737918,,,
1042,0.07400304,1939839.929,1635922.967,1682370,743420,,,
1043,0.07384039,1937065.793,1634195.412,1699537,749067,,,
1044,0.07366202,1933534.168,1631886.069,1716997,755241,,,
1045,0.07347522,1929545.827,1629220.551,1731897,760236,,,
1046,0.0732999,1925882.898,1626784.302,1749202,766549,,,
1047,0.07315083,1923136.167,1625021.856,1763813,771636,,,
1048,0.07301368,1920884.468,1623631.861,1777452,776425,,,
1049,0.07286495,1918396.16,1622084.03,1791560,781481,,,
1050,0.07269437,1915315.056,1620115.038,1805109,786521,,,
1051,0.07251722,1911994.392,1617966.002,1818088,791624,,,
1052,0.07235098,1908844.634,1615919.057,1818882,791510,,,
1053,0.07220022,1905953.262,1614031.558,1840423,800662,,,
1054,0.07205946,1903158.955,1612187.708,1856050,807567,,,
1055,0.07192289,1900359.888,1610322.894,1855996,807688,,,
1056,0.07178496,1897763.836,1608633.878,1876305,817293,,,
1057,0.07164028,1895660.482,1607386.351,1886863,822796,,,
1058,0.07148748,1893651.326,1606247.769,1895292,827771,,,
1059,0.07133159,1890172.453,1603872.495,1904039,833210,,,
1060,0.07117713,1883792.177,1599027.227,1901340,834019,,,
1061,0.07102068,1875983.975,1592973.092,1915241,842432,,,
1062,0.07085451,1870123.177,1588604.191,1926492,850212,,,
1063,0.07067543,1868405.207,1587799.405,1924665,852931,,,
1064,0.07049364,1868577.139,1588610.359,1942593,864806,,,
1065,0.070321,1867413.467,1588252.267,1948018,871848,,,
1066,0.07015966,1863477.221,1585493.376,1952553,879091,,,
1067,0.07000046,1857633.312,1581100.71,1957420,887939,,,
1068,0.06983529,1850947.427,1576009.346,1963685,897634,,,
1069,0.06966808,1844866.136,1571436.292,1966169,906963,,,
1070,0.06950879,1841010.584,1568727.459,1971662,918823,,,
1071,0.06936122,1839924.156,1568334.536,1974428,930557,,,
1072,0.0692127,1839552.454,1568554.011,1976067,942760,,,
1073,0.06904838,1837573.709,1567459.729,1978497,956803,,,
1074,0.06886941,1833641.768,1564750.433,1980416,971944,,,
1075,0.06869115,1829066.363,1561486.791,1981610,987628,,,
1076,0.06852634,1824987.192,1558595.735,1969883,998431,,,
1077,0.0683721,1821572.12,1556231.755,1980725,1021284,,,
1078,0.06822116,1818709.995,1554326.641,1985289,1042154,,,
1079,0.06806858,1815740.478,1552334.076,1973280,1055287,,,
1080,0.06791242,1811244.099,1549046.871,1984122,1081316,,,
1081,0.06775195,1804150.81,1543550.664,1985375,1102512,,,
1082,0.06759766,1796477.021,1537531.434,1985683,1123918,,,
1083,0.06746634,1791648.77,1533862.867,1988620,1146626,,,
1084,0.06736323,1791060.19,1533723.089,1982128,1163822,,,
1085,0.06726611,1791691.404,1534606.752,1994917,1192174,,,
1086,0.0671506,1790146.143,1533691.079,2007740,1219946,,,
1087,0.06702013,1785621.463,1530274.251,2009556,1240618,,,
1088,0.06689808,1779122.641,1525133.321,2033705,1274043,,,
1089,0.06680038,1771898.468,1519282.214,2046797,1299802,,,
1090,0.0667161,1765867.981,1514405.332,2060914,1325455,,,
1091,0.06662961,1762980.263,1512229.953,2078368,1352219,,,
1092,0.06653956,1762857.751,1512438.451,2099000,1380358,,,
1093,0.06645808,1762851.384,1512716.77,2116534,1405308,,,
1094,0.06639465,1760808.944,1511184.827,2139200,1432883,,,
1095,0.06634603,1757293.225,1508336.358,2158375,1457273,,,
1096,0.06630556,1753627.368,1505330.138,2176547,1480270,,,
1097,0.06626719,1750444.313,1502730.521,2195205,1503302,,,
1098,0.0662256,1747492.113,1500339.778,2212696,1524853,,,
1099,0.06617727,1744513.421,1497949.07,2228862,1545504,,,
1100,0.0661298,1741570.587,1495585.633,2230413,1555847,,,
1101,0.06609493,1738844.454,1493364.445,2255255,1582036,,,
1102,0.06607599,1736406.212,1491335.44,2273037,1603800,,,
1103,0.06606284,1734152.672,1489445.057,2271810,1612560,,,
1104,0.06604569,1731942.284,1487605.322,2295858,1639031,,,
1105,0.06602703,1729460.526,1485537.522,2307855,1657429,,,
1106,0.06601496,1726318.028,1482879.452,2318656,1675340,,,
1107,0.06601529,1722562.181,1479652.118,2329549,1693639,,,
1108,0.06602944,1719051.023,1476587.963,2328000,1702901,,,
1109,0.06605792,1716598.622,1474384.791,2345421,1726156,,,
1110,0.06609729,1714857.4,1472755.721,2360027,1747631,,,
1111,0.06614217,1712879.244,1470904.842,2358764,1757385,,,
1112,0.06618748,1710177.848,1468431.859,2380428,1784147,,,
1113,0.06622874,1707220.352,1465753.156,2386130,1798694,,,
1114,0.06626284,1704547.209,1463343.211,2390628,1812054,,,
1115,0.0662997,1702288.108,1461279.758,2395593,1825536,,,
1116,0.06635656,1700345.297,1459420.91,2402521,1840125,,,
1117,0.06644524,1698704.642,1457715.049,2402779,1849110,,,
1118,0.0665657,1697534.224,1456306.677,2408143,1861522,,,
1119,0.06671568,1696913.468,1455271.485,2408479,1869247,,,
1120,0.06688677,1695845.228,1453782.509,2407871,1875852,,,
1121,0.06706772,1692740.743,1450516.688,2408337,1882607,,,
1122,0.06725845,1687483.017,1445376.405,2408047,1888051,,,
1123,0.06748068,1683013.712,1440810.872,2407460,1892261,,,
1124,0.06775442,1682221.385,1439225.132,2392046,1884607,,,
1125,0.06807114,1684092.962,1439775.984,2401260,1895763,,,
1126,0.06840914,1685556.615,1439906.22,2403120,1900423,,,
1127,0.06875765,1684782.35,1438090.278,2385506,1889151,,,
1128,0.06912356,1682346.942,1434802.09,2393315,1897416,,,
1129,0.06951556,1679163.651,1430795.162,2388478,1895058,,,
1130,0.06994484,1676666.34,1427255.774,2381259,1890482,,,
1131,0.0704225,1676516.782,1425559.676,2374603,1885819,,,
1132,0.07094943,1678918.872,1425871.137,2354932,1870548,,,
1133,0.07151311,1681642.025,1426331.406,2354665,1870223,,,
1134,0.07210426,1682604.778,1425206.696,2351128,1867014,,,
1135,0.07272584,1682213.657,1422837.552,2333816,1852496,,,
1136,0.07338359,1681862.261,1420387.481,2338768,1855605,,,
1137,0.07407942,1682325.464,1418504.115,2329026,1846949,,,
1138,0.07481177,1683516.918,1417117.025,2318225,1837457,,,
1139,0.07557915,1685105.483,1415950.064,2309344,1829293,,,
1140,0.07638176,1685829.534,1413942.977,2303111,1823112,,,
1141,0.0772225,1684216.748,1409858.337,2289574,1811368,,,
1142,0.07809894,1681166.248,1404467.601,2281462,1803872,,,
1143,0.07899607,1680179.409,1400746.62,2269162,1793245,,,
1144,0.0798985,1683607.765,1400691.271,2256483,1782247,,,
1145,0.0808182,1688912.474,1402132.129,2244348,1771698,,,
1146,0.08177919,1692531.186,1402030.599,2231800,1760595,,,
1147,0.08278164,1693272.418,1399410.708,2218282,1748898,,,
1148,0.08380115,1691908.109,1395004.533,2192708,1727486,,,
1149,0.08482394,1689676.992,1389887.827,2187888,1722292,,,
1150,0.08586882,1688917.749,1385924.839,2176031,1711426,,,
1151,0.08695226,1691830.012,1384855.522,2147285,1686879,,,
1152,0.08806037,1697265.96,1385764.806,2140979,1679849,,,
1153,0.08916898,1702110.723,1386177.433,2123317,1663974,,,
1154,0.09027213,1704752.255,1384806.667,2105838,1647578,,,
1155,0.09138515,1706400.444,1382597.637,2090642,1632916,,,
1156,0.09251972,1708383.202,1380592.711,2068322,1612095,,,
1157,0.09367043,1710824.941,1378907.515,2065297,1606292,,,
1158,0.0948265,1713380.288,1377295.938,2061170,1599097,,,
1159,0.09598061,1715974.409,1375720.463,2047578,1584190,,,
1160,0.09712864,1718865.925,1374400.688,2053103,1583979,,,
1161,0.0982661,1722249.824,1373504.374,2045287,1572853,,,
1162,0.09938891,1725989.642,1372932.791,2034844,1559455,,,
1163,0.10049412,1729856.38,1372511.287,2024426,1545940,,,
1164,0.10158756,1733453.605,1371906.963,2016650,1533979,,,
1165,0.1026825,1736255.328,1370664.266,2001027,1516527,,,
1166,0.1037852,1738270.336,1368775.17,1990534,1502835,,,
1167,0.10488111,1740764.965,1367284.932,1976950,1487255,,,
1168,0.10595175,1744921.005,1367174.73,1962294,1471413,,,
1169,0.10699594,1749836.022,1367733.273,1949651,1457622,,,
1170,0.10802471,1753649.487,1367470.862,1936990,1444649,,,
1171,0.1090441,1755880.623,1366000.601,1924071,1432406,,,
1172,0.11004717,1757950.287,1364455.623,1902328,1414217,,,
1173,0.11102607,1761065.363,1363795.986,1898713,1410694,,,
1174,0.11198554,1764952.082,1363789.613,1889218,1403586,,,
1175,0.11293488,1768987.209,1363922.876,1867866,1388270,,,
1176,0.11387854,1773167.992,1364178.941,1865185,1387834,,,
1177,0.11481584,1777977.013,1364929.771,1853744,1381641,,,
1178,0.11573991,1783116.403,1365965.659,1841658,1375825,,,
1179,0.11663439,1786530.776,1365765.409,1831191,1371582,,,
1180,0.11748831,1786540.66,1363090.183,1813450,1362957,,,
1181,0.11831026,1785729.306,1359894.973,1808957,1364426,,,
1182,0.11911034,1788376.899,1359404.52,1801774,1364784,,,
1183,0.11989675,1795088.991,1362038.042,1786561,1359113,,,
1184,0.1206851,1802142.059,1364909.693,1786787,1365464,,,
1185,0.1214831,1806552.888,1365738.597,1776930,1364721,,,
1186,0.12225224,1808630.106,1364889.565,1766611,1363849,,,
1187,0.12294837,1809443.39,1363316.309,1757993,1364436,,,
