Batch Number,B2600074,,,,,,
Category,Poultry,,,,,,
Specie,Chicken,,,,,,
Family,Layer Baladi,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PPEP250401,,,,,,
Product name,CHICKEN FEED BALADI PRODUCTION 1,,,,,,
NIR-Code,D20260211-00099,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2267,2304,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,5181,5163,,,,,
Lamp PD:,92,93,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
900,0.07036004,1241094.809,1055467.633,5556,3813,,
901,0.07022844,1261126.21,1072828.021,5558,3848,,
902,0.07008812,1281004.744,1090090.67,5494,3683,,
903,0.06994291,1300652.177,1107180.085,5264,3612,,
904,0.06979909,1319908.959,1123944.56,5101,3414,,
905,0.06966263,1338611.429,1140228.519,5059,3328,,
906,0.06953532,1356733.898,1156004.042,5027,3172,,
907,0.06941186,1374510.035,1171483.167,4966,3121,,
908,0.06928655,1392201.911,1186904.225,4946,3067,,
909,0.06915564,1409932.854,1202382.9,5036,3025,,
910,0.06901974,1427452.288,1217704.368,5147,2959,,
911,0.06888,1444447.286,1232598.688,5139,3047,,
912,0.06873735,1460702.252,1246879.104,5345,3069,,
913,0.06859251,1476371.602,1260675.093,5400,3082,,
914,0.06844618,1491697.663,1274191.269,5564,3226,,
915,0.06829923,1506879.319,1287594.891,5724,3210,,
916,0.06815291,1521888.869,1300858.414,5922,3302,,
917,0.06800856,1536624.978,1313890.985,6358,3401,,
918,0.06786754,1551017.045,1326627.593,6567,3721,,
919,0.06773221,1565208.947,1339183.554,6918,3805,,
