Batch Number,B2600074,,,,,
Category,Poultry,,,,,
Specie,Chicken,,,,,
Family,Layer Baladi,,,,,
Brand,FARMFLAKES,,,,,
Product Code,PPEP250401,,,,,
Product name,CHICKEN FEED BALADI PRODUCTION 1,,,,,
NIR-Code,D20260211-00099,,,,,
Serial Number:,5B25203,,,,,
Scan Config Name:,IAS5100,,,,,
Scan Config Type:,2,,,,,
Start wavelength in nm:,900,,,,,
End wavelength in nm:,1700,,,,,
Pattern Pixel Width:,11,,,,,
Exposure Time:,0,,,,,
Measurement points:,420,,,,,
Number of Measurement points:,801,,,,,
Num Repeats:,90,90,,,,
PGA Gain:,64,64,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,
900,0.06932601,1241094.809,1057983.625,5556,3865,
901,0.06921503,1261126.21,1075334.369,5558,3926,
902,0.06908726,1281004.744,1092605.749,5494,3624,
903,0.06894297,1300652.177,1109732.242,5264,3421,
904,0.06879173,1319908.959,1126554.596,5101,3314,
905,0.06864306,1338611.429,1142908.522,5059,3249,
906,0.06850236,1356733.898,1158756.86,5027,3172,
907,0.06836833,1374510.035,1174301.424,4966,3027,
908,0.06823913,1392201.911,1189770.211,4946,2930,
909,0.06811284,1409932.854,1205273.451,5036,3033,
910,0.06798682,1427452.288,1220603.992,5147,3158,
911,0.06785833,1444447.286,1235501.754,5139,3053,
912,0.06772479,1460702.252,1249789.607,5345,3116,
913,0.06758409,1476371.602,1263605.755,5400,3173,
914,0.06743437,1491697.663,1277163.322,5564,3267,
915,0.06727539,1506879.319,1290633.938,5724,3239,
916,0.06711441,1521888.869,1303972.805,5922,3325,
917,0.06696075,1536624.978,1317064.797,6358,3431,
918,0.06682193,1551017.045,1329825.461,6567,3700,
919,0.06669543,1565208.947,1342384.395,6918,3943,
920,0.06657478,1579435.842,1354962.296,7333,3989,
921,0.06645451,1593845.472,1367702.699,7712,4299,
922,0.06633563,1607785.691,1380042.708,8244,4566,
923,0.06622222,1620176.659,1391041.706,8809,4850,
924,0.06611789,1630098.386,1399896.501,9379,5017,
925,0.06602521,1638545.275,1407450.856,10120,5396,
926,0.06594653,1647751.187,1415614.838,10851,5917,
927,0.06588413,1659805.944,1426176.215,11655,6222,
928,0.06583397,1674386.425,1438870.535,12438,6662,
929,0.06578714,1689339.428,1451876.853,13489,7212,
930,0.0657351,1702549.53,1463405.422,14530,7648,
931,0.06567825,1713387.36,1472913.735,15796,8352,
932,0.06562455,1722503.994,1480933.961,17056,9029,
933,0.06558192,1730603.72,1488043.793,18588,9675,
934,0.06555439,1738628.918,1495038.941,20229,10507,
935,0.06554234,1747748.317,1502922.369,22101,11517,
936,0.06554592,1759079.96,1512654.207,24339,12742,
937,0.0655635,1772321.169,1523978.81,26909,14031,
938,0.06559174,1785720.986,1535401.166,29923,15624,
939,0.06562751,1797513.591,1545413.386,33505,17451,
940,0.06567055,1807227.708,1553611.123,37474,19604,
941,0.06572341,1815767.904,1560762.878,42294,22190,
942,0.06578848,1824086.722,1567678.485,47649,25051,
943,0.06586396,1832645.232,1574760.233,53780,28395,
944,0.06594363,1841374.886,1581971.245,60874,32308,
945,0.06602147,1850162.383,1589235.929,68766,36549,
946,0.06609894,1858418.057,1596042.583,77703,41536,
947,0.06618537,1865045.953,1601415.995,87875,47131,
948,0.06629027,1869002.499,1604425.726,99550,53560,
949,0.06641549,1871077.015,1605743.514,112017,60564,
950,0.06655464,1873928.305,1607675.261,126136,68397,
951,0.06670033,1880167.648,1612487.083,140838,76665,
952,0.06684694,1889625.408,1620051.345,156566,85589,
953,0.06699161,1899482.64,1627959.948,173312,94826,
954,0.06713262,1906921.809,1633805.178,190762,104517,
955,0.06727084,1911046.817,1636818.372,208431,114096,
956,0.06740878,1912625.819,1637650.537,225246,123418,
957,0.06754878,1912521.774,1637033.671,243226,133299,
958,0.06769283,1912188.908,1636205.949,260538,142755,
959,0.06784243,1913534.594,1636793.481,275658,151027,
960,0.06799837,1918264.855,1640250.594,292144,160036,
961,0.06815983,1925535.41,1645855.401,307336,168095,
962,0.06832578,1932820.058,1651450.806,321801,175781,
963,0.06849529,1937810.695,1655068.822,335794,183043,
964,0.06866109,1940544.549,1656771.173,348184,189554,
965,0.06881186,1942351.225,1657738.042,362418,197089,
966,0.06893783,1944430.871,1659031.691,376343,204090,
967,0.06904363,1946933.384,1660762.242,388243,210201,
968,0.06914047,1949540.353,1662615.26,403408,217950,
969,0.06923813,1951987.512,1664327.944,416639,224504,
970,0.06933824,1954326.204,1665937.907,429981,230917,
971,0.06943957,1956717.675,1667587.377,443544,237672,
972,0.06953983,1959289.576,1669393.795,457449,244347,
973,0.0696326,1962028.322,1671370.282,471161,251099,
974,0.06971037,1964883.31,1673502.611,486217,258141,
975,0.06976854,1967757.764,1675726.334,500335,264863,
976,0.06981116,1970413.755,1677823.483,514581,271484,
977,0.06984392,1972587.648,1679547.888,529175,278123,
978,0.06987083,1974247.393,1680856.893,543839,284954,
979,0.06989231,1975869.473,1682154.74,558944,291737,
980,0.06990823,1977991.668,1683899.744,570654,296854,
981,0.06991787,1980767.875,1686225.735,588630,305121,
982,0.06991961,1983752.431,1688759.735,605312,312568,
983,0.06991173,1986459.47,1691094.887,617625,317615,
984,0.06989237,1988728.595,1693102.111,636418,326074,
985,0.06985943,1990756.342,1694956.969,652391,333085,
986,0.06981125,1992747.764,1696840.718,668170,339713,
987,0.06975207,1994767.18,1698791.737,684339,346519,
988,0.06969055,1996772.838,1700740.721,697193,351752,
989,0.06963381,1998739.472,1702638.236,715648,359614,
990,0.06957555,2000802.165,1704623.989,733630,367223,
991,0.06950286,2003176.186,1706932.271,747557,372840,
992,0.06940643,2005847.557,1709588.14,768330,381933,
993,0.06929497,2007640.591,1711555.555,784790,388740,
994,0.0691825,2007014.043,1711464.55,801505,395560,
995,0.069078,2003458.822,1708844.015,818354,402808,
996,0.06897626,1999597.397,1705950.005,835800,410070,
997,0.06887002,1998622.492,1705535.435,852501,417170,
998,0.06875568,2001637.783,1708558.329,870661,424917,
999,0.06863518,2005931.538,1712698.553,887438,432043,
1000,0.06851026,2008452.571,1715344.365,904239,439116,
1001,0.06837925,2008014.45,1715487.617,921787,446822,
1002,0.06823729,2005496.212,1713896.353,939133,454307,
1003,0.06808022,2001912.666,1711452.72,956646,462033,
1004,0.06791179,1998621.326,1709301.7,968465,466885,
1005,0.06774133,1997206.028,1708761.854,991231,477386,
1006,0.06757751,1998828.367,1710795.092,1010957,486215,
1007,0.06742131,2002071.779,1714187.54,1022973,491378,
1008,0.06727015,2004555.638,1716911.735,1046031,501770,
1009,0.06712027,2004665.99,1717598.883,1064069,510008,
1010,0.06696625,2003225.167,1716973.2,1081239,517583,
1011,0.06680268,2001530.887,1716167.271,1099244,525659,
1012,0.06662543,2000390.997,1715890.064,1111089,530628,
1013,0.06643205,1999784.375,1716133.693,1132772,540487,
1014,0.06622075,1999577.366,1716791.132,1153190,549591,
1015,0.06599984,1998991.188,1717161.111,1166927,555303,
1016,0.06578653,1996653.193,1715995.34,1192018,566305,
1017,0.06559522,1991533.109,1712349.102,1210323,574138,
1018,0.06541859,1985559.171,1707907.106,1228451,581858,
1019,0.06523968,1982096.706,1705631.303,1247401,589963,
1020,0.0650465,1983297.504,1707423.917,1267155,598276,
1021,0.06484222,1986688.251,1711147.722,1285723,606109,
1022,0.06463228,1988718.126,1713724.303,1306311,614574,
1023,0.06441924,1987335.224,1713372.905,1325421,622459,
1024,0.06420257,1983210.53,1710670.058,1344265,629999,
1025,0.06398186,1977335.116,1706469.073,1364107,637950,
1026,0.06375839,1971319.156,1702152.844,1383668,645437,
1027,0.06353539,1967333.166,1699583.583,1403565,653185,
1028,0.06331683,1967114.961,1700250.49,1414257,656469,
1029,0.06310496,1969159.614,1702848.314,1441159,667072,
1030,0.06290005,1970549.266,1704854.208,1463765,675762,
1031,0.06269959,1969302.409,1704562.06,1474376,678673,
1032,0.06249569,1966324.669,1702783.895,1501174,688939,
1033,0.06228019,1963057.006,1700797.942,1520754,695874,
1034,0.06205451,1960233.319,1699234.249,1538613,701750,
1035,0.06183279,1957611.262,1697827.908,1557272,708085,
1036,0.06162849,1954901.782,1696275.746,1566545,710058,
1037,0.06143822,1952097.367,1694584.608,1589965,718435,
1038,0.06124787,1949369.595,1692958.541,1611117,725851,
1039,0.06104683,1946850.199,1691553.357,1622135,728449,
1040,0.06084038,1944486.541,1690303.016,1649145,738532,
1041,0.06063795,1942175.505,1689081.196,1666176,743951,
1042,0.06044424,1939748.062,1687722.666,1682314,749208,
1043,0.06025552,1936918.809,1685993.5,1699371,754630,
1044,0.06006735,1933426.395,1683682.887,1716904,760529,
1045,0.05987966,1929541.541,1681026.174,1731844,765245,
1046,0.05969598,1925941.75,1678599.8,1749024,771279,
1047,0.05951928,1923140.063,1676840.029,1763865,776136,
1048,0.05934805,1920780.643,1675443.233,1777338,780568,
1049,0.05917917,1918240.912,1673878.695,1791378,785476,
1050,0.05900968,1915203.469,1671880.524,1805001,790320,
1051,0.05883734,1911927.555,1669683.239,1818182,794955,
1052,0.05866037,1908722.728,1667563.874,1818902,794814,
1053,0.05848119,1905692.855,1665603.847,1840598,803715,
1054,0.05830548,1902783.356,1663733.889,1856176,810519,
1055,0.05813724,1899974.061,1661921.202,1855878,810670,
1056,0.05797229,1897425.601,1660322.566,1876249,820017,
1057,0.05780412,1895343.348,1659142.822,1886922,825489,
1058,0.05763201,1893292.169,1658004.206,1895225,830332,
1059,0.05746458,1889752.262,1655542.332,1904358,835790,
1060,0.05730952,1883340.541,1650514.463,1901421,836480,
1061,0.05715775,1875539.629,1644252.437,1915245,845114,
1062,0.05698996,1869708.179,1639773.527,1926647,852898,
1063,0.05679563,1868026.072,1639031.495,1924909,855487,
1064,0.05659395,1868230.654,1639972.399,1942740,867535,
1065,0.05640912,1867088.1,1639667.113,1948273,874796,
1066,0.05624354,1863156.074,1636837.984,1952604,882429,
1067,0.05607286,1857297.918,1632332.828,1957901,891196,
1068,0.05587524,1850577.107,1627166.301,1963853,901538,
1069,0.05566145,1844431.06,1622560.772,1966356,911131,
1070,0.05545821,1840468.601,1619832.862,1972016,923758,
1071,0.0552809,1839245.116,1619417.063,1974682,935959,
1072,0.05511527,1838776.804,1619622.286,1976384,949235,
1073,0.05494283,1836815.874,1618537.618,1978653,964040,
1074,0.05476133,1833000.253,1615850.581,1980686,980020,
1075,0.05458292,1828548.409,1612588.449,1981934,997190,
1076,0.05441677,1824523.147,1609654.287,1970444,1008984,
1077,0.05425483,1821088.812,1607223.577,1981160,1033291,
1078,0.05408446,1818151.341,1605260.678,1985785,1055668,
1079,0.05390508,1815088.453,1603218.495,1973676,1070569,
1080,0.05373262,1810547.725,1599842.968,1984652,1098202,
1081,0.05358109,1803514.655,1594184.496,1985975,1121267,
1082,0.05344328,1795957.376,1588008.21,1986264,1144407,
1083,0.05330291,1791206.123,1584319.094,1989125,1169153,
1084,0.05315339,1790607.097,1584334.624,1982582,1188165,
1085,0.05300737,1791196.641,1585389.189,1995725,1218464,
1086,0.05287801,1789643.2,1584486.126,2008391,1248566,
1087,0.05276541,1785142.339,1580911.078,2010150,1270995,
1088,0.05266119,1778651.689,1575541.048,2034430,1306383,
1089,0.05255841,1771393.097,1569482.703,2047445,1334147,
1090,0.05245495,1765328.854,1564482.363,2061509,1361633,
1091,0.0523502,1762462.558,1562318.962,2078983,1390045,
1092,0.0522477,1762406.349,1562637.887,2099784,1419924,
1093,0.05215434,1762437.594,1563001.538,2117296,1446452,
1094,0.05207396,1760350.39,1561439.513,2139784,1475609,
1095,0.05199818,1756757.232,1558524.278,2159100,1501543,
1096,0.05191574,1753059.122,1555538.721,2177325,1525748,
1097,0.05182915,1749910.393,1553054.383,2195912,1549888,
1098,0.0517585,1747008.113,1550730.825,2213415,1572623,
1099,0.05172047,1744048.953,1548239.691,2229764,1594251,
1100,0.0517036,1741108.593,1545689.509,2231284,1605300,
1101,0.05168591,1738403.124,1543350.552,2255972,1632567,
1102,0.05165719,1736015.148,1541332.456,2273831,1655229,
1103,0.05162604,1733814.976,1539489.419,2272552,1664506,
1104,0.05160211,1731634.947,1537638.442,2296668,1692129,
1105,0.0515898,1729162.815,1535486.796,2308601,1711523,
1106,0.05159105,1726024.359,1532695.473,2319235,1730151,
1107,0.05160135,1722271.265,1529326.461,2330172,1749235,
1108,0.05160419,1718745.604,1526185.799,2328544,1759209,
1109,0.05158502,1716246.296,1524033.791,2346122,1783555,
1110,0.05155936,1714437.128,1522517.197,2360830,1805919,
1111,0.05155837,1712395.155,1520707.273,2359502,1816291,
1112,0.05159796,1709662.083,1518141.726,2380990,1844169,
1113,0.05166245,1706738.647,1515320.76,2386694,1859542,
1114,0.05173342,1704191.975,1512812.48,2390997,1873659,
1115,0.0518049,1702105.947,1510712.025,2396079,1888096,
1116,0.05187795,1700296.972,1508852.649,2402880,1903447,
1117,0.05195603,1698698.49,1507163.151,2403012,1912922,
1118,0.05204753,1697497.803,1505780.576,2408477,1926132,
1119,0.0521608,1696804.332,1504772.904,2408685,1934557,
1120,0.05229828,1695666.795,1503288.157,2408096,1941370,
1121,0.0524595,1692550.892,1499968.846,2408425,1948420,
1122,0.05264581,1687353.783,1494721.695,2408095,1954382,
1123,0.05286084,1682947.687,1490080.666,2407155,1958868,
1124,0.05310719,1682150.865,1488530.568,2392034,1951315,
1125,0.05338813,1683965.766,1489172.927,2401215,1962931,
1126,0.05370894,1685381.43,1489324.277,2403003,1967830,
1127,0.05406942,1684608.368,1487406.009,2385349,1956123,
1128,0.05445583,1682224.196,1483980.006,2393109,1964744,
1129,0.0548551,1679134.743,1479893.464,2388165,1962555,
1130,0.05527656,1676736.255,1476346.147,2380983,1957774,
1131,0.05573914,1676639.067,1474689.01,2374361,1953136,
1132,0.05625239,1679035.284,1475052.363,2354474,1937176,
1133,0.0568135,1681748.817,1475528.601,2354294,1936972,
1134,0.05742057,1682750.14,1474344.802,2350483,1933608,
1135,0.05806853,1682439.794,1471875.247,2333006,1918549,
1136,0.05874908,1682182.172,1469345.569,2338057,1921967,
1137,0.05945794,1682726.382,1467423.807,2328207,1912851,
1138,0.06019853,1683965.157,1466002.015,2317458,1902999,
1139,0.0609736,1685553.238,1464768.105,2308404,1894320,
1140,0.06177928,1686247.91,1462655.814,2302278,1887966,
1141,0.0626121,1684606.002,1458432.214,2288859,1875828,
1142,0.06347367,1681547.217,1452898.891,2280622,1868037,
1143,0.0643649,1680584.098,1449089.952,2268200,1856782,
1144,0.06528201,1684072.605,1449034.756,2255319,1845294,
1145,0.06622952,1689454.478,1450497.457,2243414,1834393,
1146,0.06721979,1693142.696,1450353.173,2230755,1822839,
1147,0.06824476,1693928.277,1447605.616,2217219,1810640,
1148,0.06927435,1692571.612,1443021.159,2191676,1788401,
1149,0.070294,1690309.733,1437713.322,2186818,1782834,
1150,0.07133498,1689505.685,1433589.048,2175051,1771405,
1151,0.07242751,1692385.781,1432424.874,2146301,1746225,
1152,0.07356035,1697807.726,1433270.473,2140079,1738968,
1153,0.0747054,1702649.757,1433573.357,2122603,1722225,
1154,0.07585045,1705303.503,1432027.094,2104949,1705213,
1155,0.07700003,1707002.326,1429664.331,2089760,1689880,
1156,0.07815522,1709087.435,1427608.287,2067474,1668555,
1157,0.07930603,1711617.054,1425937.764,2064554,1662158,
1158,0.08044012,1714151.096,1424324.634,2060469,1654704,
1159,0.0815613,1716623.708,1422701.548,2046740,1639240,
1160,0.08269184,1719429.831,1421322.438,2052358,1638812,
1161,0.0838441,1722864.418,1420388.026,2044601,1627053,
1162,0.08499041,1726716.878,1419811.62,2034277,1613065,
1163,0.08609621,1730646.031,1419423.669,2023939,1599088,
1164,0.08716142,1734218.122,1418868.987,2016018,1586508,
1165,0.0882135,1736928.747,1417648.29,2000511,1568229,
1166,0.08927454,1738826.782,1415734.399,1990147,1554186,
1167,0.0903486,1741258.181,1414212.175,1976709,1537926,
1168,0.0914316,1745472.919,1414104.547,1961900,1521424,
1169,0.09250045,1750501.892,1414692.762,1949339,1507255,
1170,0.09352808,1754356.011,1414456.664,1936650,1493713,
1171,0.09451225,1756519.51,1412995.336,1923796,1480830,
1172,0.09547846,1758507.201,1411450.633,1902114,1462396,
1173,0.09644569,1761610.392,1410795.85,1898607,1458729,
1174,0.09740965,1765560.288,1410824.206,1889118,1451270,
1175,0.0983615,1769714.257,1411047.554,1867952,1435861,
1176,0.09929391,1773996.245,1411428.2,1865262,1435527,
1177,0.10019959,1778773.456,1412280.784,1853865,1429201,
1178,0.10107524,1783717.74,1413353.809,1841998,1423274,
1179,0.10192931,1786934.419,1413120.863,1831471,1419140,
1180,0.10277364,1786902.702,1410351.177,1813705,1410309,
1181,0.10360872,1786171.878,1407066.176,1809243,1411834,
1182,0.10442373,1788907.714,1406579.243,1802299,1412167,
1183,0.10521323,1795649.131,1409315.559,1787059,1406270,
1184,0.10598812,1802662.522,1412297.901,1787169,1412806,
1185,0.10675631,1806972.046,1413172.321,1777749,1412056,
1186,0.10749436,1808941.067,1412310.072,1767263,1410913,
1187,0.10817463,1809698.232,1410689.806,1758549,1411431,
1188,0.10881549,1811134.31,1409727.486,1753145,1414729,
1189,0.10946121,1815573.044,1411082.851,1742019,1414053,
1190,0.1101199,1823272.871,1414919.615,1736517,1417944,
1191,0.11074708,1831155.219,1418985.892,1728331,1419643,
1192,0.1113073,1836595.635,1421367.053,1719415,1421328,
