Batch Number,B2600076,,,,,,,
Category,Livestock,,,,,,,
Specie,Goat,,,,,,,
Family,Dairy,,,,,,,
Brand,FARMFLAKES,,,,,,,
Product Code,PGNG250601,,,,,,,
Product name,GOAT FEED - NEWBORN KID,,,,,,,
NIR-Code,D20260211-00100,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2323,2358,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,4866,4808,,,,,,
Lamp PD:,93,93,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,11,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,420,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
900,0.09010452,1240124.167,1007768.208,5522,3761,,,
901,0.08990506,1260084.795,1024459.304,5583,3743,,,
902,0.08972543,1279925.38,1041020.359,5506,3681,,,
903,0.08956744,1299568.733,1057381.768,5305,3579,,,
904,0.08941268,1318834.991,1073440.009,5101,3398,,,
905,0.08924256,1337538.86,1089090.196,5047,3234,,,
906,0.08904924,1355643.497,1104323.353,5049,3157,,,
907,0.08884355,1373391.112,1119310.778,4915,3067,,,
908,0.08863784,1391054.486,1134243.494,5066,3061,,,
909,0.08844131,1408764.289,1149203.735,4998,3097,,,
910,0.08825548,1426268.209,1163980.549,5131,3047,,,
911,0.08808051,1443250.065,1178314.094,5121,3149,,,
912,0.0879148,1459492.367,1192029.574,5418,3140,,,
913,0.08775068,1475152.798,1205275.497,5465,3260,,,
914,0.08757951,1490478.178,1218277.182,5544,3177,,,
915,0.08739551,1505671.251,1231217.13,5703,3349,,,
916,0.08720553,1520704.862,1244054.489,6030,3513,,,
917,0.0870201,1535477.149,1256675.83,6397,3602,,,
918,0.08684761,1549915.745,1268996.667,6672,3658,,,
919,0.08668481,1564154.137,1281134.518,7044,3891,,,
920,0.08652388,1578413.419,1293292.872,7448,4056,,,
921,0.08635832,1592829.303,1305602.334,7922,4363,,,
922,0.08619072,1606756.229,1317526.237,8382,4561,,,
923,0.08602792,1619130.895,1328171.13,8882,4754,,,
924,0.08587568,1629048.163,1336774.771,9475,5078,,,
925,0.08573363,1637496.441,1344146.913,10333,5558,,,
926,0.08559822,1646690.098,1352115.086,11015,5906,,,
927,0.08546683,1658701.365,1362389.765,11801,6225,,,
928,0.08533961,1673220.652,1374717.972,12602,6634,,,
929,0.08521797,1688131.896,1387357.559,13733,7224,,,
930,0.08510277,1701355.235,1398595.828,14902,7799,,,
931,0.08499551,1712258.236,1407906.293,16093,8294,,,
932,0.08489866,1721455.637,1415784.563,17343,9010,,,
933,0.08481466,1729615.535,1422770.725,18813,9768,,,
934,0.08474149,1737670.034,1429637.126,20607,10536,,,
935,0.08467307,1746802.231,1437376.912,22421,11647,,,
936,0.08460383,1758145.195,1446941.282,24559,12933,,,
937,0.08453796,1771403.74,1458074.117,27291,14206,,,
938,0.08448896,1784826.72,1469288.555,30283,15758,,,
939,0.08446955,1796647.521,1479085.687,33971,17692,,,
940,0.08447609,1806387.384,1487081.608,37973,19864,,,
941,0.08448827,1814936.279,1494077.445,43161,22406,,,
942,0.08448609,1823232.644,1500914.651,48605,25428,,,
943,0.08446809,1831745.376,1507984.977,54866,28793,,,
944,0.08445235,1840437.394,1515195.584,62240,32778,,,
945,0.08445704,1849226.778,1522415.29,70370,37158,,,
946,0.0844857,1857522.89,1529144.313,79575,42224,,,
947,0.08452683,1864194.421,1534491.113,89954,47879,,,
948,0.08456884,1868162.165,1537608.38,101768,54383,,,
949,0.08460861,1870212.855,1539155.243,114558,61468,,,
950,0.08465134,1873036.418,1541327.345,128797,69500,,,
951,0.08470209,1879275.462,1546280.76,143841,77635,,,
952,0.08476158,1888764.049,1553875.181,159590,86498,,,
953,0.08482676,1898660.61,1561782.6,176505,95814,,,
954,0.0848949,1906124.853,1567676.489,193627,105373,,,
955,0.08496406,1910254.429,1570822.667,211113,114930,,,
956,0.08503269,1911825.537,1571866.166,227729,124054,,,
957,0.0850993,1911709.449,1571529.662,245656,134006,,,
958,0.08516426,1911365.663,1571012.068,262748,143299,,,
959,0.08522924,1912704.491,1571877.291,277602,151293,,,
960,0.08529569,1917434.142,1575523.051,293892,160267,,,
961,0.08536485,1924704.215,1581244.917,308518,168158,,,
962,0.08543811,1931976.907,1586952.094,322901,175810,,,
963,0.08551631,1936934.364,1590737.78,336723,183075,,,
964,0.08559186,1939622.477,1592668.329,348901,189382,,,
965,0.08565235,1941389.663,1593897.387,363126,196972,,,
966,0.08568811,1943452.908,1595459.963,376793,203924,,,
967,0.08571125,1945963.67,1597436.037,388776,210011,,,
968,0.08574357,1948598.29,1599479.741,403930,217686,,,
969,0.08580093,1951085.266,1601309.655,417045,224262,,,
970,0.08586599,1953457.736,1603016.619,430341,230873,,,
971,0.08591001,1955854.923,1604821.105,443890,237498,,,
972,0.08591287,1958390.87,1606891.335,457846,244197,,,
973,0.08589035,1961073.632,1609176.026,471613,250857,,,
974,0.08586751,1963883.482,1611566.403,486535,258048,,,
975,0.08586146,1966746.694,1613938.456,500664,264714,,,
976,0.0858653,1969424.484,1616121.609,514914,271436,,,
977,0.08586764,1971647.777,1617937.304,529501,278086,,,
978,0.08585987,1973372.85,1619381.891,544206,284832,,,
979,0.08583926,1975050.831,1620835.8,559257,291691,,,
980,0.0858039,1977192.522,1622725.511,571118,296904,,,
981,0.08575188,1979937.115,1625172.712,589016,305057,,,
982,0.08568122,1982843.393,1627823.053,605691,312650,,,
983,0.08559027,1985432.291,1630289.814,617791,317693,,,
984,0.08548701,1987568.937,1632432.332,636743,326002,,,
985,0.08539007,1989495.931,1634379.792,652609,333069,,,
986,0.0853168,1991462.079,1636271.034,668520,339866,,,
987,0.08525909,1993526.745,1638185.129,684671,346875,,,
988,0.08518973,1995606.524,1640156.105,697515,351879,,,
989,0.08508505,1997636.421,1642220.215,716104,359998,,,
990,0.08495408,1999735.566,1644441.719,733798,367433,,,
991,0.08482212,2002115.161,1646898.881,747865,373031,,,
992,0.08470848,2004759.578,1649505.675,768641,382097,,,
993,0.084602,2006503.225,1651345.161,785205,389111,,,
994,0.08448173,2005818.656,1651238.983,801874,396008,,,
995,0.08433474,2002208.022,1648824.594,818720,403133,,,
996,0.08417365,1998297.284,1646214.6,836115,410319,,,
997,0.08401678,1997281.191,1645971.969,852708,417288,,,
998,0.08387395,2000265.591,1648973.637,870953,425111,,,
999,0.08373761,2004541.184,1653017.194,887877,432195,,,
1000,0.08359778,2007059.165,1655626.596,904429,439479,,,
1001,0.08344959,2006633.241,1655840.156,922106,447015,,,
1002,0.0832945,2004140.105,1654373.543,939462,454586,,,
1003,0.08313434,2000591.471,1652053.366,956887,462071,,,
1004,0.08296872,1997334.252,1649992.734,968661,467141,,,
1005,0.08279604,1995936.733,1649493.957,991509,477406,,,
1006,0.08261606,1997548.176,1651509.994,1011294,486256,,,
1007,0.08243354,2000759.698,1654860.497,1023165,491265,,,
1008,0.08225438,2003205.839,1657567.406,1046217,501798,,,
1009,0.08208139,2003285.254,1658293.504,1064185,509918,,,
1010,0.08191017,2001824.736,1657737.971,1081582,517410,,,
1011,0.08173532,2000124.871,1656997.278,1099442,525305,,,
1012,0.08155442,1998997.589,1656753.333,1111237,530367,,,
1013,0.08136951,1998427.914,1656986.513,1133079,539899,,,
1014,0.0811829,1998287.027,1657581.791,1153458,549040,,,
1015,0.080994,1997771.05,1657874.753,1167075,554458,,,
1016,0.08079924,1995454.682,1656695.256,1192258,565558,,,
1017,0.08059514,1990264.841,1653163.208,1210622,573356,,,
1018,0.08038419,1984175.169,1648905.714,1228648,580939,,,
1019,0.08017303,1980639.256,1646767.743,1247704,588865,,,
1020,0.07996781,1981867.71,1648567.934,1267344,596997,,,
1021,0.07976739,1985333.602,1652213.245,1286101,604641,,,
1022,0.07956757,1987406.438,1654699.449,1306504,613055,,,
1023,0.0793656,1986003.443,1654300.471,1325694,620846,,,
1024,0.07916347,1981853.402,1651612.116,1344343,628276,,,
1025,0.07896385,1976011.398,1647500.664,1364299,635977,,,
1026,0.07876596,1970090.334,1643312.58,1383877,643589,,,
1027,0.07856615,1966207.994,1640828.948,1403711,651208,,,
1028,0.07836149,1966053.17,1641473.086,1414136,654170,,,
1029,0.0781496,1968112.827,1643994.619,1441382,664863,,,
1030,0.07792724,1969478.832,1645978.18,1464147,673109,,,
