Batch Number,B2600076,,,,
Category,Livestock,,,,
Specie,Goat,,,,
Family,Dairy,,,,
Brand,FARMFLAKES,,,,
Product Code,PGNG250601,,,,
Product name,GOAT FEED - NEWBORN KID,,,,
NIR-Code,D20260211-00100,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,11,,,,
Exposure Time:,0,,,,
Measurement points:,420,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
900,0.09017289,1240124.167,1007609.553,5522,3655
901,0.08998491,1260084.795,1024270.972,5583,3738
902,0.08979558,1279925.38,1040852.203,5506,3464
903,0.08960882,1299568.733,1057281.024,5305,3454
904,0.08942685,1318834.991,1073404.998,5101,3247
905,0.08925159,1337538.86,1089067.564,5047,3158
906,0.08908176,1355643.497,1104240.654,5049,3137
907,0.08891069,1373391.112,1119137.734,4915,2994
908,0.08873157,1391054.486,1133998.731,5066,3098
909,0.08854151,1408764.289,1148938.62,4998,3021
910,0.08834686,1426268.209,1163735.648,5131,2941
911,0.08815504,1443250.065,1178111.907,5121,3042
912,0.08797072,1459492.367,1191876.104,5418,2958
913,0.08779006,1475152.798,1205166.217,5465,3056
914,0.08760758,1490478.178,1218198.45,5544,3183
915,0.08741983,1505671.251,1231148.187,5703,3400
916,0.08723227,1520704.862,1243977.885,6030,3452
917,0.08705294,1535477.149,1256580.807,6397,3518
918,0.08688782,1549915.745,1268879.187,6672,3665
919,0.08673129,1564154.137,1280997.425,7044,3747
920,0.08657322,1578413.419,1293145.957,7448,4072
921,0.08640515,1592829.303,1305461.548,7922,4308
922,0.0862302,1606756.229,1317406.477,8382,4579
923,0.08605694,1619130.895,1328082.381,8882,4920
924,0.08589281,1629048.163,1336722.046,9475,4984
925,0.08573911,1637496.441,1344129.93,10333,5450
926,0.08559405,1646690.098,1352128.066,11015,5872
927,0.08545662,1658701.365,1362421.784,11801,6295
928,0.08532691,1673220.652,1374758.169,12602,6697
929,0.08520497,1688131.896,1387399.087,13733,7202
930,0.08509041,1701355.235,1398635.655,14902,7744
931,0.08498515,1712258.236,1407939.882,16093,8401
932,0.08489353,1721455.637,1415801.285,17343,9145
933,0.08481967,1729615.535,1422754.291,18813,9894
934,0.08475955,1737670.034,1429577.696,20607,10791
935,0.08470157,1746802.231,1437282.61,22421,11745
936,0.08463481,1758145.195,1446838.067,24559,12972
937,0.08456248,1771403.74,1457991.787,27291,14300
938,0.0845014,1784826.72,1469246.479,30283,16038
939,0.08446766,1796647.521,1479092.133,33971,17853
940,0.0844611,1806387.384,1487132.95,37973,20010
941,0.08446505,1814936.279,1494157.322,43161,22648
942,0.08446303,1823232.644,1500994.36,48605,25674
943,0.0844537,1831745.376,1508034.949,54866,29149
944,0.08445173,1840437.394,1515197.747,62240,33022
945,0.08447169,1849226.778,1522363.911,70370,37626
946,0.08451197,1857522.89,1529051.83,79575,42748
947,0.08455422,1864194.421,1534394.328,89954,48598
948,0.08458049,1868162.165,1537567.118,101768,55144
949,0.08459226,1870212.855,1539213.185,114558,62245
950,0.08461056,1873036.418,1541472.071,128797,70435
951,0.08465611,1879275.462,1546444.471,143841,78761
952,0.08473009,1888764.049,1553987.857,159590,87508
953,0.08481562,1898660.61,1561822.646,176505,96954
954,0.08489651,1906124.853,1567670.662,193627,106356
955,0.08496795,1910254.429,1570808.565,211113,116180
956,0.08503447,1911825.537,1571859.732,227729,125447
957,0.08510046,1911709.449,1571525.484,245656,135171
958,0.08516655,1911365.663,1571003.787,262748,144654
959,0.08523036,1912704.491,1571873.238,277602,152753
960,0.08528956,1917434.142,1575545.318,293892,161488
961,0.08534605,1924704.215,1581313.385,308518,169468
962,0.08540478,1931976.907,1587073.901,322901,177318
963,0.08547011,1936934.364,1590907.003,336723,184448
964,0.08553832,1939622.477,1592864.685,348901,190963
965,0.08560109,1941389.663,1594085.524,363126,198452
966,0.08565127,1943452.908,1595595.307,376793,205570
967,0.08569174,1945963.67,1597507.819,388776,211680
968,0.08572988,1948598.29,1599530.183,403930,219454
969,0.08577119,1951085.266,1601419.317,417045,226033
970,0.08581042,1953457.736,1603221.751,430341,232703
971,0.08583864,1955854.923,1605084.873,443890,239457
972,0.08584947,1958390.87,1607125.938,457846,246234
973,0.0858473,1961073.632,1609335.52,471613,252976
974,0.08583933,1963883.482,1611670.994,486535,260183
975,0.08583049,1966746.694,1614053.548,500664,266791
976,0.08581904,1969424.484,1616293.744,514914,273597
977,0.08580197,1971647.777,1618182.006,529501,280404
978,0.08577704,1973372.85,1619690.789,544206,287370
979,0.08574375,1975050.831,1621192.285,559257,294063
980,0.08570184,1977192.522,1623106.877,571118,299381
981,0.08565001,1979937.115,1625553.964,589016,307803
982,0.08558524,1982843.393,1628182.855,605691,315154
983,0.08550455,1985432.291,1630611.605,617791,320529
984,0.08541031,1987568.937,1632720.663,636743,328961
985,0.08531077,1989495.931,1634678.246,652609,336050
986,0.08521405,1991462.079,1636658.218,668520,342857
987,0.08512174,1993526.745,1638703.31,684671,349894
988,0.08503054,1995606.524,1640757.427,697515,355140
989,0.0849369,1997636.421,1642780.532,716104,363245
990,0.08483627,1999735.566,1644887.894,733798,370838
991,0.08472362,2002115.161,1647272.445,747865,376414
992,0.08459547,2004759.578,1649934.971,768641,385603
993,0.08445554,2006503.225,1651902.157,785205,392556
994,0.08430945,2005818.656,1651894.163,801874,399666
995,0.08416104,2002208.022,1649484.177,818720,406835
996,0.0840104,1998297.284,1646833.505,836115,414150
997,0.08385776,1997281.191,1646574.767,852708,421169
998,0.08370475,2000265.591,1649616.198,870953,429022
999,0.08355389,2004541.184,1653716.643,887877,436298
1000,0.08340668,2007059.165,1656355.289,904429,443387
1001,0.08325934,2006633.241,1656565.686,922106,451037
1002,0.08310304,2004140.105,1655103.046,939462,458851
1003,0.08292982,2000591.471,1652831.531,956887,466460
1004,0.08274307,1997334.252,1650850.26,968661,471501
1005,0.082554,1995936.733,1650413.522,991509,481867
1006,0.08237295,1997548.176,1652434.724,1011294,490858
1007,0.08220047,2000759.698,1655748.863,1023165,496084
1008,0.08203269,2003205.839,1658413.752,1046217,506493
1009,0.08186568,2003285.254,1659117.366,1064185,514679
1010,0.08169746,2001824.736,1658550.093,1081582,522428
1011,0.08152679,2000124.871,1657793.074,1099442,530378
1012,0.08135165,1998997.589,1657527.021,1111237,535439
1013,0.08116813,1998427.914,1657755.032,1133079,545105
1014,0.08097238,1998287.027,1658385.491,1153458,554176
1015,0.08076603,1997771.05,1658745.208,1167075,559917
1016,0.08055542,1995454.682,1657625.631,1192258,571051
1017,0.08034597,1990264.841,1654111.97,1210622,578844
1018,0.08013931,1984175.169,1649835.702,1228648,586427
1019,0.07993643,1980639.256,1647665.149,1247704,594444
1020,0.07973824,1981867.71,1649439.601,1267344,602802
1021,0.07954068,1985333.602,1653075.979,1286101,610412
1022,0.07933722,1987406.438,1655577.341,1306504,618991
1023,0.0791267,1986003.443,1655210.727,1325694,626769
1024,0.07891973,1981853.402,1652539.302,1344343,634361
1025,0.0787277,1976011.398,1648396.744,1364299,642178
1026,0.07854461,1970090.334,1644150.359,1383877,649831
1027,0.07834877,1966207.994,1641650.435,1403711,657466
1028,0.07812317,1966053.17,1642374.115,1414136,660594
1029,0.0778835,1968112.827,1645002.221,1441382,671379
1030,0.07765846,1969478.832,1646997.173,1464147,679994
1031,0.07746401,1968185.388,1646652.647,1474665,682785
1032,0.07728087,1965171.938,1644824.962,1501665,693138
1033,0.07708406,1961916.017,1642844.105,1520921,699759
1034,0.07686919,1959156.797,1641345.493,1539021,705792
1035,0.07665984,1956613.991,1640005.549,1557558,712104
1036,0.07647883,1953960.393,1638464.096,1566900,713917
1037,0.07631762,1951183.967,1636743.386,1590066,722228
