Batch Number,B2600079,,,,,,,
Category,Poultry,,,,,,,
Specie,Chicken,,,,,,,
Family,Layer Baladi,,,,,,,
Brand,FARMFLAKES,,,,,,,
Product Code,PPEP250401,,,,,,,
Product name,CHICKEN FEED - BALADI PRODUCTION 1,,,,,,,
NIR-Code,D20260211-00101,,,,,,,
,,,,,,,,
,,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2378,2500,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5041,4625,,,,,,
Lamp PD:,94,93,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,11,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,420,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
900,0.06573403,1239904.122,1065746.89,5568,3912,,,
901,0.06564964,1259901.164,1083145.602,5581,3847,,,
902,0.06553458,1279703.26,1100461.093,5602,3673,,,
903,0.06538767,1299224.622,1117626.191,5284,3712,,,
904,0.06523614,1318351.804,1134475.648,5218,3455,,,
905,0.06510727,1336970.546,1150838.995,5126,3435,,,
906,0.06501044,1355076.192,1166684.092,4977,3234,,,
907,0.06492424,1372870.122,1182238.827,4859,3311,,,
908,0.06482516,1390576.253,1197759.568,5050,3102,,,
909,0.06470078,1408292.622,1213366.839,5019,3152,,,
910,0.06456539,1425778.024,1228815.075,5076,3095,,,
911,0.06443674,1442734.683,1243797.663,5069,3266,,,
912,0.06432662,1458960.679,1258105.229,5390,3226,,,
913,0.06422737,1474618.49,1271898.067,5428,3387,,,
914,0.06412728,1489957.17,1285424.299,5705,3408,,,
915,0.06401729,1505178.574,1298885.121,5796,3634,,,
916,0.06389942,1520238.376,1312236.978,6308,3602,,,
917,0.06377904,1535012.253,1325356.778,6432,3727,,,
918,0.06366104,1549411.177,1338152.595,6723,3882,,,
919,0.06354859,1563592.441,1350750.001,7091,4091,,,
920,0.06344413,1577818.172,1363367.139,7527,4329,,,
921,0.06334962,1592259.351,1376144.974,7967,4475,,,
922,0.06326238,1606252.639,1388517.859,8510,4692,,,
923,0.06317727,1618688.588,1399542.329,8971,4937,,,
924,0.06308953,1628619.577,1408413.316,9592,5231,,,
925,0.06300027,1637037.492,1415984.032,10311,5880,,,
926,0.06291465,1646189.933,1424181.329,11051,6018,,,
927,0.0628381,1658181.178,1434808.31,11946,6669,,,
928,0.06277397,1672709.014,1447592.856,12789,7035,,,
929,0.06272363,1687646.04,1460688.909,13927,7501,,,
930,0.06268798,1700900.769,1472281.972,14875,8002,,,
931,0.06266606,1711832.321,1481819.02,16197,8704,,,
932,0.06265555,1721049.723,1489833.968,17451,9484,,,
933,0.06265433,1729215.883,1496907.247,19204,10305,,,
934,0.06266211,1737266.97,1503849.764,20881,11264,,,
935,0.06268028,1746398.925,1511691.525,22588,12388,,,
936,0.06271001,1757757.268,1521419.201,25060,13452,,,
937,0.06274875,1771041.55,1532780.613,27686,14930,,,
938,0.06279041,1784477.299,1544260.697,30694,16648,,,
939,0.06282935,1796274.947,1554330.819,34350,18677,,,
940,0.06286789,1805963.209,1562575.498,38730,20945,,,
941,0.06291634,1814471.867,1569762.302,43749,23569,,,
942,0.06298486,1822779.245,1576700.55,49502,26796,,,
943,0.06307491,1831354.734,1583789.876,56033,30331,,,
944,0.06317896,1840119.299,1590988.441,63418,34713,,,
945,0.06328931,1848948.3,1598215.935,71688,39214,,,
946,0.06340316,1857242.955,1604964.99,81113,44599,,,
947,0.06352286,1863900.553,1610274.356,91764,50582,,,
948,0.06365116,1867871.035,1613227.896,103705,57483,,,
949,0.06378754,1869941.034,1614508.647,116528,64926,,,
950,0.06392747,1872770.544,1616430.748,131072,73307,,,
951,0.06406577,1878972.496,1621267.41,146069,81888,,,
952,0.06420229,1888385.017,1628876.88,162015,90895,,,
953,0.06434254,1898202.75,1636816.734,178787,100390,,,
954,0.06449272,1905621.596,1642645.885,196014,110217,,,
955,0.0646543,1909752.013,1645593.916,213516,120105,,,
