Batch Number,B2600081,,,,,,
Category,Livestock,,,,,,
Specie,Cattle,,,,,,
Family,Dairy,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PFDP010802,,,,,,
Product name,FARHAT FEED - DAIRY PRODUCTION COW,,,,,,
NIR-Code,D20260211-00102,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2399,2523,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,4610,4543,,,,,
Lamp PD:,93,92,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
900,0.13344896,1239502.414,911587.6075,5549,3285,,
901,0.13328449,1259508.476,926651.8718,5624,3269,,
902,0.13312223,1279309.497,941571.6967,5375,3286,,
903,0.13295948,1298820.768,956290.292,5333,3208,,
904,0.13279113,1317934.466,970739.4553,5277,3047,,
905,0.13261222,1336542.21,984850.8428,5131,2852,,
906,0.13242278,1354640.697,998622.4756,5003,2822,,
907,0.13223183,1372424.146,1012177.125,5119,2810,,
908,0.13204897,1390108.384,1025651.202,4994,2789,,
909,0.13187976,1407788.853,1039101.007,5009,2738,,
910,0.13171976,1425236.571,1052366.947,5098,2729,,
911,0.13156305,1442168.451,1065253.425,5108,2881,,
912,0.13140369,1458390.976,1077631.508,5330,2895,,
913,0.13123521,1474051.122,1089625.684,5458,2889,,
914,0.13105136,1489376.761,1101420.651,5646,2982,,
915,0.13084989,1504556.753,1113162.795,5797,3073,,
916,0.13064776,1519576.47,1124798.674,6071,3157,,
917,0.13046732,1534355.16,1136209.912,6463,3227,,
918,0.13032542,1548836.482,1147308.328,6731,3490,,
919,0.13020661,1563134.468,1158216.461,7082,3612,,
920,0.13008271,1577435.663,1169146.527,7603,3809,,
921,0.12992996,1591845.988,1180242.07,8029,4030,,
922,0.12975542,1605733.998,1191017.621,8576,4253,,
923,0.12958145,1618073.983,1200651.38,9096,4510,,
924,0.12942784,1627995.822,1208440.993,9686,4769,,
925,0.12929554,1636490.262,1215116.417,10416,5184,,
926,0.12917439,1645752.857,1222334.948,11226,5538,,
927,0.12905541,1657837.127,1231647.565,11919,6035,,
928,0.12893711,1672421.51,1242821.162,12838,6422,,
929,0.12882283,1687383.078,1254269.5,13882,6924,,
930,0.12871531,1700635.749,1264433.489,14913,7301,,
931,0.12861621,1711550.091,1272838.807,16246,7961,,
932,0.12852664,1720751.786,1279945.813,17571,8768,,
933,0.12844781,1728919.692,1286254.811,19144,9466,,
934,0.12837855,1736987.426,1292463.022,21029,10300,,
935,0.12831557,1746130.794,1299454.876,22877,11329,,
936,0.12825583,1757475.382,1308077.328,25309,12534,,
937,0.12819936,1770722.216,1318108.253,27883,13895,,
938,0.12814894,1784120.121,1328235.703,31135,15406,,
939,0.12810718,1795903.11,1337136.448,34843,17292,,
940,0.12807537,1805605.443,1344458.766,39107,19397,,
941,0.1280537,1814143.285,1350883.463,44178,22011,,
942,0.12804239,1822480.533,1357127.055,49964,24955,,
943,0.12804167,1831075.206,1363529.425,56450,28273,,
944,0.12805174,1839840.201,1370024.606,63904,32121,,
945,0.12807266,1848643.519,1376513.626,72481,36572,,
946,0.12810109,1856893.134,1382565.821,81921,41557,,
947,0.12813022,1863508.09,1387398.002,92641,47259,,
948,0.12815359,1867460.2,1390265.567,104746,53594,,
949,0.12817415,1869543.443,1391750.571,117715,60431,,
950,0.12820424,1872410.338,1393788.216,132246,68186,,
951,0.1282556,1878665.424,1398279.038,147245,76105,,
952,0.12832378,1888133.083,1405105.134,163262,84525,,
953,0.12838961,1897989.114,1412225.685,179888,93477,,
954,0.12843508,1905411.467,1417599.978,197087,102419,,
955,0.12846126,1909512.418,1420565.367,214622,111507,,
956,0.12848524,1911079.652,1421652.827,230733,120041,,
957,0.12852342,1910994.249,1421464.326,248424,129289,,
958,0.12857734,1910702.05,1421070.53,265160,137896,,
959,0.128637,1912081.733,1421901.308,279732,145376,,
960,0.12869259,1916812.528,1425236.86,295695,153672,,
961,0.12874274,1924052.316,1430454.788,310276,161174,,
962,0.12879185,1931296.16,1435677.939,324258,168285,,
963,0.12884385,1936256.024,1439192.664,337903,175214,,
964,0.12889534,1938974.685,1441042.537,349927,181134,,
965,0.12893878,1940779.296,1442239.439,364004,188182,,
966,0.12896772,1942867.179,1443694.806,377702,195020,,
967,0.12898472,1945383.26,1445507.849,389587,200790,,
968,0.12899641,1948003.2,1447415.607,404754,207927,,
969,0.12900855,1950457.567,1449198.76,417701,214171,,
970,0.12902198,1952796.817,1450891.969,430929,220450,,
971,0.12903585,1955182.804,1452618.337,444506,226920,,
972,0.1290481,1957743.456,1454479.77,458441,233255,,
973,0.12905169,1960464.062,1456488.955,472180,239767,,
974,0.12903833,1963292.534,1458635.188,487115,246496,,
975,0.12900479,1966134.643,1460859.558,501082,252877,,
976,0.1289632,1968767.35,1462955.788,515439,259317,,
977,0.12892845,1970944.195,1464690.536,529919,265761,,
978,0.12890557,1972637.662,1466026.249,544571,272330,,
979,0.12887808,1974301.01,1467355.321,559675,278837,,
980,0.12882693,1976445.279,1469122.014,571557,283768,,
981,0.12874632,1979208.259,1471448.859,589425,291625,,
982,0.12865088,1982144.78,1473955.898,606094,298810,,
983,0.12855654,1984771.538,1476229.843,618362,303756,,
984,0.12847084,1986947.734,1478140.122,637160,311842,,
985,0.12839228,1988908.19,1479866.211,653252,318537,,
986,0.12831855,1990893.753,1481595.099,668985,325049,,
987,0.12824113,1992954.646,1483393.22,685078,331690,,
988,0.12814683,1994997.425,1485236.146,697821,336768,,
989,0.12802458,1996950.58,1487108.782,716499,344305,,
990,0.12788148,1998956.536,1489093.182,734120,351640,,
991,0.1277337,2001264.691,1491319.977,748194,356944,,
992,0.12759464,2003890.687,1493755.056,768914,365594,,
993,0.12746324,2005664.625,1495529.803,785586,372283,,
994,0.12733361,2005043.537,1495513.023,802185,378772,,
995,0.12720013,2001511.702,1493337.628,818968,385562,,
996,0.12705928,1997670.1,1490954.841,836361,392603,,
997,0.12690875,1996687.295,1490737.94,853027,399388,,
998,0.12674919,1999656.895,1493503.682,871230,406796,,
999,0.12658496,2003882.827,1497226.006,888105,413598,,
1000,0.12641986,2006332.507,1499626.313,904830,420456,,
1001,0.12625619,2005843.703,1499826.059,922340,427631,,
1002,0.12609559,2003325.851,1498497.449,939654,434968,,
1003,0.12593954,1999819.53,1496412.273,957050,442400,,
1004,0.12578499,1996648.604,1494571.345,968939,447007,,
1005,0.125626,1995324.019,1494126.725,991708,456837,,
1006,0.1254575,1996945.702,1495921.322,1011496,465380,,
1007,0.12527723,2000107.504,1498911.913,1023314,470064,,
1008,0.12508324,2002466.184,1501349.996,1046428,480106,,
1009,0.12487739,2002446.51,1502047.052,1064382,487769,,
1010,0.1246758,2000913.64,1501594.067,1081581,494961,,
1011,0.12449779,1999208.496,1500929.527,1099575,502595,,
1012,0.12434699,1998148.645,1500654.808,1111420,507448,,
1013,0.12419982,1997666.023,1500800.832,1133239,516522,,
1014,0.1240311,1997575.819,1501316.191,1153594,525167,,
1015,0.12383732,1997073.212,1501608.33,1167433,530502,,
1016,0.12363453,1994782.638,1500586.538,1192276,541035,,
1017,0.12343711,1989673.022,1497423.355,1210714,548471,,
1018,0.12324395,1983681.966,1493578.655,1228845,555667,,
1019,0.12304748,1980189.102,1491623.384,1247688,563422,,
1020,0.12284408,1981359.854,1493204.46,1267473,571169,,
1021,0.1226406,1984731.874,1496446.663,1286225,578561,,
1022,0.12244497,1986764.581,1498654.221,1306641,586654,,
1023,0.12225874,1985407.042,1498272.547,1325761,594001,,
1024,0.12207403,1981314.377,1495820.102,1344538,601137,,
1025,0.12188259,1975460.953,1492058.519,1364315,608577,,
1026,0.12168242,1969458.423,1488210.612,1383859,615803,,
1027,0.12147756,1965495.24,1485916.611,1403819,622846,,
1028,0.12127324,1965324.07,1486486.362,1414369,625982,,
1029,0.1210753,1967428.495,1488756.453,1441401,636098,,
1030,0.12088868,1968867.691,1490485.83,1463962,644094,,
1031,0.12071439,1967646.498,1490159.261,1474541,646700,,
1032,0.12054443,1964685.583,1488499.292,1501519,656443,,
1033,0.12036968,1961446.074,1486643.008,1520915,662921,,
1034,0.12018665,1958666.458,1485162.013,1538871,668359,,
1035,0.11999911,1956087.474,1483847.151,1557540,674283,,
1036,0.11981102,1953403.377,1482452.945,1566865,675961,,
1037,0.11962402,1950610.438,1480970.886,1590137,683747,,
1038,0.11943835,1947897.044,1479543.202,1611395,690480,,
1039,0.11925465,1945407.758,1478277.581,1622300,692871,,
1040,0.1190753,1943084.698,1477122.214,1649378,702150,,
1041,0.11890308,1940814.699,1475981.758,1666366,707187,,
1042,0.11874067,1938425.377,1474716.072,1682555,711942,,
1043,0.11859056,1935639.781,1473105.918,1699624,716863,,
1044,0.11845445,1932205.417,1470953.152,1717178,722218,,
1045,0.11832342,1928390.035,1468491.586,1732182,726556,,
1046,0.11818048,1924859.122,1466285.267,1749325,731904,,
1047,0.11801407,1922114.908,1464755.965,1763998,736186,,
1048,0.11784009,1919797.868,1463576.465,1777471,740079,,
1049,0.11768269,1917284.017,1462189.839,1791679,744472,,
1050,0.11755151,1914261.974,1460326.15,1805155,748641,,
1051,0.11742891,1911011.032,1458257.721,1818358,753013,,
1052,0.11729522,1907860.255,1456301.631,1819075,752229,,
1053,0.11714588,1904901.486,1454543.238,1840748,760522,,
1054,0.11698797,1902043.837,1452889.396,1856287,766461,,
1055,0.11682899,1899239.889,1451278.74,1856049,766009,,
1056,0.11667711,1896668.522,1449820.803,1876252,774577,,
1057,0.11654065,1894566.548,1448669.157,1887048,779245,,
1058,0.1164194,1892518.212,1447506.99,1895236,783440,,
1059,0.11629833,1889002.664,1445220.922,1904332,788122,,
1060,0.11616184,1882633.552,1440800.848,1901480,788501,,
1061,0.11600971,1874887.392,1435375.332,1915242,795902,,
1062,0.11585283,1869114.869,1431473.01,1926587,802593,,
1063,0.11570014,1867485.58,1430728.138,1924755,804483,,
1064,0.1155486,1867718.206,1431405.733,1942680,815003,,
1065,0.11539157,1866559.15,1431034.775,1948116,820925,,
