Batch Number,B2600082,,,,,,,
Category,Poultry,,,,,,,
Specie,Chicken,,,,,,,
Family,Layer Baladi,,,,,,,
Brand,FARMFLAKES,,,,,,,
Product Code,PPEG250201 ,,,,,,,
Product name, CHICKEN FEED - BALADI GROWER 1,,,,,,,
NIR-Code,D20260211-00103,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2325,2482,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,4936,4588,,,,,,
Lamp PD:,93,94,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,11,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,420,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
900,0.05714281,1240754.735,1087785.157,5436,3830,,,
901,0.05702465,1260764.322,1105628.592,5510,3983,,,
902,0.05689135,1280603.739,1123371.534,5401,3752,,,
903,0.05674,1300191.402,1140951.781,5288,3484,,,
904,0.05657976,1319388.294,1158224.83,5133,3395,,,
905,0.05641991,1338052.734,1175041.812,5074,3232,,,
906,0.05626567,1356166.619,1191371.986,4999,3292,,,
907,0.05611551,1373944.137,1207406.659,4988,3167,,,
908,0.0559674,1391624.909,1223361.463,4978,3138,,,
909,0.05581948,1409319.475,1239338.582,5024,3174,,,
910,0.05566996,1426790.516,1255134.473,5036,3028,,,
911,0.05551698,1443742.703,1270494.606,5057,3117,,,
912,0.05535931,1459975.022,1285245.563,5260,3163,,,
913,0.05519816,1475645.007,1299522.278,5310,3263,,,
914,0.05503533,1490995.375,1313532.942,5590,3286,,,
915,0.05487279,1506223.456,1327445.256,5838,3355,,,
916,0.05471333,1521289.834,1341215.726,5983,3486,,,
917,0.05455985,1536078.161,1354732.227,6260,3667,,,
918,0.05441474,1550505.324,1367913.155,6616,3836,,,
919,0.05427763,1564720.144,1380889.883,7023,3895,,,
920,0.05414716,1578970.152,1393884.423,7348,4188,,,
921,0.0540221,1593413.782,1407040.097,7851,4450,,,
922,0.05390133,1607393.979,1419779.846,8388,4677,,,
923,0.05378357,1619817.653,1431141.43,9030,4969,,,
924,0.05366747,1629752.455,1440304.017,9534,5151,,,
925,0.05355388,1638191.709,1448140.983,10318,5635,,,
926,0.05344555,1647375.5,1456622.614,11019,6027,,,
927,0.05334563,1659400.208,1467592.591,11856,6399,,,
928,0.05325491,1673952.313,1480771.912,12686,6923,,,
929,0.05317194,1688890.524,1494271.64,13827,7372,,,
930,0.05309497,1702110.818,1506235.437,14922,7886,,,
931,0.0530249,1712985.101,1516102.913,16078,8595,,,
932,0.05296516,1722157.007,1524430.326,17453,9336,,,
933,0.05291926,1730323.004,1531820.663,18962,10153,,,
934,0.05288923,1738415.684,1539091.373,20724,10974,,,
935,0.05287572,1747592.121,1547263.788,22713,12070,,,
936,0.05287916,1758959,1557315.307,24752,13244,,,
937,0.05289676,1772211.167,1568984.718,27685,14631,,,
938,0.05292252,1785604.235,1580748.165,30673,16249,,,
939,0.05295085,1797379.599,1591068.811,34268,18237,,,
940,0.05298266,1807079.175,1599537.836,38566,20441,,,
941,0.05302557,1815627.078,1606945.266,43533,23258,,,
942,0.05308698,1823994.741,1614122.922,49235,26355,,,
943,0.05316638,1832636.583,1621473.952,55454,29974,,,
944,0.05325493,1841449.891,1628939.57,63014,34047,,,
945,0.05334383,1850286.817,1636421.662,71304,38745,,,
946,0.05343082,1858548.492,1643399.212,80598,43994,,,
947,0.05352055,1865156.693,1648901.727,91010,49872,,,
948,0.05361812,1869086.54,1652004.752,103043,56670,,,
949,0.05372788,1871137.809,1653399.841,115946,63859,,,
950,0.05385296,1873971.373,1655426.823,130274,72240,,,
951,0.05399539,1880199.898,1660384.374,145354,80789,,,
952,0.05414989,1889648.834,1668135.081,161360,89758,,,
953,0.05430542,1899488.324,1676220.736,178019,99166,,,
954,0.05445234,1906890.948,1682184.075,195164,109024,,,
955,0.05459141,1910973.564,1685245.842,212685,118849,,,
956,0.05473164,1912537.067,1686080.187,229104,128055,,,
957,0.05488137,1912474.585,1685443.892,246871,137997,,,
958,0.05503965,1912222.526,1684607.695,263740,147412,,,
959,0.05519802,1913633.677,1685236.225,278474,155453,,,
960,0.05534807,1918363.189,1688817.653,294783,164460,,,
961,0.05549093,1925571.633,1694606.038,309489,172594,,,
962,0.05563466,1932774.407,1700382.048,323639,180219,,,
963,0.05578684,1937702.879,1704120.679,337427,187679,,,
964,0.05594384,1940407.404,1705882.38,349392,194021,,,
965,0.0560954,1942216.204,1706876.776,363641,201577,,,
966,0.05623217,1944326.137,1708193.033,377250,208831,,,
967,0.05635447,1946870.941,1709947.157,389271,214956,,,
968,0.05646713,1949510.307,1711821.221,404326,222677,,,
969,0.05657445,1951962.571,1713551,417419,229406,,,
970,0.05667751,1954287.065,1715184.497,430709,236232,,,
971,0.05677623,1956661.864,1716878.447,444189,242990,,,
972,0.05687021,1959228.493,1718758.591,458132,249765,,,
973,0.05695789,1961974.808,1720820.345,471963,256616,,,
974,0.05703747,1964848.394,1723024.972,486966,263961,,,
975,0.05710683,1967747.309,1725291.544,501006,270574,,,
976,0.05716294,1970418.22,1727410.176,515269,277376,,,
977,0.05720264,1972580.215,1729147.466,529801,284393,,,
978,0.05722544,1974198.67,1730475.328,544627,291282,,,
979,0.05723666,1975779.793,1731816.536,559465,298301,,,
980,0.05724226,1977894.868,1733648.082,571400,303473,,,
981,0.05724422,1980700.179,1736099.134,589339,312003,,,
982,0.05723829,1983703.837,1738755.609,605864,319555,,,
983,0.05721992,1986371.359,1741167.39,618188,324779,,,
984,0.05719041,1988543.654,1743189.974,636951,333357,,,
985,0.05715744,1990473.323,1745014.019,653152,340520,,,
986,0.05712815,1992420.426,1746838.823,668826,347483,,,
987,0.05709736,1994448.454,1748740.857,685014,354569,,,
988,0.05705066,1996472.753,1750704.023,697782,359750,,,
989,0.05697554,1998428.496,1752722.142,716466,367995,,,
990,0.05687701,2000447.982,1754891.448,734186,375648,,,
991,0.05676877,2002762.086,1757359.391,748194,381453,,,
992,0.05666321,2005373.334,1760078.449,768939,390638,,,
993,0.05656543,2007126.381,1762013.724,785491,397638,,,
994,0.05647805,2006501.526,1761819.642,802182,404860,,,
995,0.05639863,2002994.519,1759061.931,819047,412002,,,
996,0.05631021,1999182.012,1756071.227,836473,419466,,,
997,0.05619361,1998201.742,1755681.459,853054,426623,,,
998,0.0560458,2001141.857,1758863.263,871233,434642,,,
999,0.05589189,2005347.172,1763184.194,888082,442048,,,
1000,0.05575817,2007829.012,1765909.937,904920,449180,,,
1001,0.05564798,2007415.849,1765994.607,922330,457049,,,
1002,0.05554011,2004948.895,1764262.478,939648,464864,,,
1003,0.05541381,2001404.72,1761655.993,957327,472693,,,
1004,0.0552665,1998130.517,1759370.678,968887,477888,,,
1005,0.05510793,1996718.243,1758769.201,991774,488419,,,
1006,0.05494724,1998335.835,1760845.448,1011602,497578,,,
1007,0.05478522,2001560.351,1764344.848,1023543,502865,,,
1008,0.05461889,2004000.036,1767172.062,1046670,513750,,,
1009,0.0544467,2004040.728,1767908.737,1064581,521969,,,
1010,0.05427376,2002539.207,1767287.757,1081848,529778,,,
1011,0.05410682,2000834.061,1766461.793,1099817,538002,,,
1012,0.05394542,1999740.575,1766152.65,1111781,543152,,,
1013,0.05377624,1999188.488,1766353.018,1133440,553210,,,
1014,0.05358562,1998992.212,1766954.965,1153967,562385,,,
1015,0.05337871,1998374.238,1767250.48,1167615,568155,,,
1016,0.05317761,1996012.174,1765979.157,1192625,579575,,,
1017,0.05300121,1990920.453,1762189.85,1210992,587604,,,
1018,0.052841,1985012.177,1757608.624,1229052,595406,,,
1019,0.0526759,1981608.474,1755261.998,1247950,603603,,,
1020,0.05249031,1982827.798,1757092.744,1267813,612003,,,
1021,0.0522863,1986205.305,1760912.767,1286443,619993,,,
1022,0.05206889,1988208.487,1763571.347,1306986,628754,,,
1023,0.0518448,1986799.973,1763231.55,1326038,636749,,,
1024,0.05162592,1982658.429,1760443.035,1344911,644363,,,
1025,0.05142436,1976781.571,1756039.668,1364733,652446,,,
1026,0.05123582,1970780.264,1751468.703,1384299,660443,,,
1027,0.05104129,1966820.328,1748732.563,1404269,668185,,,
1028,0.05082519,1966633.649,1749436.88,1414733,671509,,,
1029,0.05059555,1968701.944,1752202.998,1441723,682533,,,
1030,0.05036951,1970090.771,1754351.947,1464457,691220,,,
1031,0.05015793,1968815.638,1754070.81,1475091,694230,,,
1032,0.04995607,1965820.905,1752216.975,1501850,704917,,,
1033,0.04975697,1962593.284,1750142.225,1521561,711910,,,
1034,0.04955885,1959870.269,1748511.432,1539438,718064,,,
1035,0.04936647,1957354.903,1747041.057,1558108,724658,,,
1036,0.04918417,1954703.784,1745407.298,1567188,726799,,,
1037,0.04900764,1951906.608,1743618.21,1590678,735365,,,
1038,0.04882714,1949164.954,1741892.937,1611847,743107,,,
1039,0.04863567,1946637.555,1740401.414,1622798,745918,,,
1040,0.0484384,1944283.552,1739086.562,1649900,756322,,,
1041,0.04824373,1942007.363,1737829.406,1666876,762080,,,
1042,0.04805717,1939635.53,1736452.703,1683100,767707,,,
1043,0.04787912,1936857.095,1734676.338,1700149,773553,,,
1044,0.04770929,1933385.572,1732244.474,1717691,779654,,,
1045,0.04754629,1929504.768,1729416.387,1732742,784677,,,
1046,0.04738811,1925934.478,1726845.156,1749962,791027,,,
1047,0.04723166,1923214.745,1725027.881,1764526,796131,,,
1048,0.04706742,1920936.977,1723636.546,1778117,800953,,,
1049,0.04688378,1918401.722,1722089.738,1792437,806136,,,
1050,0.04668272,1915282.352,1720085.694,1805916,811224,,,
1051,0.04649254,1911956.685,1717851.069,1819002,816365,,,
1052,0.04634213,1908855.92,1715659.176,1819929,816064,,,
1053,0.0462215,1906038.904,1713603.194,1841301,825513,,,
1054,0.04609035,1903277.655,1711637.537,1857019,832417,,,
1055,0.04591771,1900422.772,1709749.637,1856888,832477,,,
1056,0.04572114,1897728.716,1708098.81,1877069,842088,,,
1057,0.0455325,1895558.972,1706887.135,1887651,847941,,,
1058,0.04536718,1893547.76,1705725.258,1895950,852870,,,
1059,0.04521215,1890094.312,1703222.262,1905046,858537,,,
1060,0.04505187,1883726.963,1698111.032,1902104,859329,,,
1061,0.04488071,1875921.975,1691741.709,1916047,867980,,,
1062,0.0447006,1870085.465,1687177.812,1927308,876069,,,
1063,0.04451539,1868430.796,1686403.997,1925607,878808,,,
1064,0.04433119,1868674.098,1687339.137,1943620,891127,,,
1065,0.04415327,1867548.57,1687013.813,1948902,898352,,,
1066,0.04398224,1863608.613,1684117.812,1953339,906179,,,
1067,0.04381397,1857752.542,1679476.344,1958415,915099,,,
1068,0.04364436,1851076.413,1674094.555,1964654,925788,,,
1069,0.04346954,1845012.099,1669281.869,1967156,935669,,,
1070,0.04328612,1841145.054,1666486.819,1972813,948520,,,
1071,0.04309505,1840005.937,1666188.671,1975378,961060,,,
1072,0.04290613,1839583.195,1666530.642,1976967,974402,,,
1073,0.04272884,1837603.054,1665416.493,1979406,989633,,,
1074,0.04255896,1833715.228,1662543.165,1981518,1006115,,,
1075,0.0423815,1829181.631,1659110.579,1982724,1023589,,,
1076,0.04218725,1825105.118,1656153.668,1971130,1035737,,,
1077,0.04199257,1821670.875,1653778.502,1981984,1060514,,,
1078,0.04182048,1818799.462,1651826.157,1986667,1083670,,,
