Batch Number,B2500166,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF040021,,,,,,,
Product name,PETFLAKES Maintenance - Mini Adult Dog 4  Kg,,,,,,,
NIR-Code,M20260202-00080,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2493,2557,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5481,5420,,,,,,
Lamp PD:,91,92,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
900,0.31000866,1465672.55,717841.0612,6165,2312,,,
901,0.30970397,1488788.689,729674.3664,5964,2254,,,
902,0.3093937,1511698.795,741432.4116,5761,1922,,,
903,0.30907784,1534379.058,753103.7764,6378,1957,,,
904,0.30875635,1556805.666,764677.0404,7039,2074,,,
905,0.3084292,1578954.808,776140.7833,8818,2321,,,
906,0.30809629,1600802.674,787483.5847,11507,2947,,,
907,0.30775755,1622325.452,798694.0243,15192,3942,,,
908,0.30741285,1643499.332,809760.6818,21117,5142,,,
909,0.30706206,1664300.503,820672.1367,30609,7391,,,
910,0.30670502,1684705.153,831416.9688,48018,11785,,,
911,0.30634157,1704689.473,841983.7578,79023,20068,,,
912,0.30597178,1724236.136,852363.7279,128815,34411,,,
913,0.30559682,1743352.473,862558.1573,198409,54799,,,
914,0.30521801,1762051.673,872570.7129,277188,78298,,,
915,0.30483665,1780346.924,882405.0615,350498,100483,,,
916,0.30445397,1798251.413,892064.8699,415303,119334,,,
917,0.30407118,1815778.329,901553.8051,477504,136405,,,
918,0.30368942,1832940.861,910875.5339,541378,152566,,,
919,0.30330981,1849752.197,920033.7231,608991,168921,,,
920,0.30293343,1866225.525,929032.0395,679288,184965,,,
921,0.30256136,1882374.032,937874.1501,753175,200925,,,
922,0.30219461,1898210.909,946563.7217,830040,216855,,,
923,0.3018342,1913749.342,955104.4211,909228,232541,,,
924,0.30148109,1929002.009,963499.7139,989067,248195,,,
