Batch Number,B2500392,,,,,,
Category,Pet Food,,,,,,
Specie,Dog,,,,,,
Family,Healthcare,,,,,,
Brand,PETFLAKES,,,,,,
Product Code,DDF040021,,,,,,
Product name,PETFLAKES Maintenance - Mini Adult Dog 4  Kg,,,,,,
NIR-Code,M20260202-00082,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2470,2540,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,5563,5430,,,,,
Lamp PD:,93,93,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,13,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,105,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
900,0.26947474,1465373.282,787904.3987,6090,2560,,
901,0.26917796,1488514.088,800893.9145,5899,2343,,
902,0.26887618,1511452.536,813801.2094,5760,2046,,
903,0.26856926,1534163.833,826613.4655,6157,2014,,
904,0.26825703,1556623.188,839317.8647,7144,2206,,
905,0.26793929,1578805.808,851901.5892,8800,2667,,
906,0.26761584,1600686.901,864351.8209,11340,3131,,
907,0.26728647,1622241.673,876655.7419,15154,4046,,
908,0.26695096,1643445.333,888800.5341,20907,5215,,
909,0.26660905,1664273.089,900773.3795,30348,7590,,
910,0.26626049,1684700.148,912561.4602,47577,12007,,
911,0.26590501,1704701.717,924151.9582,77876,20259,,
912,0.26554259,1724259.771,935535.1433,127240,34495,,
913,0.26517421,1743382.006,946713.0234,196660,54977,,
914,0.26480104,1762082.231,957690.3952,275756,78689,,
915,0.26442421,1780374.252,968472.0557,349629,100845,,
916,0.2640448,1798271.879,979062.8015,414821,119842,,
917,0.26366386,1815788.919,989467.4294,476939,136924,,
918,0.26328239,1832939.179,999690.7364,541107,153391,,
919,0.26290137,1849736.469,1009737.519,608649,169612,,
