Batch Number,B2500295,,,,,,
Category,Pet Food,,,,,,
Specie,Dog,,,,,,
Family,Healthcare,,,,,,
Brand,PETFLAKES,,,,,,
Product Code,DDF040002,,,,,,
Product name,PETFLAKES Performance High Protein - Adult Dog 4 Kg,,,,,,
NIR-Code,M20260202-00084,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2470,2540,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,5104,4954,,,,,
Lamp PD:,94,94,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,13,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,105,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
900,0.3114704,1465068.252,715134.0508,6216,2368,,
901,0.31117261,1488210.315,726928.5147,5937,2122,,
902,0.31087035,1511151.109,738648.0222,5681,1753,,
903,0.3105635,1533865.491,750280.7081,6101,1890,,
904,0.31025187,1556328.319,761814.707,7182,2017,,
905,0.30993529,1578514.451,773238.1535,8799,2376,,
906,0.30961356,1600398.744,784539.1825,11489,2882,,
907,0.30928649,1621956.056,795705.9285,15160,3780,,
908,0.30895385,1643161.243,806726.5263,20921,5052,,
909,0.3086154,1663989.164,817589.1106,30434,7056,,
910,0.30827089,1684414.676,828281.8159,47393,11128,,
911,0.30792006,1704412.637,838792.7771,77887,18827,,
912,0.30756291,1723964.824,849112.9928,127122,31917,,
913,0.30720047,1743079.323,859244.3488,196465,50854,,
914,0.30683395,1761770.469,869191.3178,275624,72925,,
915,0.30646453,1780052.6,878958.3724,349426,93581,,
916,0.30609334,1797940.049,888549.9852,414786,111238,,
917,0.30572148,1815447.154,897970.6289,477008,127237,,
918,0.30535,1832588.251,907224.7761,540926,142644,,
919,0.30497991,1849377.674,916316.8995,608508,157851,,
