Batch Number,B2500391,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF040003,,,,,,,
Product name, PETFLAKES Performance - Puppy ,,,,,,,
NIR-Code,M20260202-00085,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2496,2507,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5197,5197,,,,,,
Lamp PD:,92,94,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
900,0.22831865,1464977.97,865989.1297,6205,2965,,,
901,0.22808727,1488105.573,880129.2849,5983,2651,,,
902,0.2278518,1511030.687,894172.8574,5855,2412,,,
903,0.22761225,1533728.5,908105.3607,6197,2503,,,
904,0.2273686,1556174.197,921912.3084,7162,2644,,,
905,0.22712081,1578342.963,935579.2138,8821,2950,,,
906,0.22686885,1600209.986,949091.5906,11542,3823,,,
907,0.22661264,1621750.451,962434.9523,15326,4930,,,
908,0.2263521,1642939.544,975594.8123,21066,6529,,,
909,0.22608713,1663752.451,988556.6843,30443,9485,,,
910,0.22581762,1684164.358,1001306.082,47626,14912,,,
911,0.22554343,1704150.452,1013828.518,78077,25395,,,
912,0.22526465,1723692.754,1026113.041,127492,42935,,,
913,0.22498219,1742799.283,1038162.138,196716,68227,,,
914,0.22469712,1761484.229,1049981.487,275809,97896,,,
915,0.22441047,1779761.785,1061576.767,349532,125462,,,
916,0.22412324,1797646.142,1072953.656,414769,149472,,,
917,0.22383639,1815151.491,1084117.834,477024,171046,,,
918,0.22355084,1832292.026,1095074.978,540920,192122,,,
919,0.22326749,1849081.938,1105830.768,608393,213292,,,
920,0.22298722,1865535.418,1116390.883,678892,234431,,,
921,0.22271088,1881666.658,1126761.001,752672,255721,,,
922,0.22243932,1897489.851,1136946.8,829444,277006,,,
923,0.22217334,1913019.187,1146953.961,908748,298122,,,
924,0.22191373,1928268.254,1156787.86,988503,319050,,,
925,0.22166097,1943243.552,1166450.366,1070663,341266,,,
926,0.22141537,1957947,1175941.076,1153701,364601,,,
927,0.22117722,1972380.437,1185259.547,1238402,389392,,,
928,0.22094683,1986545.703,1194405.338,1323896,414657,,,
929,0.22072447,2000444.639,1203378.005,1411391,439135,,,
930,0.22051044,2014079.083,1212177.106,1501097,462656,,,
931,0.22030504,2027450.877,1220802.201,1593645,485842,,,
932,0.22010854,2040561.86,1229252.846,1687170,507978,,,
933,0.21992125,2053413.872,1237528.599,1779718,528254,,,
934,0.21974344,2066008.753,1245629.018,1869316,547628,,,
935,0.21957541,2078348.342,1253553.661,1954969,567023,,,
936,0.21941744,2090434.161,1261301.901,2036005,588530,,,
937,0.21926976,2102260.119,1268868.716,2108781,611622,,,
938,0.21913252,2113812.368,1276244.603,2171779,633725,,,
939,0.21900586,2125076.711,1283419.858,2224768,654023,,,
940,0.21888994,2136038.949,1290384.776,2268119,674684,,,
941,0.21878491,2146684.886,1297129.652,2301309,699016,,,
942,0.21869094,2157000.325,1303644.783,2326178,732955,,,
943,0.21860819,2166971.067,1309920.463,2342687,782580,,,
944,0.21853682,2176582.916,1315946.989,2349854,849035,,,
945,0.21847702,2185821.673,1321714.655,2351551,926739,,,
946,0.21842897,2194673.143,1327213.757,2364650,1008220,,,
947,0.21839287,2203123.127,1332434.591,2409285,1090956,,,
948,0.21836889,2211158.016,1337367.883,2485641,1177306,,,
949,0.21835664,2218778.215,1342014.63,2578967,1266823,,,
950,0.21835517,2225998.426,1346386.305,2658166,1346987,,,
951,0.2183635,2232833.995,1350494.853,2718726,1418663,,,
952,0.21838071,2239300.265,1354352.218,2772282,1489520,,,
953,0.21840587,2245412.583,1357970.346,2814500,1552411,,,
954,0.21843807,2251186.292,1361361.181,2839885,1597683,,,
955,0.21847644,2256636.739,1364536.668,2849308,1624187,,,
956,0.2185201,2261779.268,1367508.751,2846017,1634150,,,
957,0.21856819,2266629.224,1370289.376,2829113,1629588,,,
958,0.21861986,2271201.952,1372890.487,2799938,1612525,,,
959,0.21867425,2275512.798,1375324.03,2762225,1587268,,,
960,0.21873056,2279577.439,1377602.09,2718183,1557416,,,
961,0.21878818,2283415.544,1379738.46,2666584,1523947,,,
962,0.21884669,2287049.41,1381748.056,2603878,1484117,,,
963,0.21890563,2290501.384,1383645.814,2527741,1432581,,,
964,0.21896456,2293793.811,1385446.668,2457206,1377539,,,
965,0.21902306,2296949.037,1387165.556,2420276,1332265,,,
966,0.21908068,2299989.406,1388817.413,2374979,1273554,,,
967,0.21913698,2302937.265,1390417.175,2314354,1210391,,,
968,0.21919153,2305814.958,1391979.778,2253063,1166097,,,
969,0.21924387,2308644.831,1393520.156,2195766,1142766,,,
970,0.21929357,2311449.23,1395053.247,2145084,1135658,,,
971,0.2193402,2314250.499,1396593.986,2100784,1138712,,,
972,0.21938336,2317066.363,1398154.347,2059165,1146069,,,
973,0.21942288,2319895.172,1399733.894,2023131,1159393,,,
974,0.21945868,2322730.204,1401328.938,1996025,1177157,,,
975,0.21949064,2325564.74,1402935.794,1981288,1195475,,,
976,0.21951867,2328392.057,1404550.774,1979434,1213314,,,
977,0.21954266,2331205.434,1406170.19,1990863,1230712,,,
978,0.21956252,2333998.15,1407790.357,2015305,1249952,,,
979,0.21957815,2336763.483,1409407.587,2048250,1271043,,,
980,0.21958945,2339494.712,1411018.192,2086198,1293589,,,
981,0.21959633,2342185.116,1412618.486,2130671,1318056,,,
982,0.21959869,2344827.974,1414204.781,2178837,1343146,,,
983,0.21959642,2347416.46,1415773.314,2224058,1366073,,,
984,0.21958958,2349940.935,1417318.215,2263243,1385564,,,
985,0.21957832,2352388.672,1418831.305,2300914,1403965,,,
986,0.21956281,2354746.783,1420304.286,2332954,1418407,,,
987,0.21954324,2357002.385,1421728.861,2355304,1427007,,,
988,0.21951977,2359142.591,1423096.734,2369796,1432408,,,
989,0.21949256,2361154.516,1424399.608,2368738,1429574,,,
990,0.21946179,2363025.274,1425629.186,2346221,1415047,,,
991,0.21942761,2364741.98,1426777.17,2314294,1396618,,,
992,0.21939019,2366291.748,1427835.264,2276928,1376119,,,
993,0.21934967,2367661.692,1428795.171,2207254,1334975,,,
994,0.21930623,2368838.93,1429648.596,2084512,1257507,,,
995,0.21925998,2369814.885,1430389.915,1918153,1150264,,,
996,0.219211,2370594.046,1431021.616,1703815,1013618,,,
997,0.21915931,2371183.37,1431547.718,1428693,843857,,,
998,0.21910498,2371589.812,1431972.24,1110383,652085,,,
999,0.21904804,2371820.331,1432299.199,724515,423573,,,
1000,0.21898854,2371881.881,1432532.615,318541,185402,,,
1001,0.21892652,2371781.421,1432676.507,81651,47100,,,
1002,0.21886204,2371525.906,1432734.892,25147,14501,,,
1003,0.21879512,2371122.293,1432711.791,18200,10131,,,
1004,0.21872582,2370577.539,1432611.22,15798,9078,,,
1005,0.21865417,2369898.6,1432437.201,,,,,
1006,0.21858019,2369092.498,1432193.915,,,,,
1007,0.21850365,2368166.639,1431886.546,,,,,
1008,0.21842423,2367128.579,1431520.653,,,,,
1009,0.21834162,2365985.871,1431101.791,,,,,
1010,0.21825551,2364746.068,1430635.519,,,,,
1011,0.21816558,2363416.725,1430127.395,,,,,
1012,0.21807152,2362005.395,1429582.976,,,,,
1013,0.21797301,2360519.631,1429007.82,,,,,
1014,0.21786975,2358966.988,1428407.485,,,,,
1015,0.21776141,2357355.02,1427787.529,,,,,
1016,0.21764768,2355691.279,1427153.508,,,,,
1017,0.21752833,2353982.327,1426510.16,,,,,
1018,0.21740364,2352226.658,1425855.555,,,,,
1019,0.21727416,2350418.848,1425184.522,,,,,
1020,0.21714047,2348553.45,1424491.871,,,,,
1021,0.21700312,2346625.015,1423772.413,,,,,
1022,0.21686267,2344628.092,1423020.956,,,,,
1023,0.21671967,2342557.235,1422232.31,,,,,
1024,0.21657468,2340406.993,1421401.285,,,,,
1025,0.21642827,2338171.918,1420522.69,,,,,
1026,0.21628097,2335846.561,1419591.335,,,,,
1027,0.21613336,2333425.474,1418602.029,,,,,
1028,0.21598594,2330904.082,1417550.252,,,,,
1029,0.21583892,2328284.081,1416436.288,,,,,
1030,0.21569239,2325569.899,1415262.511,,,,,
1031,0.21554643,2322765.973,1414031.307,,,,,
1032,0.21540111,2319876.744,1412745.059,,,,,
1033,0.21525653,2316906.648,1411406.153,,,,,
1034,0.21511276,2313860.126,1410016.973,,,,,
1035,0.2149699,2310741.616,1408579.903,,,,,
1036,0.21482803,2307555.556,1407097.328,,,,,
1037,0.21468724,2304306.386,1405571.633,,,,,
1038,0.21454763,2300998.543,1404005.201,,,,,
1039,0.21440925,2297636.678,1402400.653,,,,,
1040,0.21427203,2294226.354,1400761.619,,,,,
1041,0.21413585,2290773.379,1399092.007,,,,,
1042,0.2140006,2287283.561,1397395.721,,,,,
1043,0.21386616,2283762.71,1395676.668,,,,,
1044,0.21373242,2280216.632,1393938.752,,,,,
1045,0.21359926,2276651.137,1392185.879,,,,,
1046,0.21346658,2273072.034,1390421.954,,,,,
1047,0.21333427,2269485.131,1388650.885,,,,,
1048,0.21320221,2265896.236,1386876.574,,,,,
1049,0.21307029,2262311.116,1385102.905,,,,,
1050,0.21293839,2258730.979,1383331.044,,,,,
1051,0.21280631,2255148.422,1381557.036,,,,,
1052,0.21267388,2251555.082,1379776.354,,,,,
1053,0.21254089,2247942.601,1377984.472,,,,,
1054,0.21240716,2244302.617,1376176.866,,,,,
1055,0.21227249,2240626.769,1374349.01,,,,,
1056,0.21213666,2236906.697,1372496.378,,,,,
1057,0.21199949,2233134.04,1370614.443,,,,,
