Batch Number,B2500391,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF040003,,,,,,,
Product name, PETFLAKES Performance - Puppy ,,,,,,,
NIR-Code,M20260202-00085,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
900,0.22702872,1464977.97,868565.0993,6205,3019,,,
901,0.22679595,1488105.573,882750.1394,5983,2645,,,
902,0.22655976,1511030.687,896837.0213,5855,2476,,,
903,0.22632028,1533728.5,910810.8713,6197,2468,,,
904,0.22607763,1556174.197,924656.8156,7162,2779,,,
905,0.2258319,1578342.963,938359.9804,8821,3093,,,
906,0.22558314,1600209.986,951905.4921,11542,3844,,,
907,0.2253314,1621750.451,965278.4769,15326,4995,,,
908,0.2250767,1642939.544,978464.061,21066,6743,,,
909,0.22481904,1663752.451,991447.3707,30443,9528,,,
910,0.2245584,1684164.358,1004213.532,47626,15072,,,
911,0.22429475,1704150.452,1016747.672,78077,25505,,,
912,0.22402815,1723692.754,1029038.702,127492,43188,,,
913,0.22375913,1742799.283,1041089.923,196716,68801,,,
914,0.22348831,1761484.229,1052908.056,275809,98502,,,
915,0.22321628,1779761.785,1064499.822,349532,126191,,,
916,0.22294363,1797646.142,1075871.941,414769,150318,,,
917,0.22267089,1815151.491,1087031.134,477024,172079,,,
918,0.22239863,1832292.026,1097984.123,540920,193215,,,
919,0.22212737,1849081.938,1108737.626,608393,214573,,,
920,0.22185763,1865535.418,1119298.366,678892,235848,,,
921,0.22158992,1881666.658,1129673.062,752672,257315,,,
922,0.22132473,1897489.851,1139868.435,829444,278653,,,
923,0.22106257,1913019.187,1149891.207,908748,300117,,,
924,0.22080393,1928268.254,1159747.693,988503,321001,,,
925,0.22054948,1943243.552,1169439.496,1070663,343236,,,
926,0.22029996,1957947,1178965.164,1153701,366851,,,
927,0.22005611,1972380.437,1188323.194,1238402,391872,,,
928,0.21981866,1986545.703,1197512.082,1323896,416947,,,
929,0.21958829,2000444.639,1206530.327,1411391,441578,,,
930,0.21936571,2014079.083,1215376.426,1501097,465089,,,
931,0.21915158,2027450.877,1224048.874,1593645,488270,,,
932,0.21894657,2040561.86,1232546.17,1687170,510355,,,
933,0.21875132,2053413.872,1240866.811,1779718,530669,,,
934,0.21856649,2066008.753,1249009.294,1869316,549740,,,
935,0.2183927,2078348.342,1256972.115,1954969,569274,,,
936,0.21823056,2090434.161,1264753.621,2036005,590462,,,
937,0.21808035,2102260.119,1272348.551,2108781,613360,,,
938,0.21794198,2113812.368,1279747.972,2171779,635116,,,
939,0.21781537,2125076.711,1286942.782,2224768,655146,,,
940,0.21770044,2136038.949,1293923.882,2268119,675558,,,
941,0.21759711,2146684.886,1300682.171,2301309,699490,,,
942,0.21750533,2157000.325,1307208.548,2326178,732952,,,
943,0.21742505,2166971.067,1313493.914,2342687,782186,,,
944,0.21735622,2176582.916,1319529.168,2349854,848700,,,
945,0.21729882,2185821.673,1325305.21,2351551,926796,,,
946,0.21725283,2194673.143,1330812.94,2364650,1009279,,,
947,0.21721825,2203123.127,1336043.257,2409285,1092995,,,
948,0.21719506,2211158.016,1340987.471,2485641,1180205,,,
949,0.21718285,2218778.215,1345646.673,2578967,1270406,,,
950,0.21718081,2225998.426,1350031.925,2658166,1350563,,,
951,0.21718814,2232833.995,1354154.742,2718726,1422675,,,
952,0.21720404,2239300.265,1358026.638,2772282,1493593,,,
953,0.21722775,2245412.583,1361659.127,2814500,1556765,,,
954,0.21725851,2251186.292,1365063.722,2839885,1602214,,,
955,0.21729558,2256636.739,1368251.937,2849308,1628915,,,
956,0.21733824,2261779.268,1371235.286,2846017,1639026,,,
957,0.21738576,2266629.224,1374025.282,2829113,1634399,,,
958,0.21743744,2271201.952,1376633.44,2799938,1617532,,,
959,0.21749257,2275512.798,1379071.273,2762225,1592153,,,
960,0.21755046,2279577.439,1381350.488,2718183,1562053,,,
961,0.21761046,2283415.544,1383485.118,2666584,1528489,,,
962,0.21767192,2287049.41,1385490.727,2603878,1488524,,,
963,0.21773422,2290501.384,1387382.907,2527741,1436925,,,
964,0.21779671,2293793.811,1389177.249,2457206,1381989,,,
965,0.21785878,2296949.037,1390889.344,2420276,1336690,,,
966,0.21791978,2299989.406,1392534.785,2374979,1278173,,,
967,0.2179791,2302937.265,1394129.163,2314354,1214985,,,
968,0.21803609,2305814.958,1395688.069,2253063,1170685,,,
969,0.21809013,2308644.831,1397227.094,2195766,1147617,,,
970,0.21814059,2311449.23,1398761.832,2145084,1140043,,,
971,0.21818684,2314250.499,1400307.872,2100784,1142990,,,
972,0.21822836,2317066.363,1401877.656,2059165,1150108,,,
973,0.2182651,2319895.172,1403470.425,2023131,1163380,,,
974,0.21829711,2322730.204,1405081.96,1996025,1180947,,,
975,0.21832446,2325564.74,1406708.045,1981288,1199283,,,
976,0.21834722,2328392.057,1408344.462,1979434,1216971,,,
977,0.21836544,2331205.434,1409986.993,1990863,1234398,,,
978,0.21837919,2333998.15,1411631.421,2015305,1253568,,,
979,0.21838853,2336763.483,1413273.529,2048250,1274712,,,
980,0.21839353,2339494.712,1414909.1,2086198,1297159,,,
981,0.21839424,2342185.116,1416533.916,2130671,1321511,,,
982,0.21839073,2344827.974,1418143.759,2178837,1346735,,,
983,0.21838306,2347416.46,1419734.342,2224058,1369849,,,
984,0.21837137,2349940.935,1421299.428,2263243,1389265,,,
985,0.21835587,2352388.672,1422830.648,2300914,1407720,,,
986,0.21833679,2354746.783,1424319.523,2332954,1422070,,,
987,0.21831433,2357002.385,1425757.575,2355304,1431048,,,
988,0.21828873,2359142.591,1427136.324,2369796,1436316,,,
989,0.21826019,2361154.516,1428447.291,2368738,1433615,,,
990,0.21822892,2363025.274,1429681.997,2346221,1418998,,,
991,0.21819513,2364741.98,1430831.964,2314294,1400332,,,
992,0.21815902,2366291.748,1431888.713,2276928,1379867,,,
993,0.21812081,2367661.692,1432843.764,2207254,1338589,,,
994,0.21808069,2368838.93,1433688.641,2084512,1260943,,,
995,0.21803876,2369814.885,1434417.784,1918153,1153208,,,
996,0.21799485,2370594.046,1435034.488,1703815,1016537,,,
997,0.21794872,2371183.37,1435543.718,1428693,846361,,,
998,0.21790013,2371589.812,1435950.44,1110383,653995,,,
999,0.21784884,2371820.331,1436259.619,724515,424911,,,
1000,0.21779462,2371881.881,1436476.222,318541,185964,,,
1001,0.21773722,2371781.421,1436605.215,81651,47366,,,
1002,0.21767642,2371525.906,1436651.564,25147,14509,,,
1003,0.21761197,2371122.293,1436620.234,18200,10256,,,
1004,0.21754364,2370577.539,1436516.191,15798,8896,,,
1005,0.21747118,2369898.6,1436344.402,,,,,
1006,0.21739439,2369092.498,1436109.729,,,,,
1007,0.21731335,2368166.639,1435816.406,,,,,
1008,0.2172282,2367128.579,1435468.437,,,,,
1009,0.21713912,2365985.871,1435069.821,,,,,
1010,0.21704625,2364746.068,1434624.56,,,,,
1011,0.21694977,2363416.725,1434136.655,,,,,
1012,0.21684983,2362005.395,1433610.106,,,,,
1013,0.2167466,2360519.631,1433048.916,,,,,
1014,0.21664024,2358966.988,1432457.084,,,,,
1015,0.21653092,2357355.02,1431838.611,,,,,
1016,0.21641881,2355691.279,1431197.5,,,,,
1017,0.21630405,2353982.327,1430537.19,,,,,
1018,0.21618669,2352226.658,1429856.575,,,,,
1019,0.21606674,2350418.848,1429152.339,,,,,
1020,0.21594418,2348553.45,1428421.154,,,,,
1021,0.215819,2346625.015,1427659.687,,,,,
1022,0.2156912,2344628.092,1426864.611,,,,,
1023,0.21556076,2342557.235,1426032.594,,,,,
1024,0.21542767,2340406.993,1425160.307,,,,,
1025,0.21529191,2338171.918,1424244.42,,,,,
1026,0.21515348,2335846.561,1423281.602,,,,,
1027,0.21501234,2333425.474,1422268.524,,,,,
1028,0.21486852,2330904.082,1421202.236,,,,,
1029,0.21472239,2328284.081,1420082.514,,,,,
1030,0.21457445,2325569.899,1418910.322,,,,,
1031,0.21442521,2322765.973,1417686.627,,,,,
1032,0.21427519,2319876.744,1416412.398,,,,,
1033,0.2141249,2316906.648,1415088.603,,,,,
1034,0.21397486,2313860.126,1413716.21,,,,,
1035,0.2138256,2310741.616,1412296.188,,,,,
1036,0.21367763,2307555.556,1410829.505,,,,,
1037,0.21353149,2304306.386,1409317.129,,,,,
1038,0.21338771,2300998.543,1407760.029,,,,,
1039,0.21324669,2297636.678,1406159.766,,,,,
1040,0.21310819,2294226.354,1404520.463,,,,,
1041,0.21297184,2290773.379,1402846.934,,,,,
1042,0.21283724,2287283.561,1401143.992,,,,,
1043,0.212704,2283762.71,1399416.453,,,,,
1044,0.21257174,2280216.632,1397669.129,,,,,
1045,0.21244005,2276651.137,1395906.834,,,,,
1046,0.21230856,2273072.034,1394134.383,,,,,
1047,0.21217687,2269485.131,1392356.588,,,,,
1048,0.21204458,2265896.236,1390578.265,,,,,
1049,0.21191131,2262311.116,1388804.196,,,,,
1050,0.21177681,2258730.979,1387035.882,,,,,
1051,0.21164113,2255148.422,1385268.619,,,,,
1052,0.21150435,2251555.082,1383497.014,,,,,
1053,0.21136653,2247942.601,1381715.673,,,,,
1054,0.21122776,2244302.617,1379919.205,,,,,
1055,0.21108809,2240626.769,1378102.215,,,,,
1056,0.2109476,2236906.697,1376259.312,,,,,
1057,0.21080635,2233134.04,1374385.102,,,,,
1058,0.21066441,2229300.438,1372474.193,,,,,
1059,0.21052185,2225397.53,1370521.191,,,,,
1060,0.21037871,2221417.563,1368521.087,,,,,
1061,0.21023502,2217359.98,1366473.419,,,,,
1062,0.21009077,2213228.939,1364380.702,,,,,
1063,0.20994597,2209028.678,1362245.501,,,,,
1064,0.20980061,2204763.436,1360070.382,,,,,
1065,0.2096547,2200437.451,1357857.913,,,,,
1066,0.20950823,2196054.962,1355610.659,,,,,
1067,0.20936121,2191620.208,1353331.186,,,,,
1068,0.20921363,2187137.427,1351022.06,,,,,
1069,0.20906551,2182610.857,1348685.849,,,,,
1070,0.20891685,2178044.74,1346325.117,,,,,
1071,0.20876776,2173444.056,1343942.566,,,,,
1072,0.2086186,2168815.571,1341541.213,,,,,
1073,0.2084698,2164166.31,1339124.124,,,,,
1074,0.20832175,2159503.3,1336694.367,,,,,
1075,0.20817489,2154833.569,1334255.006,,,,,
1076,0.20802963,2150164.143,1331809.108,,,,,
1077,0.20788641,2145502.049,1329359.739,,,,,
1078,0.20774566,2140854.314,1326909.965,,,,,
1079,0.20760781,2136227.964,1324462.852,,,,,
1080,0.20747332,2131630.028,1322021.467,,,,,
1081,0.20734263,2127067.225,1319588.708,,,,,
1082,0.20721611,2122543.95,1317166.213,,,,,
1083,0.20709414,2118063.527,1314755.035,,,,,
1084,0.20697708,2113629.272,1312356.225,,,,,
1085,0.2068653,2109244.502,1309970.834,,,,,
1086,0.20675917,2104912.534,1307599.913,,,,,
1087,0.20665907,2100636.686,1305244.513,,,,,
1088,0.20656537,2096420.275,1302905.684,,,,,
1089,0.20647846,2092266.617,1300584.478,,,,,
1090,0.20639871,2088179.031,1298281.945,,,,,
1091,0.2063265,2084160.673,1295999.083,,,,,
1092,0.20626186,2080211.166,1293735.706,,,,,
