Batch Number,B2500406,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF100001,,,,,,,
Product name,PETFLAKES Maintenance - Adult Dog 10 Kg,,,,,,,
NIR-Code,M20260202-00092,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2487,2548,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5024,5008,,,,,,
Lamp PD:,93,92,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
900,0.27113465,1464524.802,784444.2423,6222,2562,,,
901,0.27086534,1487652.23,797326.2691,5994,2248,,,
902,0.27059159,1510575.54,810122.8063,5859,2000,,,
903,0.27031324,1533270.286,822821.2059,6242,2030,,,
904,0.27003015,1555712.022,835408.82,7116,2231,,,
905,0.26974215,1577876.303,847873.0006,8947,2546,,,
906,0.26944905,1599738.682,860201.0998,11507,3019,,,
907,0.26915068,1621274.716,872380.4696,15166,4017,,,
908,0.26884681,1642459.956,884398.4621,21088,5276,,,
909,0.26853724,1663269.959,896242.4292,30349,7347,,,
910,0.26822174,1683680.279,907899.7232,47637,11820,,,
911,0.26790006,1703666.469,919357.6959,78101,20026,,,
912,0.26757222,1723210.768,930606.7163,127474,33851,,,
913,0.26723925,1742320.815,941648.6224,196720,54051,,,
914,0.26690239,1761010.287,952487.9766,275753,77143,,,
915,0.26656282,1779292.861,963129.3418,349563,98538,,,
916,0.26622168,1797182.213,973577.2807,414906,116821,,,
917,0.26588006,1814692.02,983836.3558,476848,133113,,,
918,0.26553903,1831835.958,993911.1299,540750,148999,,,
919,0.2651996,1848627.704,1003806.166,608281,164432,,,
920,0.26486278,1865080.935,1013526.026,678715,179745,,,
921,0.26452953,1881209.326,1023075.273,752534,194987,,,
922,0.26420082,1897026.555,1032458.47,829222,210064,,,
923,0.26387756,1912546.298,1041680.179,908462,224840,,,
924,0.26356066,1927781.686,1050744.654,988343,239522,,,
925,0.26325109,1942739.471,1059652.525,1070554,255247,,,
926,0.2629498,1957422.28,1068402.081,1153589,271895,,,
927,0.26265775,1971832.668,1076991.569,1238096,289885,,,
928,0.26237587,1985973.19,1085419.238,1323552,307746,,,
929,0.26210505,1999846.401,1093683.336,1411174,325584,,,
930,0.26184618,2013454.857,1101782.11,1500785,342624,,,
931,0.26160014,2026801.114,1109713.809,1593168,359069,,,
932,0.2613678,2039887.727,1117476.681,1686763,374297,,,
933,0.26114998,2052717.251,1125068.974,1779203,387569,,,
934,0.26094755,2065292.243,1132488.935,1868673,399513,,,
935,0.26076131,2077615.257,1139734.814,1954541,410679,,,
936,0.26059207,2089688.502,1146804.738,2035453,422631,,,
937,0.26043999,2101505.946,1153693.997,2108163,435361,,,
